| Economy | Saint Martin |
| --- | --- |
| Economy - overview: | The economy of Saint Martin centers around tourism with 85% of the labor force engaged in this sector. Over one million visitors come to the island each year with most arriving through the Princess Juliana International Airport in Sint Maarten. No significant agriculture and limited local fishing means that almost all food must be imported. Energy resources and manufactured goods are also imported, primarily from Mexico and the United States. Saint Martin is reported to have the highest per capita income in the Caribbean. |
| GDP - composition by sector: | agriculture: 1% |
| GDP - composition by sector: | industry: 15% |
| GDP - composition by sector: | services: 84% (2000) |
| Labor force - by occupation: | 85% directly or indirectly employed in tourist industry |
| Imports - commodities: | crude petroleum, food, manufactured items |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7107 (2011 est.) |
| Exchange rates: | 0.755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
