| Economy | HAITI |
| --- | --- |
| Economy - overview: | Haiti's economy suffered a severe setback in January 2010 when a 7.0 magnitude earthquake destroyed much of its capital city, Port-au-Prince, and neighboring areas. Currently the poorest country in the Western Hemisphere, with 80% of the population living under the poverty line and 54% in abject poverty, the earthquake further inflicted $7.8 billion in damage and caused the country's GDP to contract. In 2011, GDP growth rose to 5.5% as the Haitian economy began recovering from the earthquake. However, growth slowed in 2015 to 2% as political uncertainty, drought conditions, and the depreciation of the national currency took a toll on investment and economic growth. |
| Economy - overview: | Haiti is a free market economy with low labor costs and tariff-free access to the US for many of its exports. Two-fifths of all Haitians depend on the agricultural sector, mainly small-scale subsistence farming, which remains vulnerable to damage from frequent natural disasters, exacerbated by the country's widespread deforestation. Poverty, corruption, vulnerability to natural disasters, and low levels of education for much of the population are among Haiti's most serious impediments to economic growth. Remittances are the primary source of foreign exchange, in 2015 equaling over one-fifth of GDP, and nearly double the combined value of Haitian exports and foreign direct investment. |
| Economy - overview: | US economic engagement under the Caribbean Basin Trade Partnership Act (CBTPA) and the 2008 Haitian Hemispheric Opportunity through Partnership Encouragement Act (HOPE II) helped increase apparel exports and investment by providing duty-free access to the US. The Haiti Economic Lift Program (HELP) Act of 2010 extended the CBTPA and HOPE II until 2020, while the Trade Preferences Extension Act of 2015 extended trade benefits provided to Haiti in the HOPE and HELP Acts through September 2025. Apparel sector exports in 2015 reached $904 million and account for about 90% of Haitian exports and more than 10% of the GDP. |
| Economy - overview: | Investment in Haiti is hampered by the difficulty of doing business and weak infrastructure, including access to electricity. Haiti's outstanding external debt was cancelled by donor countries following the 2010 earthquake, but has since risen to nearly $2 billion as of December 2015, the majority of which is owed to Venezuela under the PetroCaribe program. Although the government has increased its revenue collection, it continues to rely on formal international economic assistance for fiscal sustainability, with over 20% of its annual budget coming from foreign aid or direct budget support. |
| GDP (purchasing power parity): | $18.75 billion (2015 est.) |
| GDP (purchasing power parity): | $18.56 billion (2014 est.) |
| GDP (purchasing power parity): | $18.06 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $8.618 billion (2015 est.) |
