| Economy | MACEDONIA |
| --- | --- |
| Economy - overview: | Since its independence in 1991, Macedonia has made progress in liberalizing its economy and improving its business environment. Its low tax rates and free economic zones have helped to attract foreign investment, which is still low relative to the rest of Europe. Corruption and weak rule of law remain significant problems. Some businesses complain of opaque regulations and unequal enforcement of the law. |
| Economy - overview: | Macedonia’s economy is closely linked to Europe as a customer for exports and source of investment, and has suffered as a result of prolonged weakness in the euro zone. Unemployment has remained consistently high at about 23%, but may be overstated based on the existence of an extensive gray market, estimated to be between 20% and 45% of GDP, which is not captured by official statistics. |
| Economy - overview: | Macedonia is working to build a country-wide natural gas pipeline and distribution network. Currently, Macedonia receives its small natural gas supplies from Russia via Bulgaria. In 2016, Macedonia signed a memorandum of understanding with Greece to build an interconnector that could connect to the Trans-Adriatic Pipeline that will traverse the region once complete, or to an LNG import terminal in Greece. |
| Economy - overview: | Macedonia maintained macroeconomic stability through the global financial crisis by conducting prudent monetary policy, which keeps the domestic currency pegged to the euro, and inflation at a low level. However, in the last two years, the internal political crisis has hampered economic performance, with GDP slowing in 2016, and both domestic private and public investments declining. Fiscal policies were lax, with unproductive public expenditures, including subsidies and pension increases, and rising guarantees for the debt of state owned enterprises, and fiscal targets were consistently missed. In 2016, public debt reached 50.5% of GDP before being revised down to 47.8% of GDP by year’s end, still relatively low compared to its Western Balkan neighbors and the rest of Europe. In 2016, Macedonia issued a Eurobond worth approximately $495 million to finance 2016 and part of 2017 budget needs. |
| GDP (purchasing power parity): | $30.26 billion (2016 est.) |
| GDP (purchasing power parity): | $29.17 billion (2015 est.) |
| GDP (purchasing power parity): | $27.79 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars; Macedonia has a large informal sector that may not be reflected in these data |
| GDP (official exchange rate): | $10.91 billion (2016 est.) |
| GDP - real growth rate: | 2.4% (2016 est.) |
| GDP - real growth rate: | 3.8% (2015 est.) |
| GDP - real growth rate: | 3.6% (2014 est.) |
| GDP - per capita (PPP): | $14,600 (2016 est.) |
| GDP - per capita (PPP): | $14,300 (2015 est.) |
| GDP - per capita (PPP): | $13,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 30.5% of GDP (2016 est.) |
| Gross national saving: | 29% of GDP (2015 est.) |
| Gross national saving: | 29.8% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 65.3% |
| GDP - composition, by end use: | government consumption: 15.7% |
| GDP - composition, by end use: | investment in fixed capital: 13.3% |
| GDP - composition, by end use: | investment in inventories: 20.3% |
| GDP - composition, by end use: | exports of goods and services: 49.2% |
| GDP - composition, by end use: | imports of goods and services: -63.8% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.9% |
| GDP - composition, by sector of origin: | industry: 29.7% |
| GDP - composition, by sector of origin: | services: 60.4% (2016 est.) |
| Agriculture - products: | grapes, tobacco, vegetables, fruits; milk, eggs |
| Industries: | food processing, beverages, textiles, chemicals, iron, steel, cement, energy, pharmaceuticals, automotive parts |
| Industrial production growth rate: | 7.6% (2016 est.) |
| Labor force: | 948,600 (2016 est.) |
| Labor force - by occupation: | agriculture: 16.6% |
| Labor force - by occupation: | industry: 29.6% |
| Labor force - by occupation: | services: 53.8% (2016 est.) |
| Unemployment rate: | 23.6% (2016 est.) |
| Unemployment rate: | 26.1% (2015 est.) |
| Population below poverty line: | 21.5% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.2% |
| Household income or consumption by percentage share: | highest 10%: 34.5% (2009 est.) |
| Distribution of family income - Gini index: | 33.7 (2015) |
| Distribution of family income - Gini index: | 35.2 (2014) |
| Budget: | revenues: $3.038 billion |
| Budget: | expenditures: $3.327 billion (2016 est.) |
| Taxes and other revenues: | 27.8% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2.6% of GDP (2016 est.) |
| Public debt: | 47.8% of GDP (2016 est.) |
| Public debt: | 46.7% of GDP (2015 est.) |
| Public debt: | note: official data from Ministry of Finance; data cover central government debt; this data excludes debt instruments issued (or owned) by government entities other than the treasury; includes treasury debt held by foreign entitites; excludes debt issued by sub-national entities; there are no debt instruments sold for social funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.2% (2016 est.) |
| Inflation rate (consumer prices): | -0.3% (2015 est.) |
| Central bank discount rate: | 3.25% (31 March 2017) |
| Central bank discount rate: | 3.75% (31 December 2016) |
| Central bank discount rate: | note: series discontinued in January 2010; the discount rate has been replaced by a referent rate for calculating the penalty rate |
| Commercial bank prime lending rate: | 6.61% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 7.08% (31 December 2015 est.) |
| Stock of narrow money: | $1.909 billion (31 December 2016 est.) |
| Stock of narrow money: | $1.797 billion (31 December 2015 est.) |
| Stock of broad money: | $4.574 billion (31 December 2016 est.) |
| Stock of broad money: | $4.459 billion (31 December 2015 est.) |
| Stock of domestic credit: | $5.01 billion (31 December 2016 est.) |
| Stock of domestic credit: | $5.308 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $2.078 billion (31 December 2016) |
| Market value of publicly traded shares: | $1.853 billion (31 December 2015) |
| Market value of publicly traded shares: | $2.269 billion (31 December 2014) |
| Current account balance: | $-336 million (2016 est.) |
| Current account balance: | $-203.6 million (2015 est.) |
| Exports: | $3.75 billion (2016 est.) |
| Exports: | $3.37 billion (2015 est.) |
