| Economy | North Macedonia |
| --- | --- |
| Economy - overview: | Since its independence in 1991, Macedonia has made progress in liberalizing its economy and improving its business environment. Its low tax rates and free economic zones have helped to attract foreign investment, which is still low relative to the rest of Europe. Corruption and weak rule of law remain significant problems. Some businesses complain of opaque regulations and unequal enforcement of the law. |
| Economy - overview: | Macedoniaâ€™s economy is closely linked to Europe as a customer for exports and source of investment, and has suffered as a result of prolonged weakness in the euro zone. Unemployment has remained consistently high at about 23%, but may be overstated based on the existence of an extensive gray market, estimated to be between 20% and 45% of GDP, which is not captured by official statistics. |
| Economy - overview: | Macedonia is working to build a country-wide natural gas pipeline and distribution network. Currently, Macedonia receives its small natural gas supplies from Russia via Bulgaria. In 2016, Macedonia signed a memorandum of understanding with Greece to build an interconnector that could connect to the Trans Adriatic Pipeline that will traverse the region once complete, or to an LNG import terminal in Greece. |
| Economy - overview: | Macedonia maintained macroeconomic stability through the global financial crisis by conducting prudent monetary policy, which keeps the domestic currency pegged to the euro, and inflation at a low level. However, in the last two years, the internal political crisis has hampered economic performance, with GDP growth slowing in 2016 and 2017, and both domestic private and public investments declining. Fiscal policies were lax, with unproductive public expenditures, including subsidies and pension increases, and rising guarantees for the debt of state owned enterprises, and fiscal targets were consistently missed. In 2017, public debt stabilized at about 47% of GDP, still relatively low compared to its Western Balkan neighbors and the rest of Europe. |
| GDP (purchasing power parity): | $31.03 billion (2017 est.) |
| GDP (purchasing power parity): | $31.02 billion (2016 est.) |
| GDP (purchasing power parity): | $30.15 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars; Macedonia has a large informal sector that may not be reflected in these data |
| GDP (official exchange rate): | $11.37 billion (2017 est.) |
| GDP - real growth rate: | 0% (2017 est.) |
| GDP - real growth rate: | 2.9% (2016 est.) |
| GDP - real growth rate: | 3.9% (2015 est.) |
| GDP - per capita (PPP): | $14,900 (2017 est.) |
| GDP - per capita (PPP): | $15,000 (2016 est.) |
| GDP - per capita (PPP): | $14,600 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 30.3% of GDP (2017 est.) |
| Gross national saving: | 29.9% of GDP (2016 est.) |
| Gross national saving: | 28.5% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 65.6% (2017 est.) |
| GDP - composition, by end use: | government consumption: 15.6% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 13.6% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 20.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 54% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -69% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 10.9% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 26.6% (2017 est.) |
| GDP - composition, by sector of origin: | services: 62.5% (2017 est.) |
| Agriculture - products: | grapes, tobacco, vegetables, fruits; milk, eggs |
| Industries: | food processing, beverages, textiles, chemicals, iron, steel, cement, energy, pharmaceuticals, automotive parts |
| Industrial production growth rate: | -7.8% (2017 est.) |
| Labor force: | 950,800 (2017 est.) |
| Labor force - by occupation: | agriculture: 16.2% |
| Labor force - by occupation: | industry: 29.2% |
| Labor force - by occupation: | services: 54.5% (2017 est.) |
| Unemployment rate: | 22.4% (2017 est.) |
| Unemployment rate: | 23.8% (2016 est.) |
| Population below poverty line: | 21.5% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 25% (2015 est.) |
| Distribution of family income - Gini index: | 33.7 (2015) |
| Distribution of family income - Gini index: | 35.2 (2014) |
| Budget: | revenues: 3.295 billion (2017 est.) |
| Budget: | expenditures: 3.605 billion (2017 est.) |
| Taxes and other revenues: | 29% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -2.7% (of GDP) (2017 est.) |
| Public debt: | 39.3% of GDP (2017 est.) |
| Public debt: | 39.5% of GDP (2016 est.) |
| Public debt: | note: official data from Ministry of Finance; data cover central government debt; this data excludes debt instruments issued (or owned) by government entities other than the treasury; includes treasury debt held by foreign entitites; excludes debt issued by sub-national entities; there are no debt instruments sold for social funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.4% (2017 est.) |
| Inflation rate (consumer prices): | -0.2% (2016 est.) |
| Central bank discount rate: | 3.25% (31 March 2017) |
| Central bank discount rate: | 3.75% (31 December 2016) |
| Central bank discount rate: | note: series discontinued in January 2010; the discount rate has been replaced by a referent rate for calculating the penalty rate |
| Commercial bank prime lending rate: | 6.21% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 6.61% (31 December 2016 est.) |
| Stock of narrow money: | $2.403 billion (31 December 2017 est.) |
| Stock of narrow money: | $1.909 billion (31 December 2016 est.) |
| Stock of broad money: | $2.403 billion (31 December 2017 est.) |
| Stock of broad money: | $1.909 billion (31 December 2016 est.) |
| Stock of domestic credit: | $6.243 billion (31 December 2017 est.) |
| Stock of domestic credit: | $5.01 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $2.078 billion (31 December 2016) |
| Market value of publicly traded shares: | $1.853 billion (31 December 2015) |
| Market value of publicly traded shares: | $2.269 billion (31 December 2014) |
| Current account balance: | -$151 million (2017 est.) |
| Current account balance: | -$293 million (2016 est.) |
| Exports: | $4.601 billion (2017 est.) |
| Exports: | $3.75 billion (2016 est.) |
| Exports - partners: | Germany 46.7%, Bulgaria 6.1%, Serbia 4.4%, Belgium 4.1% (2017) |
