| Economy | MACEDONIA |
| --- | --- |
| Economy - overview: | Since its independence in 1991, Macedonia has made progress in liberalizing its economy and improving its business environment, but has lagged the Balkan region in attracting foreign investment. Corruption and weak rule of law remain significant problems. Some businesses complain of opaque regulations and unequal enforcement of the law.  Unemployment has remained consistently high at more than 30% since 2008, but may be overstated based on the existence of an extensive gray market, estimated to be between 20% and 45% of GDP, which is not captured by official statistics. Macedonia&rsquo;s economy is closely linked to Europe as a customer for exports and source of investment, and has suffered as a result of prolonged weakness in the euro zone. Macedonia maintained macroeconomic stability through the global financial crisis by conducting prudent monetary policy, which keeps the domestic currency pegged against the euro, and by limiting fiscal deficits. The government has been loosening fiscal policy, however, and the budget deficit was 4.2% of GDP in both 2013 and 2014. Public debt at the end of 2014 was 45.8%, which although low by regional comparison, is significant for a small economy. |
| GDP (purchasing power parity): | $27.62 billion (2014 est.) |
| GDP (purchasing power parity): | $26.62 billion (2013 est.) |
| GDP (purchasing power parity): | $25.93 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars; Macedonia has a large informal sector that may not be reflected in these data |
| GDP (official exchange rate): | $11.34 billion (2014 est.) |
| GDP - real growth rate: | 3.8% (2014 est.) |
| GDP - real growth rate: | 2.7% (2013 est.) |
| GDP - real growth rate: | -0.5% (2012 est.) |
| GDP - per capita (PPP): | $13,300 (2014 est.) |
| GDP - per capita (PPP): | $12,900 (2013 est.) |
| GDP - per capita (PPP): | $12,500 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 29.2% of GDP (2014 est.) |
| Gross national saving: | 26.7% of GDP (2013 est.) |
| Gross national saving: | 26% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 69.8% |
| GDP - composition, by end use: | government consumption: 16.8% |
| GDP - composition, by end use: | investment in fixed capital: 29% |
| GDP - composition, by end use: | investment in inventories: 1.6% |
| GDP - composition, by end use: | exports of goods and services: 47.9% |
| GDP - composition, by end use: | imports of goods and services: -65.1% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.8% |
| GDP - composition, by sector of origin: | industry: 21.3% |
| GDP - composition, by sector of origin: | services: 69.9% (2014 est.) |
