| Economy | Macedonia |
| --- | --- |
| Economy - overview: | Macedonia is vulnerable to economic developments in Europe - due to strong banking and trade ties - and dependent on regional integration and progress toward EU membership for continued economic growth. At independence in September 1991, Macedonia was the least developed of the Yugoslav republics, producing a mere 5% of the total federal output of goods and services. The collapse of the Socialist Federal Republic of Yugoslavia ended transfer payments from the central government and eliminated advantages from inclusion in a de facto free trade area. An absence of infrastructure, UN sanctions on the downsized Yugoslavia, and a Greek economic embargo over a dispute about the country's constitutional name and flag hindered economic growth until 1996. Since then, Macedonia has maintained macroeconomic stability with low inflation, but it has so far lagged the region in attracting foreign investment and creating jobs, despite making extensive fiscal and business sector reforms. Official unemployment remains high at more than 31%, but may be overstated based on the existence of an extensive gray market, estimated to be between 20% and 45% of GDP, that is not captured by official statistics. In the wake of the global economic downturn, Macedonia has experienced decreased foreign direct investment, lowered credit availability, and a large trade deficit. However, as a result of conservative fiscal policies and a sound financial system, in 2010 the country credit rating improved slightly to BB+ and was kept at that level in 2011-12. Macroeconomic stability has been maintained by a prudent monetary policy, which keeps the domestic currency pegged against the euro. As a result, GDP growth was modest, but positive, from 2010 to 2012, and inflation was under control. |
| GDP (purchasing power parity): | $22.15 billion (2012 est.) |
| GDP (purchasing power parity): | $21.94 billion (2011 est.) |
| GDP (purchasing power parity): | $21.28 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars; Macedonia has a large informal sector that may not be reflected in these data |
| GDP (official exchange rate): | $10.2 billion (2012 est.) |
| GDP - real growth rate: | 1% (2012 est.) |
| GDP - real growth rate: | 3.1% (2011) |
| GDP - real growth rate: | 2.9% (2010) |
| GDP - per capita (PPP): | $10,700 (2012 est.) |
| GDP - per capita (PPP): | $10,600 (2011 est.) |
| GDP - per capita (PPP): | $10,300 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition by sector: | agriculture: 11.1% |
| GDP - composition by sector: | industry: 27.3% |
| GDP - composition by sector: | services: 61.6% (2012 est.) |
| Labor force: | 936,000 (2012 est.) |
| Labor force - by occupation: | agriculture: 19.9% |
| Labor force - by occupation: | industry: 22.1% |
| Labor force - by occupation: | services: 58% (September 2010) |
