| Economy | CYPRUS |
| --- | --- |
| Economy - overview: | The area of the Republic of Cyprus under government control has a market economy dominated by a services sector that accounts for more than four-fifths of GDP. Tourism, finance, shipping, and real estate have traditionally been the most important services. Cyprus has been a member of the EU since May 2004 and adopted the euro as its national currency in January 2008. |
| Economy - overview: | During the first five years of EU membership, the Cyprus economy grew at an average rate of about 4%, with unemployment between 2004 and 2008 averaging about 4%. However, the economy tipped into recession in 2009 as the ongoing global financial crisis and resulting low demand hit the tourism and construction sectors. An overextended banking sector with excessive exposure to Greek debt added to the contraction. Cyprus’ biggest two banks were among the largest holders of Greek bonds in Europe and had a substantial presence in Greece through bank branches and subsidiaries. Following numerous downgrades of its credit rating, Cyprus lost access to international capital markets in May 2011. In July 2012, Cyprus became the fifth euro-zone government to request an economic bailout program from the European Commission, European Central Bank and the International Monetary Fund - known collectively as the "Troika." |
| Economy - overview: | Shortly after the election of President Nikos ANASTASIADES in February 2013, Cyprus reached an agreement with the Troika on a $13 billion bailout that triggered a two-week bank closure and the imposition of capital controls that remained partially in place until April 2015. Cyprus' two largest banks merged and the combined entity was recapitalized through conversion of some large bank deposits to shares and imposition of losses on bank bondholders. As with other EU countries, the Troika conditioned the bailout on passing financial and structural reforms and privatizing state-owned enterprises. Despite downsizing and restructuring, the Cypriot financial sector throughout 2015 remained burdened by the largest stock of non-performing loans in the euro zone, equal to nearly half of all loans. Since the bailout, Cyprus has received positive appraisals by the Troika and outperformed fiscal targets but has struggled to overcome political opposition to bailout-mandated legislation, particularly regarding privatizations. Cyprus emerged from recession in 2015 and its economy grew an estimated 1.5% for the year, setting a positive tone for the scheduled end of the bailout program in March 2016. Growth recovered to 2.8% in 2016. The European Commission projects continued GDP growth in Cyprus of 2.5% in 2017 and an 11.1% reduction in unemployment, but the rate of non-performing loans (NPLs) is still very high at around 49%. If Cypriot banks can increase the pace of resolution of these NPLs, economic growth could exceed the projection. |
| Economy - overview: | In October 2013, a US-Israeli consortium completed preliminary appraisals of hydrocarbon deposits in Cyprus’ exclusive economic zone (EEZ), which estimated gross mean reserves of about 130 billion cubic meters. Though exploration continues in Cyprus’ EEZ, no additional commercially exploitable reserves were identified during the exploratory drilling in 2014/2015. Developing offshore hydrocarbon resources remains a critical component of the government’s economic recovery efforts, but development has been delayed as a result of regional developments and disagreements about exploitation methods. |
| Economy - overview: | Economy - overview: Even though the whole of the island is part of the EU, implementation of the EU "acquis communautaire" has been suspended in the area administered by Turkish Cypriots, known locally as the "Turkish Republic of Northern Cyprus" ("TRNC"), until political conditions permit the reunification of the island. The market-based economy of the "TRNC" is roughly one-fifth the size of its southern neighbor and is likewise dominated by the service sector with a large portion of the population employed by the government. In 2012 - the latest year for which data are available - the services sector, which includes the public sector, trade, tourism, and education, contributed 58.7% to economic output. In the same year, light manufacturing and agriculture contributed 2.7% and 6.2%, respectively. Manufacturing is limited mainly to food and beverages, furniture and fixtures, construction materials, metal and non-metal products, textiles and clothing. The “TRNC” maintains few economic ties with the Republic of Cyprus outside of trade in construction materials. Since its creation, the "TRNC" has heavily relied on financial assistance from Turkey, which supports the "TRNC" defense, telecommunications, water and postal services. The Turkish Lira is the preferred currency, though foreign currencies are widely accepted in business transactions. The "TRNC" remains vulnerable to the Turkish market and monetary policy because of its use of the Turkish Lira. The "TRNC" weathered the European financial crisis relatively unscathed - compared to the Republic of Cyprus - because of the lack of financial sector development, the health of the Turkish economy, and its separation from the rest of the island. The "TRNC" economy experienced growth estimated at 2.8% in 2013 and 2.3% in 2014 and is projected to grow 3.8% in 2015. |
| GDP (purchasing power parity): | $29.66 billion (2016 est.) |
| GDP (purchasing power parity): | $28.48 billion (2015 est.) |
| GDP (purchasing power parity): | $27.71 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (purchasing power parity): | GDP (purchasing power parity): $1.829 billion (2007 est.) |
| GDP (official exchange rate): | $19.81 billion (2016 est.) |
| GDP - real growth rate: | 2.8% (2016 est.) |
| GDP - real growth rate: | 1.7% (2015 est.) |
| GDP - real growth rate: | -1.5% (2014 est.) |
| GDP - real growth rate: | GDP - real growth rate: 2.3% (2014 est.) |
| GDP - per capita (PPP): | $35,000 (2016 est.) |
| GDP - per capita (PPP): | $34,000 (2015 est.) |
| GDP - per capita (PPP): | $33,100 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 10.3% of GDP (2016 est.) |
| Gross national saving: | 11.6% of GDP (2015 est.) |
| Gross national saving: | 8% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 69.6% |
| GDP - composition, by end use: | government consumption: 15.2% |
| GDP - composition, by end use: | investment in fixed capital: 16.8% |
| GDP - composition, by end use: | investment in inventories: -1.2% |
| GDP - composition, by end use: | exports of goods and services: 62% |
| GDP - composition, by end use: | imports of goods and services: -62.4% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.3% |
| GDP - composition, by sector of origin: | industry: 11% |
| GDP - composition, by sector of origin: | services: 86.7% (2016 est.) |
| Agriculture - products: | citrus, vegetables, barley, grapes, olives, vegetables; poultry, pork, lamb; dairy, cheese |
| Agriculture - products: | Agriculture - products: citrus fruit, dairy, potatoes, grapes, olives, poultry, lamb |
