| Economy | MAURITIUS |
| --- | --- |
| Economy - overview: | Since independence in 1968, Mauritius has undergone a remarkable economic transformation from a low-income, agriculturally based economy to a diversified, upper middle-income economy with growing industrial, financial, and tourist sectors. Mauritius has achieved steady growth over the last several decades, resulting in more equitable income distribution, increased life expectancy, lowered infant mortality, and a much-improved infrastructure. |
| Economy - overview: | The economy currently depends on sugar, tourism, textiles and apparel, and financial services, but is expanding into fish processing, information and communications technology, and hospitality and property development. Sugarcane is grown on about 90% of the cultivated land area and accounts for 15% of export earnings. The government's development strategy centers on creating vertical and horizontal clusters of development in these sectors. Mauritius has attracted more than 32,000 offshore entities, many aimed at commerce in India, South Africa, and China. Investment in the banking sector alone has reached over $1 billion. Mauritius’ textile sector has taken advantage of the Africa Growth and Opportunity Act, a preferential trade program that allows duty free access to the US market, with Mauritian exports to the US growing by 40% from 2000 to 2014. |
| Economy - overview: | Mauritius' sound economic policies and prudent banking practices helped mitigate negative effects of the global financial crisis in 2008-09. GDP grew in the 3-4% per year range in 2010-16, and the country continues to expand its trade and investment outreach around the globe. Growth in the US and Europe fostered goods and services exports, including tourism, while lower oil prices kept inflation low in 2016. Mauritius continues to rank first in sub-Saharan Africa on the World Bank’s Doing Business Report. |
| GDP (purchasing power parity): | $25.96 billion (2016 est.) |
| GDP (purchasing power parity): | $24.67 billion (2015 est.) |
| GDP (purchasing power parity): | $23.58 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $12.15 billion (2016 est.) |
| GDP - real growth rate: | 3.9% (2016 est.) |
| GDP - real growth rate: | 3.5% (2015 est.) |
| GDP - real growth rate: | 3.6% (2014 est.) |
| GDP - per capita (PPP): | $20,500 (2016 est.) |
| GDP - per capita (PPP): | $19,800 (2015 est.) |
| GDP - per capita (PPP): | $19,100 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 16.3% of GDP (2016 est.) |
| Gross national saving: | 16.3% of GDP (2015 est.) |
| Gross national saving: | 17% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 73.6% |
| GDP - composition, by end use: | government consumption: 15.4% |
| GDP - composition, by end use: | investment in fixed capital: 17.3% |
| GDP - composition, by end use: | investment in inventories: 3.1% |
| GDP - composition, by end use: | exports of goods and services: 44.5% |
