| Economy | MAURITIUS |
| --- | --- |
| Economy - overview: | Since independence in 1968, Mauritius has undergone a remarkable economic transformation from a low-income, agriculturally based economy to a diversified, upper middle-income economy with growing industrial, financial, and tourist sectors. Mauritius has achieved steady growth over the last several decades, resulting in more equitable income distribution, increased life expectancy, lowered infant mortality, and a much-improved infrastructure. The economy rests on sugar, tourism, textiles and apparel, and financial services, and is expanding into fish processing, information and communications technology, and hospitality and property development. Sugarcane is grown on about 90% of the cultivated land area and accounts for 15% of export earnings. The government's development strategy centers on creating vertical and horizontal clusters of development in these sectors. Mauritius has attracted more than 32,000 offshore entities, many aimed at commerce in India, South Africa, and China. Investment in the banking sector alone has reached over $1 billion. Mauritius&rsquo; textile sector has taken advantage of the Africa Growth and Opportunity Act, with Mauritian exports to the US growing by 400% from 2001-2012. Mauritius' sound economic policies and prudent banking practices helped to mitigate negative effects of the global financial crisis in 2008-09. GDP grew in the 3-4% per year range in 2010-14, and the country continues to expand its trade and investment outreach around the globe. |
| GDP (purchasing power parity): | $23.36 billion (2014 est.) |
| GDP (purchasing power parity): | $22.62 billion (2013 est.) |
| GDP (purchasing power parity): | $21.92 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $13.24 billion (2014 est.) |
| GDP - real growth rate: | 3.2% (2014 est.) |
| GDP - real growth rate: | 3.2% (2013 est.) |
| GDP - real growth rate: | 3.2% (2012 est.) |
| GDP - per capita (PPP): | $18,600 (2014 est.) |
| GDP - per capita (PPP): | $18,000 (2013 est.) |
| GDP - per capita (PPP): | $17,400 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 14.8% of GDP (2014 est.) |
| Gross national saving: | 15.1% of GDP (2013 est.) |
| Gross national saving: | 18.4% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 73.4% |
| GDP - composition, by end use: | government consumption: 14.4% |
| GDP - composition, by end use: | investment in fixed capital: 21.2% |
| GDP - composition, by end use: | investment in inventories: 2.8% |
| GDP - composition, by end use: | exports of goods and services: 55.4% |
| GDP - composition, by end use: | imports of goods and services: -67.2% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.5% |
| GDP - composition, by sector of origin: | industry: 22.4% |
| GDP - composition, by sector of origin: | services: 73.2% (2014 est.) |
| Agriculture - products: | sugarcane, tea, corn, potatoes, bananas, pulses; cattle, goats; fish |
| Industries: | food processing (largely sugar milling), textiles, clothing, mining, chemicals, metal products, transport equipment, nonelectrical machinery, tourism |
| Industrial production growth rate: | 0.4% (2014 est.) |
| Labor force: | 600,200 (2014 est.) |
| Labor force - by occupation: | agriculture and fishing: 9% |
| Labor force - by occupation: | construction and industry: 30% |
| Labor force - by occupation: | transportation and communication: 7% |
| Labor force - by occupation: | trade, restaurants, hotels: 22% |
| Labor force - by occupation: | finance: 6% |
| Labor force - by occupation: | other services: 25% (2007) |
| Unemployment rate: | 7.8% (2014 est.) |
| Unemployment rate: | 8% (2013 est.) |
| Population below poverty line: | 8% (2006 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 35.9 (2012 est.) |
| Distribution of family income - Gini index: | 39 (2006 est.) |
| Budget: | revenues: $2.797 billion |
| Budget: | expenditures: $3.263 billion (2014 est.) |
| Taxes and other revenues: | 22% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -3.7% of GDP (2014 est.) |
| Public debt: | 61.4% of GDP (2014 est.) |
| Public debt: | 60% of GDP (2013 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 3% (2014 est.) |
| Inflation rate (consumer prices): | 3.5% (2013 est.) |
| Central bank discount rate: | 9% (31 December 2010) |
| Commercial bank prime lending rate: | 8.7% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 8.5% (31 December 2013 est.) |
| Stock of narrow money: | $2.666 billion (31 December 2014 est.) |
| Stock of narrow money: | $2.562 billion (31 December 2013 est.) |
| Stock of broad money: | $12.6 billion (31 December 2014 est.) |
| Stock of broad money: | $12.15 billion (31 December 2013 est.) |
| Stock of domestic credit: | $16.27 billion (31 December 2014 est.) |
| Stock of domestic credit: | $14.9 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $7.093 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $7.667 billion (31 December 2011) |
| Market value of publicly traded shares: | $7.442 billion (31 December 2010 est.) |
