| Economy | Mauritius |
| --- | --- |
| Economic overview: | Since independence in 1968, Mauritius has undergone a remarkable economic transformation from a low-income, agriculturally based economy to a diversified, upper middle-income economy with growing industrial, financial, and tourist sectors. Mauritius has achieved steady growth over the last several decades, resulting in more equitable income distribution, increased life expectancy, lowered infant mortality, and a much-improved infrastructure. |
| Economic overview: | Â  |
| Economic overview: | The economy currently depends on sugar, tourism, textiles and apparel, and financial services, but is expanding into fish processing, information and communications technology, education, and hospitality and property development. Sugarcane is grown on about 90% of the cultivated land area but sugar makes up only around 3-4% of national GDP. Authorities plan to emphasize services and innovation in the coming years. After several years of slow growth, government policies now seek to stimulate economic growth in five areas: serving as a gateway for international investment into Africa; increasing the use of renewable energy; developing smart cities; growing the ocean economy; and upgrading and modernizing infrastructure, including public transportation, the port, and the airport. |
| Economic overview: | Â  |
| Economic overview: | Mauritius has attracted more than 32,000 offshore entities, many aimed at commerce in India, South Africa, and China. The Mauritius International Financial Center is under scrutiny by international bodies promoting fair tax competition and Mauritius has been cooperating with the European Union and the United states in the automatic exchange of account information. Mauritius is also a member of the OECD/G20â€™s Inclusive Framework on Base Erosion and Profit Shifting and is under pressure to review its Double Taxation Avoidance Agreements. The offshore sector is vulnerable to changes in the tax framework and authorities have been working on a Financial Services Sector Blueprint to enable Mauritius to transition to a jurisdiction of higher value added. Mauritiusâ€™ textile sector has taken advantage of the Africa Growth and Opportunity Act, a preferential trade program that allows duty free access to the US market, with Mauritian exports to the US growing by 35.6 % from 2000 to 2014. However, lack of local labor as well as rising labor costs eroding the competitiveness of textile firms in Mauritius. |
| Economic overview: | Â  |
| Economic overview: | Mauritius' sound economic policies and prudent banking practices helped mitigate negative effects of the global financial crisis in 2008-09. GDP grew in the 3-4% per year range in 2010-17, and the country continues to expand its trade and investment outreach around the globe. Growth in the US and Europe fostered goods and services exports, including tourism, while lower oil prices kept inflation low. Mauritius continues to rank as one of the most business-friendly environments on the continent and passed a Business Facilitation Act to improve competitiveness and long-term growth prospects. A new National Economic Development Board was set up in 2017-2018 to spearhead efforts to promote exports and attract inward investment. |
| GDP real growth rate: | 3.8% (2017 est.) |
| GDP real growth rate: | 3.8% (2016 est.) |
| GDP real growth rate: | 3.6% (2015 est.) |
| Inflation rate (consumer prices): | 0.4% (2019 est.) |
| Inflation rate (consumer prices): | 3.2% (2018 est.) |
| Inflation rate (consumer prices): | 3.6% (2017 est.) |
| Credit ratings: | Moody's rating: Baa1 (2012) |
| GDP (purchasing power parity) - real: | $28.27 billion (2017 est.) |
| GDP (purchasing power parity) - real: | $27.23 billion (2016 est.) |
| GDP (purchasing power parity) - real: | $26.23 billion (2015 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2017 dollars |
| GDP (official exchange rate): | $14.004 billion (2019 est.) |
| GDP - per capita (PPP): | $22,300 (2017 est.) |
| GDP - per capita (PPP): | $21,500 (2016 est.) |
| GDP - per capita (PPP): | $20,800 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 16.9% of GDP (2017 est.) |
| Gross national saving: | 15.8% of GDP (2016 est.) |
| Gross national saving: | 15.2% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 4% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 21.8% (2017 est.) |
| GDP - composition, by sector of origin: | services: 74.1% (2017 est.) |
| GDP - composition, by end use: | household consumption: 81% (2017 est.) |
| GDP - composition, by end use: | government consumption: 15.1% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 17.3% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -0.4% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 42.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -55.1% (2017 est.) |
| Ease of Doing Business Index scores: | 94.5 (2020) |
| Agriculture - products: | sugarcane, tea, corn, potatoes, bananas, pulses; cattle, goats; fish |
| Industries: | food processing (largely sugar milling), textiles, clothing, mining, chemicals, metal products, transport equipment, nonelectrical machinery, tourism |
| Industrial production growth rate: | 3.2% (2017 est.) |
| Labor force: | 554,000 (2020 est.) |
| Labor force - by occupation: | agriculture: 8% |
| Labor force - by occupation: | industry: 29.8% |
| Labor force - by occupation: | services: 62.2% (2014 est.) |
| Unemployment rate: | 6.65% (2019 est.) |
| Unemployment rate: | 6.84% (2018 est.) |
| Population below poverty line: | 8% (2006 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA |
| Household income or consumption by percentage share: | highest 10%: NA |
| Budget: | revenues: 2.994 billion (2017 est.) |
| Budget: | expenditures: 3.038 billion (2017 est.) |
