| Economy | Kuwait |
| --- | --- |
| Economy - overview: | Kuwait has a geographically small, but wealthy, relatively open economy with crude oil reserves of about 102 billion barrels - more than 6% of world reserves. Kuwaiti officials plan to increase production to 4 million barrels of oil equivalent per day by 2020. Petroleum accounts for over half of GDP, 92% of export revenues, and 90% of government income. |
| Economy - overview: | With world oil prices declining, Kuwait realized a budget deficit in 2015 for the first time more than a decade; in 2016, the deficit grew to 16.5% of GDP. Kuwaiti authorities announced cuts to fuel subsidies in August 2016, provoking outrage among the public and National Assembly, and the Amir dissolved the government for the seventh time in ten years. In 2017 the deficit was reduced to 7.2% of GDP, and the government raised $8 billion by issuing international bonds. Despite Kuwaitâ€™s dependence on oil, the government has cushioned itself against the impact of lower oil prices, by saving annually at least 10% of government revenue in the Fund for Future Generations. |
| Economy - overview: | Kuwait has failed to diversify its economy or bolster the private sector, because of a poor business climate, a large public sector that employs about 74% of citizens, and an acrimonious relationship between the National Assembly and the executive branch that has stymied most economic reforms. The Kuwaiti Government has made little progress on its long-term economic development plan first passed in 2010. While the government planned to spend up to $104 billion over four years to diversify the economy, attract more investment, and boost private sector participation in the economy, many of the projects did not materialize because of an uncertain political situation or delays in awarding contracts. To increase non-oil revenues, the Kuwaiti Government in August 2017 approved draft bills supporting a Gulf Cooperation Council-wide value added tax scheduled to take effect in 2018. |
| GDP (purchasing power parity): | $289.7 billion (2017 est.) |
| GDP (purchasing power parity): | $299.7 billion (2016 est.) |
| GDP (purchasing power parity): | $293.2 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $120.7 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | -3.3% (2017 est.) |
| GDP - real growth rate: | 2.2% (2016 est.) |
| GDP - real growth rate: | -1% (2015 est.) |
| GDP - per capita (PPP): | $65,800 (2017 est.) |
| GDP - per capita (PPP): | $69,900 (2016 est.) |
| GDP - per capita (PPP): | $69,200 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 35.4% of GDP (2017 est.) |
| Gross national saving: | 32.9% of GDP (2016 est.) |
| Gross national saving: | 37.1% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 43.1% (2017 est.) |
| GDP - composition, by end use: | government consumption: 24.5% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 26.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 3.5% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 49.4% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -47% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.4% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 58.7% (2017 est.) |
| GDP - composition, by sector of origin: | services: 40.9% (2017 est.) |
| Agriculture - products: | fish |
| Industries: | petroleum, petrochemicals, cement, shipbuilding and repair, water desalination, food processing, construction materials |
| Industrial production growth rate: | 2.8% (2017 est.) |
| Labor force: | 2.695 million (2017 est.) |
| Labor force: | note: non-Kuwaitis represent about 60% of the labor force |
| Labor force - by occupation: | agriculture: NA |
| Labor force - by occupation: | industry: NA |
| Labor force - by occupation: | services: NA |
| Unemployment rate: | 1.1% (2017 est.) |
| Unemployment rate: | 1.1% (2016 est.) |
| Population below poverty line: | NA |
| Household income or consumption by percentage share: | lowest 10%: NA |
| Household income or consumption by percentage share: | highest 10%: NA |
| Budget: | revenues: 50.5 billion (2017 est.) |
| Budget: | expenditures: 62.6 billion (2017 est.) |
| Taxes and other revenues: | 41.8% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -10% (of GDP) (2017 est.) |
| Public debt: | 20.6% of GDP (2017 est.) |
| Public debt: | 9.9% of GDP (2016 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 1.5% (2017 est.) |
| Inflation rate (consumer prices): | 3.5% (2016 est.) |
| Central bank discount rate: | 2.75% (18 December 2017) |
| Central bank discount rate: | 2.5% (31 December 2016) |
| Commercial bank prime lending rate: | 4.68% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 4.5% (31 December 2016 est.) |
| Stock of narrow money: | $33.68 billion (31 December 2017 est.) |
| Stock of narrow money: | $31.86 billion (31 December 2016 est.) |
| Stock of broad money: | $33.68 billion (31 December 2017 est.) |
| Stock of broad money: | $31.86 billion (31 December 2016 est.) |
| Stock of domestic credit: | $111.2 billion (31 December 2017 est.) |
| Stock of domestic credit: | $103.4 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $81.78 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $83.13 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $99.77 billion (31 December 2014 est.) |
| Current account balance: | $7.127 billion (2017 est.) |
| Current account balance: | -$5.056 billion (2016 est.) |
| Exports: | $55.17 billion (2017 est.) |
| Exports: | $46.26 billion (2016 est.) |
| Exports - partners: | South Korea 18.3%, China 17.4%, Japan 11.5%, India 11.2%, Singapore 6.3%, US 5.7% (2017) |
| Exports - commodities: | oil and refined products, fertilizers |
| Imports: | $29.53 billion (2017 est.) |
| Imports: | $26.56 billion (2016 est.) |
| Imports - commodities: | food, construction materials, vehicles and parts, clothing |
| Imports - partners: | China 13.5%, US 13.3%, UAE 9.5%, Saudi Arabia 5.8%, Germany 5.4%, Japan 5%, India 4.7%, Italy 4.5% (2017) |
| Reserves of foreign exchange and gold: | $33.7 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $31.13 billion (31 December 2016 est.) |
| Debt - external: | $47.24 billion (31 December 2017 est.) |
| Debt - external: | $38.34 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $12.9 billion (31 December 2017 est.) |
