| Economy | KUWAIT |
| --- | --- |
| Economy - overview: | Kuwait has a geographically small, but wealthy, relatively open economy with crude oil reserves of about 102 billion barrels - more than 6% of world reserves. Kuwaiti officials plan to increase oil production to 4 million barrels per day by 2020. Petroleum accounts for over half of GDP, 94% of export revenues, and 89% of government income. For the last decade, high oil prices have generated budget surpluses despite increasing budget expenditures, particularly on wage hikes for public sector employees. Despite Kuwait&rsquo;s dependence on oil, the government has cushioned itself against the impact of lower oil prices by continuous saving of at least 10% of government revenue in the Fund for Future Generations. Kuwait has done little to diversify its economy, in part, due to a poor business climate and an acrimonious relationship between the National Assembly and the executive branch that has stymied most economic reforms. In 2010, Kuwait passed its first long-term economic development plan in almost twenty-five years. While the government planned to spend up $104 billion over four years to diversify the economy away from oil, attract more investment, and boost private sector participation in the economy, many of the projects did not materialize because of the uncertain political situation. |
| GDP (purchasing power parity): | $282.6 billion (2014 est.) |
| GDP (purchasing power parity): | $282.3 billion (2013 est.) |
| GDP (purchasing power parity): | $280 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $172.6 billion (2014 est.) |
| GDP - real growth rate: | 0.1% (2014 est.) |
| GDP - real growth rate: | 0.8% (2013 est.) |
| GDP - real growth rate: | 7.7% (2012 est.) |
| GDP - per capita (PPP): | $70,700 (2014 est.) |
| GDP - per capita (PPP): | $70,600 (2013 est.) |
| GDP - per capita (PPP): | $70,000 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 46.3% of GDP (2014 est.) |
| Gross national saving: | 56.6% of GDP (2013 est.) |
| Gross national saving: | 58.7% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 28.2% |
| GDP - composition, by end use: | government consumption: 19.4% |
| GDP - composition, by end use: | investment in fixed capital: 15.8% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 67.9% |
