| Economy | Portugal |
| --- | --- |
| Economic overview: | Portugal has become a diversified and increasingly service-based economy since joining the European Community - the EU's predecessor - in 1986. Over the following two decades, successive governments privatized many state-controlled firms and liberalized key areas of the economy, including the financial and telecommunications sectors. The country joined the Economic and Monetary Union in 1999 and began circulating the euro on 1 January 2002 along with 11 other EU members. |
| Economic overview: | The economy grew by more than the EU average for much of the 1990s, but the rate of growth slowed in 2001-08. After the global financial crisis in 2008, Portugalâ€™s economy contracted in 2009 and fell into recession from 2011 to 2013, as the government implemented spending cuts and tax increases to comply with conditions of an EU-IMF financial rescue package, signed in May 2011. Portugal successfully exited its EU-IMF program in May 2014, and its economic recovery gained traction in 2015 because of strong exports and a rebound in private consumption. GDP growth accelerated in 2016, and probably reached 2.5 % in 2017. Unemployment remained high, at 9.7% in 2017, but has improved steadily since peaking at 18% in 2013. |
| Economic overview: | The center-left minority Socialist government has unwound some unpopular austerity measures while managing to remain within most EU fiscal targets. The budget deficit fell from 11.2% of GDP in 2010 to 1.8% in 2017, the countryâ€™s lowest since democracy was restored in 1974, and surpassing the EU and IMF projections of 3%. Portugal exited the EUâ€™s excessive deficit procedure in mid-2017. |
| GDP real growth rate: | 2.24% (2019 est.) |
| GDP real growth rate: | 2.85% (2018 est.) |
| GDP real growth rate: | 3.51% (2017 est.) |
| Inflation rate (consumer prices): | 0.3% (2019 est.) |
| Inflation rate (consumer prices): | 0.9% (2018 est.) |
| Inflation rate (consumer prices): | 1.3% (2017 est.) |
| Credit ratings: | Fitch rating: BBB (2007) |
| Credit ratings: | Moody's rating: Baa3 (2018) |
| Credit ratings: | Standard & Poors rating: BBB (2019) |
| GDP (purchasing power parity) - real: | $307.045 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $300.33 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $292.01 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $237.698 billion (2019 est.) |
| GDP - per capita (PPP): | $24,808 (2019 est.) |
| GDP - per capita (PPP): | $24,195 (2018 est.) |
| GDP - per capita (PPP): | $23,451 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 16.8% of GDP (2017 est.) |
| Gross national saving: | 16.1% of GDP (2016 est.) |
| Gross national saving: | 15.9% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.2% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 22.1% (2017 est.) |
| GDP - composition, by sector of origin: | services: 75.7% (2017 est.) |
| GDP - composition, by end use: | household consumption: 65.1% (2017 est.) |
| GDP - composition, by end use: | government consumption: 17.6% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 16.2% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 43.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -42.1% (2017 est.) |
| Ease of Doing Business Index scores: | 90.9 (2020) |
| Agriculture - products: | grain, potatoes, tomatoes, olives, grapes; sheep, cattle, goats, pigs, poultry, dairy products; fish |
| Industries: | textiles, clothing, footwear, wood and cork, paper and pulp, chemicals, fuels and lubricants, automobiles and auto parts, base metals, minerals, porcelain and ceramics, glassware, technology, telecommunications; dairy products, wine, other foodstuffs; ship construction and refurbishment; tourism, plastics, financial services, optics |
| Industrial production growth rate: | 3.5% (2017 est.) |
| Labor force: | 4.717 million (2020 est.) |
| Labor force - by occupation: | agriculture: 8.6% |
| Labor force - by occupation: | industry: 23.9% |
| Labor force - by occupation: | services: 67.5% (2014 est.) |
| Unemployment rate: | 6.55% (2019 est.) |
| Unemployment rate: | 7.05% (2018 est.) |
| Population below poverty line: | 19% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 25.9% (2015 est.) |
| Budget: | revenues: 93.55 billion (2017 est.) |
| Budget: | expenditures: 100 billion (2017 est.) |
| Taxes and other revenues: | 42.9% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -3% (of GDP) (2017 est.) |
| Public debt: | 125.7% of GDP (2017 est.) |
| Public debt: | 129.9% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Current account balance: | -$203 million (2019 est.) |
| Current account balance: | $988 million (2018 est.) |
| Exports: | $114.512 billion (2019 est.) |
| Exports: | $110.591 billion (2018 est.) |
| Exports: | $106.201 billion (2017 est.) |
