| Economy | Portugal |
| --- | --- |
| Economy - overview: | Portugal has become a diversified and increasingly service-based economy since joining the European Community - the EU's predecessor - in 1986. Over the following two decades, successive governments privatized many state-controlled firms and liberalized key areas of the economy, including the financial and telecommunications sectors. The country qualified for the Economic and Monetary Union (EMU) in 1998 and began circulating the euro on 1 January 2002 along with 11 other EU members. The economy grew by more than the EU average for much of the 1990s, but the rate of growth slowed in 2001-08. The economy contracted in 2009, and fell again from 2011 to 2013, as the government implemented spending cuts and tax increases to comply with conditions of an EU-IMF financial rescue package, signed in May 2011. Austerity measures also have contributed to record unemployment and a wave of emigration not seen since the 1960s. Booming exports will contribute to growth and employment in 2014, but the need to continue to reduce private- and public-sector debt could weigh on consumption and investment. The government of Pedro PASSOS COELHO has stated its intention to reduce labor market rigidity, and, this, along with steps to trim the budget deficit, could make Portugal more attractive to foreign investors. The government reduced the budget deficit from 10.1% of GDP in 2009 to 5.1% in 2013, lower than the EU-IMF fiscal target of 5.5%. Despite these efforts, public debt has continued to grow and, in 2013, stands among the highest in the EU. As a result, the government may have difficulty regaining full bond market financing when the EU-IMF financing program expires in May 2014. |
| GDP (purchasing power parity): | $243.3 billion (2013 est.) |
| GDP (purchasing power parity): | $247.7 billion (2012 est.) |
| GDP (purchasing power parity): | $256 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $219.3 billion (2013 est.) |
| GDP - real growth rate: | -1.8% (2013 est.) |
| GDP - real growth rate: | -3.2% (2012 est.) |
| GDP - real growth rate: | -1.3% (2011 est.) |
| GDP - per capita (PPP): | $22,900 (2013 est.) |
| GDP - per capita (PPP): | $23,400 (2012 est.) |
| GDP - per capita (PPP): | $24,000 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 15.4% of GDP (2013 est.) |
| Gross national saving: | 15% of GDP (2012 est.) |
| Gross national saving: | 11.3% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 64.8% |
| GDP - composition, by end use: | government consumption: 18.1% |
| GDP - composition, by end use: | investment in fixed capital: 15.5% |
| GDP - composition, by end use: | investment in inventories: -0.4% |
| GDP - composition, by end use: | exports of goods and services: 42% |
| GDP - composition, by end use: | imports of goods and services: -40% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.6% |
| GDP - composition, by sector of origin: | industry: 22.2% |
| GDP - composition, by sector of origin: | services: 75.2% (2013 est.) |
| Agriculture - products: | grain, potatoes, tomatoes, olives, grapes; sheep, cattle, goats, pigs, poultry, dairy products; fish |
| Industries: | textiles, clothing, footwear, wood and cork, paper, chemicals, auto parts, base metals, porcelain and ceramics, glassware, technology, telecommunications; dairy products, wine, other foodstuffs; ship construction and refurbishment; tourism |
| Industrial production growth rate: | -1% (2013 est.) |
| Labor force: | 5.395 million (2013 est.) |
| Labor force - by occupation: | agriculture: 11.7% |
| Labor force - by occupation: | industry: 28.5% |
| Labor force - by occupation: | services: 59.8% (2009 est.) |
| Unemployment rate: | 16.8% (2013 est.) |
