| Economy | PORTUGAL |
| --- | --- |
| Economy - overview: | Portugal has become a diversified and increasingly service-based economy since joining the European Community - the EU's predecessor - in 1986. Over the following two decades, successive governments privatized many state-controlled firms and liberalized key areas of the economy, including the financial and telecommunications sectors. The country joined the Economic and Monetary Union in 1999 and began circulating the euro on 1 January 2002 along with 11 other EU members. |
| Economy - overview: | The economy grew by more than the EU average for much of the 1990s, but the rate of growth slowed in 2001-08. The economy contracted in 2009, and fell again from 2011 to 2013, as the government implemented spending cuts and tax increases to comply with conditions of an EU-IMF financial rescue package, signed in May 2011. Portugal successfully exited its EU-IMF program in May 2014. A modest recovery gathered steam in 2015 due to strong export performance and a rebound in private consumption. Growth slowed slightly in the first half of 2016, but rebounded in the last two quarters of the year to register at 1.4 percent for the year. Unemployment remains high, at 10.2%, at the end of 2016, but has improved steadily since peaking at 18% in 2013. |
| Economy - overview: | The center-left minority Socialist government has unwound some unpopular austerity measures while managing to remain within most EU fiscal targets. The budget deficit fell from 11.2% of GDP in 2010 to 2.0% in 2016, the country’s lowest since democracy was restored in 1974, and surpassing the EU and IMF projections of 3%. Portugal is expected to exit the EU’s excessive deficit procedure by mid-2017. |
| GDP (purchasing power parity): | $298.6 billion (2016 est.) |
| GDP (purchasing power parity): | $290.7 billion (2015 est.) |
| GDP (purchasing power parity): | $283.1 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $204.6 billion (2016 est.) |
| GDP - real growth rate: | 1.4% (2016 est.) |
| GDP - real growth rate: | 1.6% (2015 est.) |
| GDP - real growth rate: | 0.9% (2014 est.) |
| GDP - per capita (PPP): | $28,900 (2016 est.) |
| GDP - per capita (PPP): | $28,400 (2015 est.) |
| GDP - per capita (PPP): | $27,900 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 15.8% of GDP (2016 est.) |
| Gross national saving: | 15.5% of GDP (2015 est.) |
| Gross national saving: | 15.4% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 65.8% |
| GDP - composition, by end use: | government consumption: 18% |
| GDP - composition, by end use: | investment in fixed capital: 14.9% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 40.3% |
| GDP - composition, by end use: | imports of goods and services: -39.1% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.3% |
| GDP - composition, by sector of origin: | industry: 22.4% |
| GDP - composition, by sector of origin: | services: 75.4% (2016 est.) |
| Agriculture - products: | grain, potatoes, tomatoes, olives, grapes; sheep, cattle, goats, pigs, poultry, dairy products; fish |
| Industries: | textiles, clothing, footwear, wood and cork, paper and pulp, chemicals, fuels and lubricants, automobiles and auto parts, base metals, minerals, porcelain and ceramics, glassware, technology, telecommunications; dairy products, wine, other foodstuffs; ship construction and refurbishment; tourism, plastics, financial services, optics |
| Industrial production growth rate: | 0.7% (2016 est.) |
| Labor force: | 5.178 million (2016 est.) |
