| Economy | Portugal |
| --- | --- |
| Economy - overview: | Portugal has become a diversified and increasingly service-based economy since joining the European Community - the EU's predecessor - in 1986. Over the following two decades, successive governments privatized many state-controlled firms and liberalized key areas of the economy, including the financial and telecommunications sectors. The country qualified for the Economic and Monetary Union (EMU) in 1998 and began circulating the euro on 1 January 2002 along with 11 other EU members. The economy grew by more than the EU average for much of the 1990s, but the rate of growth slowed in 2001-08. The economy contracted 2.5% in 2009, before growing 1.4% in 2010, but GDP fell again in 2011 and 2012, as the government began implementing spending cuts and tax increases to comply with conditions of an EU-IMF financial rescue package, agreed to in May 2011. GDP per capita stands at roughly two-thirds of the EU-27 average. Portugal also has been increasingly overshadowed by lower-cost producers in Central Europe and Asia as a destination for foreign direct investment, in part because its rigid labor market hindered greater productivity and growth. However, the government of Pedro PASSOS COELHO has enacted several measures to introduce more flexibility into the labor market, and, this, along with steps to reduce high levels of public debt, could make Portugal more attractive to foreign investors. The government reduced the budget deficit from 10.1% of GDP in 2009 to 4.5% in 2011, an achievement made possible only by the extraordinary revenues obtained from the one-time transfer of bank pension funds to the social security system. The budget deficit worsened in 2012 as a sharp reduction in domestic consumption took a bigger bite out of value-added tax revenues while rising unemployment benefits increased expenditures more than anticipated. Poor growth prospects over the next year have reinforced investors' concerns about the government's ability to achieve its budget deficit targets and regain full access to bond market financing when the EU-IMF financing program expires in 2013. |
| GDP (purchasing power parity): | $245 billion (2012 est.) |
| GDP (purchasing power parity): | $252.5 billion (2011 est.) |
| GDP (purchasing power parity): | $256.8 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $210.6 billion (2012 est.) |
| GDP - real growth rate: | -3% (2012 est.) |
| GDP - real growth rate: | -1.7% (2011 est.) |
| GDP - real growth rate: | 1.4% (2010 est.) |
| GDP - per capita (PPP): | $23,000 (2012 est.) |
| GDP - per capita (PPP): | $23,700 (2011 est.) |
| GDP - per capita (PPP): | $24,100 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition by sector: | agriculture: 2.6% |
| GDP - composition by sector: | industry: 22.6% |
| GDP - composition by sector: | services: 74.8% (2012 est.) |
| Labor force: | 5.48 million (2012 est.) |
| Labor force - by occupation: | agriculture: 11.7% |
| Labor force - by occupation: | industry: 28.5% |
| Labor force - by occupation: | services: 59.8% (2009 est.) |
| Unemployment rate: | 15.3% (2012 est.) |
| Unemployment rate: | 12.7% (2011 est.) |
| Population below poverty line: | 18% (2006) |
| Household income or consumption by percentage share: | lowest 10%: 3.1% |
| Household income or consumption by percentage share: | highest 10%: 28.4% (1995 est.) |
| Distribution of family income - Gini index: | 38.5 (2007) |
| Distribution of family income - Gini index: | 35.6 (1995) |
| Investment (gross fixed): | 16.1% of GDP (2012 est.) |
| Budget: | revenues: $94.67 billion |
| Budget: | expenditures: $107.4 billion (2012 est.) |
| Taxes and other revenues: | 44.9% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -6.1% of GDP (2012 est.) |
| Public debt: | 119.7% of GDP (2012 est.) |
| Public debt: | 107.8% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Inflation rate (consumer prices): | 2.9% (2012 est.) |
| Inflation rate (consumer prices): | 3.7% (2011 est.) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | 1.75% (31 December 2010) |
