| Economy | Portugal |
| --- | --- |
| Economy - overview: | Portugal has become a diversified and increasingly service-based economy since joining the European Community - the EU's predecessor - in 1986. Over the following two decades, successive governments privatized many state-controlled firms and liberalized key areas of the economy, including the financial and telecommunications sectors. The country joined the Economic and Monetary Union in 1999 and began circulating the euro on 1 January 2002 along with 11 other EU members. |
| Economy - overview: | The economy grew by more than the EU average for much of the 1990s, but the rate of growth slowed in 2001-08. After the global financial crisis in 2008, Portugalâ€™s economy contracted in 2009 and fell into recession from 2011 to 2013, as the government implemented spending cuts and tax increases to comply with conditions of an EU-IMF financial rescue package, signed in May 2011. Portugal successfully exited its EU-IMF program in May 2014, and its economic recovery gained traction in 2015 because of strong exports and a rebound in private consumption. GDP growth accelerated in 2016, and probably reached 2.5 % in 2017. Unemployment remained high, at 9.7% in 2017, but has improved steadily since peaking at 18% in 2013. |
| Economy - overview: | The center-left minority Socialist government has unwound some unpopular austerity measures while managing to remain within most EU fiscal targets. The budget deficit fell from 11.2% of GDP in 2010 to 1.8% in 2017, the countryâ€™s lowest since democracy was restored in 1974, and surpassing the EU and IMF projections of 3%. Portugal exited the EUâ€™s excessive deficit procedure in mid-2017. |
| GDP (purchasing power parity): | $314.1 billion (2017 est.) |
| GDP (purchasing power parity): | $305.9 billion (2016 est.) |
| GDP (purchasing power parity): | $301 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $218 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 2.7% (2017 est.) |
| GDP - real growth rate: | 1.6% (2016 est.) |
| GDP - real growth rate: | 1.8% (2015 est.) |
| GDP - per capita (PPP): | $30,500 (2017 est.) |
| GDP - per capita (PPP): | $29,600 (2016 est.) |
| GDP - per capita (PPP): | $29,100 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 16.8% of GDP (2017 est.) |
| Gross national saving: | 16.1% of GDP (2016 est.) |
| Gross national saving: | 15.9% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 65.1% (2017 est.) |
| GDP - composition, by end use: | government consumption: 17.6% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 16.2% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 43.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -42.1% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.2% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 22.1% (2017 est.) |
| GDP - composition, by sector of origin: | services: 75.7% (2017 est.) |
| Agriculture - products: | grain, potatoes, tomatoes, olives, grapes; sheep, cattle, goats, pigs, poultry, dairy products; fish |
| Industries: | textiles, clothing, footwear, wood and cork, paper and pulp, chemicals, fuels and lubricants, automobiles and auto parts, base metals, minerals, porcelain and ceramics, glassware, technology, telecommunications; dairy products, wine, other foodstuffs; ship construction and refurbishment; tourism, plastics, financial services, optics |
