| Economy | Honduras |
| --- | --- |
| Economy - overview: | Honduras, the second poorest country in Central America, suffers from extraordinarily unequal distribution of income, as well as high underemployment. While historically dependent on the export of bananas and coffee, Honduras has diversified its export base to include apparel and automobile wire harnessing. Nearly half of Honduras's economic activity is directly tied to the US, with exports to the US accounting for 30% of GDP and remittances for another 20%. The US-Central America-Dominican Republic Free Trade Agreement (CAFTA-DR) came into force in 2006 and has helped foster foreign direct investment, but physical and political insecurity, as well as crime and perceptions of corruption, may deter potential investors; about 70% of FDI is from US firms. The economy registered modest economic growth of 3.0%-4.0% from 2010 to 2012, insufficient to improve living standards for the nearly 65% of the population in poverty. An 18-month IMF Standby Arrangement expired in March 2012 and was not renewed, due to the country's growing budget deficit and weak current account performance. Public sector workers complained of not receiving their salaries in November and December 2012, and government suppliers are owed at least several hundred million dollars in unpaid contracts. The government announced in January 2013 that loss-making public enterprises will be forced to submit financial rescue plans before receiving their budget allotments for 2013. |
| GDP (purchasing power parity): | $39.23 billion (2013 est.) |
| GDP (purchasing power parity): | $38.16 billion (2012 est.) |
| GDP (purchasing power parity): | $36.74 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $18.88 billion (2013 est.) |
| GDP - real growth rate: | 2.8% (2013 est.) |
| GDP - real growth rate: | 3.9% (2012 est.) |
| GDP - real growth rate: | 3.8% (2011 est.) |
| GDP - per capita (PPP): | $4,800 (2013 est.) |
| GDP - per capita (PPP): | $4,800 (2012 est.) |
| GDP - per capita (PPP): | $4,700 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 17.7% of GDP (2013 est.) |
| Gross national saving: | 16.4% of GDP (2012 est.) |
| Gross national saving: | 17.5% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 79.5% |
| GDP - composition, by end use: | government consumption: 16.4% |
| GDP - composition, by end use: | investment in fixed capital: 25.2% |
| GDP - composition, by end use: | investment in inventories: 1.2% |
| GDP - composition, by end use: | exports of goods and services: 51.5% |
| GDP - composition, by end use: | imports of goods and services: -73.8% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 14% |
| GDP - composition, by sector of origin: | industry: 28.2% |
| GDP - composition, by sector of origin: | services: 57.8% (2013 est.) |
| Agriculture - products: | bananas, coffee, citrus, corn, African palm; beef; timber; shrimp, tilapia, lobster |
| Industries: | sugar, coffee, woven and knit apparel, wood products, cigars |
| Industrial production growth rate: | 4.6% (2013 est.) |
| Labor force: | 3.507 million (2013 est.) |
| Labor force - by occupation: | agriculture: 39.2% |
| Labor force - by occupation: | industry: 20.9% |
| Labor force - by occupation: | services: 39.8% (2005 est.) |
| Unemployment rate: | 4.5% (2013 est.) |
| Unemployment rate: | 4.4% (2012 est.) |
| Unemployment rate: | note: about one-third of the people are underemployed |
| Population below poverty line: | 60% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 0.4% |
| Household income or consumption by percentage share: | highest 10%: 42.4% (2009 est.) |
| Distribution of family income - Gini index: | 57.7 (2007) |
| Distribution of family income - Gini index: | 53.8 (2003) |
| Budget: | revenues: $3.113 billion |
| Budget: | expenditures: $4.285 billion (2013 est.) |
| Taxes and other revenues: | 16.5% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -6.2% of GDP (2013 est.) |
| Public debt: | 40.6% of GDP (2013 est.) |
| Public debt: | 35.8% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.2% (2013 est.) |
| Inflation rate (consumer prices): | 5.2% (2012 est.) |
