| Economy | Lesotho |
| --- | --- |
| Economy - overview: | Small, mountainous, and completely landlocked by South Africa, Lesotho depends on a narrow economic base of textile manufacturing, agriculture, remittances, and regional customs revenue. About three-fourths of the people live in rural areas and engage in animal herding and subsistence agriculture, although Lesotho produces less than 20% of the nation's demand for food. Agriculture is vulnerable to weather and climate variability. |
| Economy - overview: | Lesotho relies on South Africa for much of its economic activity; Lesotho imports 85% of the goods it consumes from South Africa, including most agricultural inputs. Households depend heavily on remittances from family members working in South Africa in mines, on farms, and as domestic workers, though mining employment has declined substantially since the 1990s. Lesotho is a member of the Southern Africa Customs Union (SACU), and revenues from SACU accounted for roughly 26% of total GDP in 2016; however, SACU revenues are volatile and expected to decline over the next 5 years. Lesotho also gains royalties from the South African Government for water transferred to South Africa from a dam and reservoir system in Lesotho. However, the government continues to strengthen its tax system to reduce dependency on customs duties and other transfers. |
| Economy - overview: | The government maintains a large presence in the economy - government consumption accounted for about 26% of GDP in 2017. The government remains Lesotho's largest employer; in 2016, the government wage bill rose to 23% of GDP â€“ the largest in sub-Saharan Africa. Lesotho's largest private employer is the textile and garment industry - approximately 36,000 Basotho, mainly women, work in factories producing garments for export to South Africa and the US. Diamond mining in Lesotho has grown in recent years and accounted for nearly 35% of total exports in 2015. Lesotho managed steady GDP growth at an average of 4.5% from 2010 to 2014, dropping to about 2.5% in 2015-16, but poverty remains widespread around 57% of the total population. |
| GDP (purchasing power parity): | $6.656 billion (2017 est.) |
| GDP (purchasing power parity): | $6.762 billion (2016 est.) |
| GDP (purchasing power parity): | $6.561 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $2.749 billion (2017 est.) |
| GDP - real growth rate: | -1.6% (2017 est.) |
| GDP - real growth rate: | 3.1% (2016 est.) |
| GDP - real growth rate: | 2.5% (2015 est.) |
| GDP - per capita (PPP): | $3,300 (2017 est.) |
| GDP - per capita (PPP): | $3,400 (2016 est.) |
| GDP - per capita (PPP): | $3,300 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 20.3% of GDP (2017 est.) |
| Gross national saving: | 19.7% of GDP (2016 est.) |
| Gross national saving: | 24.7% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 69.2% (2017 est.) |
| GDP - composition, by end use: | government consumption: 26.4% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 31.4% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -13.4% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 40.8% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -54.4% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.8% (2016 est.) |
| GDP - composition, by sector of origin: | industry: 39.2% (2016 est.) |
