| Economy | Lesotho |
| --- | --- |
| Economy - overview: | Small, mountainous, and completely landlocked by South Africa, Lesotho is a least developed country in which about three-fourths of the people live in rural areas and engage in subsistence agriculture. Lesotho produces less than 20% of the nation's demand for food. Rain-fed agriculture is vulnerable to weather and climate variability; an estimated 725,500 people will require food assistance in 2012/13. The distribution of income in Lesotho remains inequitable. Lesotho relies on South Africa for much of its economic activity. Lesotho imports 90% of the goods it consumes from South Africa, including most agricultural inputs. Households depend heavily on remittances from family members working in South Africa, in mines, on farms and as domestic workers, though mining employment has declined substantially since the 1990s. Government revenue depends heavily on transfers from South Africa. Customs duties from the Southern Africa Customs Union accounted for 44% of government revenue in 2012. The South African Government also pays royalties for water transferred to South Africa from a dam and reservoir system in Lesotho. However, the government continues to strengthen its tax system to reduce dependency on customs duties and other transfers. Access to credit remains a problem for the private sector. The government maintains a large presence in the economy - public expenditures accounted for 55% of GDP in 2010 and the government remains Lesotho's largest employer. Lesotho's largest private employer is the textile and garment industry - approximately 36,000 Basotho, mainly women, work in factories producing garments for export to South Africa and the US. Diamond mining in Lesotho has grown in recent years and may contribute 8.5% to GDP by 2015, according to current forecasts. Lesotho's $362.5 million Millennium Challenge Account Compact, which focused on strengthening the healthcare system, developing the private sector, and providing access to improved water supplies and sanitation facilities, will end in September 2013. Despite the 2008/09 global economic crisis, the economy has recovered strongly with growth averaging nearly 5% per year since 2010. |
| GDP (purchasing power parity): | $4.041 billion (2012 est.) |
| GDP (purchasing power parity): | $3.865 billion (2011 est.) |
| GDP (purchasing power parity): | $3.657 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $2.428 billion (2012 est.) |
| GDP - real growth rate: | 4.5% (2012 est.) |
| GDP - real growth rate: | 5.7% (2011 est.) |
| GDP - real growth rate: | 6.3% (2010 est.) |
| GDP - per capita (PPP): | $2,100 (2012 est.) |
| GDP - per capita (PPP): | $2,000 (2011 est.) |
| GDP - per capita (PPP): | $1,900 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 7.8% of GDP (2012 est.) |
