| Economy | LAOS |
| --- | --- |
| Economy - overview: | The government of Laos, one of the few remaining one-party communist states, began decentralizing control and encouraging private enterprise in 1986. Economic growth averaged 6% per year from 1988-2008 except during the short-lived drop caused by the Asian financial crisis that began in 1997. Laos' growth has more recently been amongst the fastest in Asia and averaged nearly 8% per year for the last decade. |
| Economy - overview: | Nevertheless, Laos remains a country with an underdeveloped infrastructure, particularly in rural areas. It has a basic, but improving, road system, and limited external and internal land-line telecommunications. Electricity is available to 83% of the population. Agriculture, dominated by rice cultivation in lowland areas, accounts for about 25% of GDP and 73% of total employment. |
| Economy - overview: | Laos' economy is heavily dependent on capital-intensive natural resource exports. The economy has benefited from high-profile foreign direct investment in hydropower dams along the Mekong River, copper and gold mining, logging, and construction, although some projects in these industries have drawn criticism for their environmental impacts. |
| Economy - overview: | Laos gained Normal Trade Relations status with the US in 2004 and applied for Generalized System of Preferences trade benefits in 2013 after being admitted to the World Trade Organization earlier in the year. Laos began a one-year chairmanship of ASEAN in January 2016. Laos is in the process of implementing a value-added tax system. The government appears committed to raising the country's profile among foreign investors and has developed special economic zones replete with generous tax incentives, but a small labor pool remains an impediment to investment. Laos also has ongoing problems with the business environment, including onerous registration requirements, a gap between legislation and implementation, and unclear or conflicting regulations. |
| GDP (purchasing power parity): | $37.32 billion (2015 est.) |
| GDP (purchasing power parity): | $34.88 billion (2014 est.) |
| GDP (purchasing power parity): | $32.47 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $12.5 billion (2015 est.) |
| GDP - real growth rate: | 7% (2015 est.) |
| GDP - real growth rate: | 7.4% (2014 est.) |
| GDP - real growth rate: | 8% (2013 est.) |
| GDP - per capita (PPP): | $5,300 (2015 est.) |
| GDP - per capita (PPP): | $5,100 (2014 est.) |
| GDP - per capita (PPP): | $4,800 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 25% of GDP (2015 est.) |
| Gross national saving: | 20% of GDP (2014 est.) |
| Gross national saving: | 25.8% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 63.7% |
| GDP - composition, by end use: | government consumption: 14.1% |
| GDP - composition, by end use: | investment in fixed capital: 31.3% |
| GDP - composition, by end use: | investment in inventories: 0.8% |
| GDP - composition, by end use: | exports of goods and services: 43.6% |
| GDP - composition, by end use: | imports of goods and services: -53.5% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 22.2% |
| GDP - composition, by sector of origin: | industry: 32.4% |
| GDP - composition, by sector of origin: | services: 38.7% (2015 est.) |
| Agriculture - products: | sweet potatoes, vegetables, corn, coffee, sugarcane, tobacco, cotton, tea, peanuts, rice; cassava (manioc, tapioca), water buffalo, pigs, cattle, poultry |
| Industries: | mining (copper, tin, gold, gypsum); timber, electric power, agricultural processing, rubber, construction, garments, cement, tourism |
| Industrial production growth rate: | 7.5% (2015 est.) |
| Labor force: | 3.438 million (2015 est.) |
| Labor force - by occupation: | agriculture: 73.1% |
| Labor force - by occupation: | industry: 6.1% |
| Labor force - by occupation: | services: 20.6% (2012 est.) |
| Unemployment rate: | 1.3% (2012 est.) |
| Unemployment rate: | 1.4% (2014 est.) |
| Population below poverty line: | 22% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.3% |
| Household income or consumption by percentage share: | highest 10%: 30.3% (2008) |
| Distribution of family income - Gini index: | 36.7 (2008) |
| Distribution of family income - Gini index: | 34.6 (2002) |
| Budget: | revenues: $2.799 billion |
| Budget: | expenditures: $3.446 billion (2015 est.) |
