| Economy | Romania |
| --- | --- |
| Economy - overview: | Romania, which joined the EU on 1 January 2007, began the transition from communism in 1989 with a largely obsolete industrial base and a pattern of output unsuited to the country's needs. Romania's macroeconomic gains have only recently started to spur creation of a middle class and to address Romania's widespread poverty. Corruption and red tape continue to permeate the business environment. |
| Economy - overview: | In the aftermath of the global financial crisis, Romania signed a $26 billion emergency assistance package from the IMF, the EU, and other international lenders, but GDP contracted until 2011. In March 2011, Romania and the IMF/EU/World Bank signed a 24-month precautionary standby agreement, worth $6.6 billion, to promote fiscal discipline, encourage progress on structural reforms, and strengthen financial sector stability; no funds were drawn. In September 2013, Romanian authorities and the IMF/EU agreed to a follow-on standby agreement, worth $5.4 billion, to continue with reforms. This agreement expired in September 2015, and no funds were drawn. Progress on structural reforms has been uneven, and the economy still is vulnerable to external shocks. |
| Economy - overview: | Economic growth rebounded in the 2013-17 period, driven by strong industrial exports, excellent agricultural harvests, and, more recently, expansionary fiscal policies in 2016-2017 that nearly quadrupled Bucharestâ€™s annual fiscal deficit, from +0.8% of GDP in 2015 to -3% of GDP in 2016 and an estimated -3.4% in 2017. Industry outperformed other sectors of the economy in 2017. Exports remained an engine of economic growth, led by trade with the EU, which accounts for roughly 70% of Romania trade. Domestic demand was the major driver, due to tax cuts and large wage increases that began last year and are set to continue in 2018. |
| Economy - overview: | An aging population, emigration of skilled labor, significant tax evasion, insufficient health care, and an aggressive loosening of the fiscal package compromise Romaniaâ€™s long-term growth and economic stability and are the economy's top vulnerabilities. |
| GDP (purchasing power parity): | $483.4 billion (2017 est.) |
| GDP (purchasing power parity): | $452 billion (2016 est.) |
| GDP (purchasing power parity): | $431.2 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $211.9 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 6.9% (2017 est.) |
| GDP - real growth rate: | 4.8% (2016 est.) |
| GDP - real growth rate: | 3.9% (2015 est.) |
| GDP - per capita (PPP): | $24,600 (2017 est.) |
| GDP - per capita (PPP): | $22,900 (2016 est.) |
| GDP - per capita (PPP): | $21,700 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 21.1% of GDP (2017 est.) |
| Gross national saving: | 21.7% of GDP (2016 est.) |
| Gross national saving: | 23.9% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 70% (2017 est.) |
| GDP - composition, by end use: | government consumption: 7.7% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 22.6% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.9% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 41.4% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -43.6% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.2% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 33.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 62.6% (2017 est.) |
