| Economy | GHANA |
| --- | --- |
| Economy - overview: | Ghana's economy was strengthened by a quarter century of relatively sound management, a competitive business environment, and sustained reductions in poverty levels, but in recent years has suffered the consequences of loose fiscal policy, high budget and current account deficits, and a depreciating currency. Ghana has a market-based economy with relatively few policy barriers to trade and investment in comparison with other countries in the region, and Ghana is well-endowed with natural resources. |
| Economy - overview: | Agriculture accounts for nearly one-quarter of GDP and employs more than half of the workforce, mainly small landholders. The services sector accounts for about half of GDP. Gold and cocoa exports, and individual remittances, are major sources of foreign exchange. Expansion of Ghana’s nascent oil industry has boosted economic growth, but the recent oil price crash reduced by half Ghana’s 2015 oil revenue. Production at Jubilee, Ghana's offshore oilfield, began in mid-December 2010 and currently produces roughly 110,000 barrels per day. The country’s first gas processing plant at Atubao is also producing natural gas from the Jubilee field, providing power to several of Ghana’s thermal power plants. |
| Economy - overview: | As of 2015, the biggest single economic issue facing Ghana is the lack of consistent electricity. While the MAHAMA administration is taking steps to improve the situation, little progress has been made. Ghana signed a $920 million extended credit facility with the IMF in April 2015 to help it address its growing economic crisis. The IMF fiscal targets will require Ghana to reduce the fiscal deficit by cutting subsidies, decreasing the bloated public sector wage bill, strengthening revenue administration, and increasing revenues. The challenge for Ghana will come as the MAHAMA Administration approaches the November 2016 elections, facing public dissatisfaction in the midst of economic austerity. |
| GDP (purchasing power parity): | $114.7 billion (2015 est.) |
| GDP (purchasing power parity): | $110.8 billion (2014 est.) |
| GDP (purchasing power parity): | $106.6 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $36.04 billion (2015 est.) |
| GDP - real growth rate: | 3.5% (2015 est.) |
| GDP - real growth rate: | 4% (2014 est.) |
| GDP - real growth rate: | 7.3% (2013 est.) |
| GDP - per capita (PPP): | $4,300 (2015 est.) |
| GDP - per capita (PPP): | $4,200 (2014 est.) |
| GDP - per capita (PPP): | $4,200 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 17% of GDP (2015 est.) |
| Gross national saving: | 17.7% of GDP (2014 est.) |
| Gross national saving: | 15.6% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 66.5% |
| GDP - composition, by end use: | government consumption: 19% |
| GDP - composition, by end use: | investment in fixed capital: 23.6% |
| GDP - composition, by end use: | investment in inventories: 1.6% |
| GDP - composition, by end use: | exports of goods and services: 44.1% |
| GDP - composition, by end use: | imports of goods and services: -54.8% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 20.7% |
| GDP - composition, by sector of origin: | industry: 27.7% |
| GDP - composition, by sector of origin: | services: 51.6% (2015 est.) |
| Agriculture - products: | cocoa, rice, cassava (manioc, tapioca), peanuts, corn, shea nuts, bananas; timber |
| Industries: | mining, lumbering, light manufacturing, aluminum smelting, food processing, cement, small commercial ship building, petroleum |
| Industrial production growth rate: | 1.2% (2015 est.) |
| Labor force: | 11.7 million (2015 est.) |
| Labor force - by occupation: | agriculture: 44.7% |
| Labor force - by occupation: | industry: 14.4% |
| Labor force - by occupation: | services: 40.9% (2013 est.) |
| Unemployment rate: | 5.2% (2013 est.) |
| Population below poverty line: | 24.2% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 32.8% (2006) |
| Distribution of family income - Gini index: | 42.3 (2012-13) |
| Distribution of family income - Gini index: | 41.9 (2005-06) |
| Budget: | revenues: $8.376 billion |
| Budget: | expenditures: $10.92 billion (2015 est.) |
| Taxes and other revenues: | 23.2% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -7.1% of GDP (2015 est.) |
| Public debt: | 71.8% of GDP (2015 est.) |
| Public debt: | 70.6% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 17.2% (2015 est.) |
| Inflation rate (consumer prices): | 15.5% (2014 est.) |
| Central bank discount rate: | 21% (31 December 2014) |
| Central bank discount rate: | 16% (31 December 2013) |
| Commercial bank prime lending rate: | 28.6% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 27% (31 December 2014 est.) |
| Stock of narrow money: | $5.736 billion (31 December 2015 est.) |
| Stock of narrow money: | $5.663 billion (31 December 2014 est.) |
| Stock of broad money: | $12.2 billion (31 December 2015 est.) |
| Stock of broad money: | $11.69 billion (31 December 2014 est.) |
| Stock of domestic credit: | $12.93 billion (31 December 2015 est.) |
| Stock of domestic credit: | $13.54 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $3.465 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $3.097 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $3.531 billion (31 December 2010 est.) |
| Current account balance: | -$2.99 billion (2015 est.) |
| Current account balance: | -$3.698 billion (2014 est.) |
| Exports: | $10.36 billion (2015 est.) |
| Exports: | $13.22 billion (2014 est.) |
| Exports - commodities: | oil, gold, cocoa, timber, tuna, bauxite, aluminum, manganese ore, diamonds, horticultural products |
| Exports - partners: | India 25.2%, Switzerland 12.2%, China 10.6%, France 5.7% (2015) |
| Imports: | $13.47 billion (2015 est.) |
| Imports: | $14.6 billion (2014 est.) |
| Imports - commodities: | capital equipment, refined petroleum, foodstuffs |
| Imports - partners: | China 32.6%, Nigeria 14%, Netherlands 5.5%, US 5.4% (2015) |
