| Economy | GHANA |
| --- | --- |
| Economy - overview: | Ghana has a market-based economy with relatively few policy barriers to trade and investment in comparison with other countries in the region, and Ghana is well-endowed with natural resources. Ghana's economy was strengthened by a quarter century of relatively sound management, a competitive business environment, and sustained reductions in poverty levels, but in recent years has suffered the consequences of loose fiscal policy, high budget and current account deficits, and a depreciating currency. |
| Economy - overview: | Agriculture accounts for about 20% of GDP and employs more than half of the workforce, mainly small landholders. Gold and cocoa exports, and individual remittances, are major sources of foreign exchange. Expansion of Ghana’s nascent oil industry has boosted economic growth, but the fall in oil prices since 2015 reduced by half Ghana’s oil revenue. Production at Jubilee, Ghana's offshore oilfield, began in mid-December 2010. The country’s first gas processing plant at Atubao is also producing natural gas from the Jubilee field, providing power to several of Ghana’s thermal power plants. |
| Economy - overview: | As of 2016, key economic concerns facing the government include the lack of reliable electricity and the high debt burden, even amid strong GDP growth. While the MAHAMA administration attempted to ameliorate these concerns, little progress has been made, leaving much work to be done in 2017 by the incoming AKUFO-ADDO administration. Ghana signed a $920 million extended credit facility with the IMF in April 2015 to help it address its growing economic crisis. The IMF fiscal targets require Ghana to reduce the deficit by cutting subsidies, decreasing the bloated public sector wage bill, strengthening revenue administration, and boosting tax revenues. Priorities for the new administration include rescheduling some of Ghana’s $31 billion debt, stimulating economic growth, reducing inflation, and stabilizing the currency. Prospects for new oil and gas production, potentially higher global gold prices, and followthrough on tighter fiscal management are likely to help Ghana’s economy in 2017. |
| GDP (purchasing power parity): | $120.9 billion (2016 est.) |
| GDP (purchasing power parity): | $115.3 billion (2015 est.) |
| GDP (purchasing power parity): | $109.9 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $42.78 billion (2016 est.) |
| GDP - real growth rate: | 3.5% (2016 est.) |
| GDP - real growth rate: | 3.8% (2015 est.) |
| GDP - real growth rate: | 4% (2014 est.) |
| GDP - per capita (PPP): | $4,400 (2016 est.) |
| GDP - per capita (PPP): | $4,300 (2015 est.) |
| GDP - per capita (PPP): | $4,300 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 7.8% of GDP (2016 est.) |
| Gross national saving: | 9% of GDP (2015 est.) |
| Gross national saving: | 9.3% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 83.6% |
| GDP - composition, by end use: | government consumption: 9.1% |
| GDP - composition, by end use: | investment in fixed capital: 13.8% |
| GDP - composition, by end use: | investment in inventories: 0.7% |
| GDP - composition, by end use: | exports of goods and services: 41% |
| GDP - composition, by end use: | imports of goods and services: -48.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 19.7% |
| GDP - composition, by sector of origin: | industry: 25.3% |
| GDP - composition, by sector of origin: | services: 59.4% (2016 est.) |
| Agriculture - products: | cocoa, rice, cassava (manioc, tapioca), peanuts, corn, shea nuts, bananas; timber |
| Industries: | mining, lumbering, light manufacturing, aluminum smelting, food processing, cement, small commercial ship building, petroleum |
| Industrial production growth rate: | -1.4% (2016 est.) |
| Labor force: | 12.13 million (2016 est.) |
| Labor force - by occupation: | agriculture: 44.7% |
| Labor force - by occupation: | industry: 14.4% |
| Labor force - by occupation: | services: 40.9% (2013 est.) |
| Unemployment rate: | 11.9% (2015 est.) |
| Unemployment rate: | 5.2% (2013 est.) |
| Population below poverty line: | 24.2% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 32.8% (2006) |
| Distribution of family income - Gini index: | 42.3 (2012-13) |
| Distribution of family income - Gini index: | 41.9 (2005-06) |
| Budget: | revenues: $8.615 billion |
| Budget: | expenditures: $11.98 billion (2016 est.) |
| Taxes and other revenues: | 19.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -7.8% of GDP (2016 est.) |
| Public debt: | 78.1% of GDP (2016 est.) |
| Public debt: | 75.7% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 17.5% (2016 est.) |
