| Economy | Hungary |
| --- | --- |
| Economy - overview: | Hungary has made the transition from a centrally planned to a market economy, with a per capita income nearly two-thirds that of the EU-28 average. In late 2008, Hungary's impending inability to service its short-term debt - brought on by the global financial crisis - led Budapest to obtain an IMF/EU/World Bank-arranged financial assistance package worth over $25 billion. The global economic downturn, declining exports, and low domestic consumption and fixed asset accumulation, dampened by government austerity measures, resulted in a severe economic contraction in 2009. In 2010 the new government implemented a number of changes including cutting business and personal income taxes, but imposed "crisis taxes" on financial institutions, energy and telecom companies, and retailers. The IMF/EU bail-out program lapsed at the end of the year and was replaced by Post Program Monitoring and Article IV Consultations on overall economic and fiscal processes. At the end of 2011 the government turned to the IMF and the EU to obtain financial backstop to support its efforts to refinance foreign currency debt and bond obligations in 2012 and beyond, but Budapest's rejection of EU and IMF economic policy recommendations led to a breakdown in talks with the lenders in late 2012. Global demand for high yield has since helped Hungary to obtain funds on international markets. Hungary’s progress reducing its deficit to under 3% of GDP led the European Commission in 2013 to permit Hungary for the first time since joining the EU in 2004 to exit the Excessive Deficit Procedure. |
| GDP (purchasing power parity): | $196.6 billion (2013 est.) |
| GDP (purchasing power parity): | $196.3 billion (2012 est.) |
| GDP (purchasing power parity): | $199.8 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $130.6 billion (2013 est.) |
| GDP - real growth rate: | 0.2% (2013 est.) |
| GDP - real growth rate: | -1.7% (2012 est.) |
| GDP - real growth rate: | 1.6% (2011 est.) |
| GDP - per capita (PPP): | $19,800 (2013 est.) |
| GDP - per capita (PPP): | $19,800 (2012 est.) |
| GDP - per capita (PPP): | $20,000 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 17.1% of GDP (2013 est.) |
| Gross national saving: | 19.3% of GDP (2012 est.) |
| Gross national saving: | 20.4% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 55.5% |
| GDP - composition, by end use: | government consumption: 20.4% |
| GDP - composition, by end use: | investment in fixed capital: 16.4% |
