| Economy | HUNGARY |
| --- | --- |
| Economy - overview: | Hungary has made the transition from a centrally planned to a market economy, with a per capita income nearly two-thirds that of the EU-28 average. |
| Economy - overview: | In late 2008, Hungary's impending inability to service its short-term debt - brought on by the global financial crisis - led Budapest to obtain an IMF/EU/World Bank-arranged financial assistance package worth over $25 billion. The global economic downturn, declining exports, and low domestic consumption and investment, dampened by government austerity measures, resulted in a severe economic contraction in 2009. In 2010, the new government implemented a number of changes including cutting business and personal income taxes, but imposed "crisis taxes" on financial institutions, energy and telecom companies, and retailers. The IMF/EU bailout program lapsed at the end of 2010 and was replaced by Post Program Monitoring and Article IV Consultations on overall economic and fiscal processes. At the end of 2011 the government turned to the IMF and the EU to obtain a financial backstop to support its efforts to refinance foreign currency debt and bond obligations in 2012 and beyond, but Budapest's rejection of EU and IMF economic policy recommendations led to a breakdown in talks with the lenders in late 2012. Global demand for high yield has since helped Hungary to obtain funds on international markets. |
| Economy - overview: | Hungary’s progress reducing its deficit to under 3% of GDP led the European Commission in 2013 to permit Hungary for the first time since joining the EU in 2004 to exit the Excessive Deficit Procedure. The government remains committed to keeping the budget deficit in check and lowering public debt by using sectoral taxes, while relying on state interventionist measures to lower utility prices and boost growth and employment. |
| GDP (purchasing power parity): | $258.4 billion (2015 est.) |
| GDP (purchasing power parity): | $251.1 billion (2014 est.) |
| GDP (purchasing power parity): | $242.2 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $120.6 billion (2015 est.) |
| GDP - real growth rate: | 2.9% (2015 est.) |
| GDP - real growth rate: | 3.7% (2014 est.) |
| GDP - real growth rate: | 1.9% (2013 est.) |
| GDP - per capita (PPP): | $26,200 (2015 est.) |
| GDP - per capita (PPP): | $25,400 (2014 est.) |
| GDP - per capita (PPP): | $24,400 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 26.1% of GDP (2015 est.) |
| Gross national saving: | 24.2% of GDP (2014 est.) |
| Gross national saving: | 24.6% of GDP (2013 est.) |
