| Economy | Hungary |
| --- | --- |
| Economy - overview: | Hungary has made the transition from a centrally planned to a market economy, with a per capita income nearly two-thirds that of the EU-27 average. The private sector accounts for more than 80% of GDP. Foreign ownership of and investment in Hungarian firms are widespread, with cumulative foreign direct investment worth more than $70 billion. In late 2008, Hungary's impending inability to service its short-term debt - brought on by the global financial crisis - led Budapest to obtain an IMF/EU/World Bank-arranged financial assistance package worth over $25 billion. The global economic downturn, declining exports, and low domestic consumption and fixed asset accumulation, dampened by government austerity measures, resulted in an economic contraction of 6.8% in 2009. In 2010 the new government implemented a number of changes including cutting business and personal income taxes, but imposed "crisis taxes" on financial institutions, energy and telecom companies, and retailers. The IMF/EU bail-out program lapsed at the end of the year and was replaced by Post Program Monitoring and Article IV Consultations on overall economic and fiscal processes. The economy began to recover in 2010 with a big boost from exports, especially to Germany, and achieved growth of approximately 1.7% in 2011. At the end of 2011 the government turned to the IMF and the EU to obtain financial backstop to support its efforts to refinance foreign currency debt and bond obligations in 2012 and beyond, but Budapest's rejection of EU and IMF economic policy recommendations led to a breakdown in talks with the lenders in late 2012. Since joining the EU in 2004, Hungary has been subject to the European Commission's Excessive Deficit Procedure; Brussels has requested that the government outline measures to sustainably reduce the budget deficit to under 3% of GDP. Ongoing economic weakness in Western Europe as well as lack of domestic investment and demand caused a GDP to fall 1.7% in 2012. Unemployment remained high, at more than 11%. |
| GDP (purchasing power parity): | $193.6 billion (2012 est.) |
| GDP (purchasing power parity): | $197.1 billion (2011 est.) |
| GDP (purchasing power parity): | $193.9 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $124 billion (2012 est.) |
| GDP - real growth rate: | -1.7% (2012 est.) |
| GDP - real growth rate: | 1.6% (2011 est.) |
| GDP - real growth rate: | 1.3% (2010 est.) |
| GDP - per capita (PPP): | $19,500 (2012 est.) |
| GDP - per capita (PPP): | $19,700 (2011 est.) |
| GDP - per capita (PPP): | $19,400 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 19.3% of GDP (2012 est.) |
| Gross national saving: | 20.4% of GDP (2011 est.) |
| Gross national saving: | 19.8% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 54.3% |
| GDP - composition, by end use: | government consumption: 20.3% |
| GDP - composition, by end use: | investment in fixed capital: 17.2% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 94.8% |
| GDP - composition, by end use: | imports of goods and services: -87% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.3% |
| GDP - composition, by sector of origin: | industry: 27.6% |
| GDP - composition, by sector of origin: | services: 69.1% (2012 est.) |
| Agriculture - products: | wheat, corn, sunflower seed, potatoes, sugar beets; pigs, cattle, poultry, dairy products |
| Industries: | mining, metallurgy, construction materials, processed foods, textiles, chemicals (especially pharmaceuticals), motor vehicles |
| Industrial production growth rate: | -1.3% (2012 est.) |
| Labor force: | 4.257 million (2012 est.) |
| Labor force - by occupation: | agriculture: 7.1% |
| Labor force - by occupation: | industry: 29.7% |
| Labor force - by occupation: | services: 63.2% (2011 est.) |
| Unemployment rate: | 10.7% (2012 est.) |
| Unemployment rate: | 10.7% (2011 est.) |
| Population below poverty line: | 14% (2012) |
| Household income or consumption by percentage share: | lowest 10%: 3.1% |
| Household income or consumption by percentage share: | highest 10%: 22.6% (2009) |
| Distribution of family income - Gini index: | 24.7 (2009) |
| Distribution of family income - Gini index: | 24.4 (1998) |
| Budget: | revenues: $58.02 billion |
