| Economy | Hungary |
| --- | --- |
| Economy - overview: | Hungary has made the transition from a centrally planned to a market economy, with a per capita income nearly two-thirds that of the EU-27 average. The private sector accounts for more than 80% of GDP. Foreign ownership of and investment in Hungarian firms are widespread, with cumulative foreign direct investment worth more than $70 billion. In late 2008, Hungary's impending inability to service its short-term debt - brought on by the global financial crisis - led Budapest to obtain an IMF/EU/World Bank-arranged financial assistance package worth over $25 billion. The global economic downturn, declining exports, and low domestic consumption and fixed asset accumulation, dampened by government austerity measures, resulted in an economic contraction of 6.8% in 2009. In 2010 the new government implemented a number of changes including cutting business and personal income taxes, but imposed "crisis taxes" on financial institutions, energy and telecom companies, and retailers. The IMF/EU bail-out program lapsed at the end of the year and was replaced by Post Program Monitoring and Article IV Consultations on overall economic and fiscal processes. The economy began to recover in 2010 with a big boost from exports, especially to Germany, and achieved growth of approximately 1.7% in 2011. At the end of 2011 the government turned to the IMF and the EU to obtain financial backstop to support its efforts to refinance foreign currency debt and bond obligations in 2012 and beyond, but Budpest's rejection of EU and IMF economic policy recommendations led to a breakdown in talks with the lenders in late 2012. Since joining the EU in 2004, Hungary has been subject to the European Commisssion's Excessive Deficit Procedure; Brussels has requested that the government outline measures to sustainably reduce the budget deficit to under 3% of GDP. Ongoing economic weakness in Western Europe caused a GDP to fall 1% in 2012. Unemployment remained high, at more than 11%. |
| GDP (purchasing power parity): | $196.8 billion (2012 est.) |
| GDP (purchasing power parity): | $198.8 billion (2011 est.) |
| GDP (purchasing power parity): | $195.5 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $128.8 billion (2012 est.) |
| GDP - real growth rate: | -1% (2012 est.) |
| GDP - real growth rate: | 1.7% (2011 est.) |
| GDP - real growth rate: | 1.3% (2010 est.) |
| GDP - per capita (PPP): | $19,800 (2012 est.) |
| GDP - per capita (PPP): | $19,900 (2011 est.) |
| GDP - per capita (PPP): | $19,500 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition by sector: | agriculture: 4.2% |
| GDP - composition by sector: | industry: 30.1% |
| GDP - composition by sector: | services: 65.7% (2012 est.) |
| Labor force: | 4.178 million (2012 est.) |
| Labor force - by occupation: | agriculture: 4.7% |
| Labor force - by occupation: | industry: 30.9% |
| Labor force - by occupation: | services: 64.4% (2010 est.) |
