| Economy | SOUTH AFRICA |
| --- | --- |
| Economy - overview: | South Africa is a middle-income, emerging market with an abundant supply of natural resources; well-developed financial, legal, communications, energy, and transport sectors; and a stock exchange that is Africa&rsquo;s largest and among the top 20 in the world. |
| Economy - overview: | Even though the country's modern infrastructure supports a relatively efficient distribution of goods to major urban centers throughout the region, unstable electricity supplies retard growth. Economic growth has decelerated in recent years, slowing to just 1.5% in 2014. Unemployment, poverty, and inequality - among the highest in the world - remain a challenge. Official unemployment is roughly 25% of the work force, and runs significantly higher among black youth. Eskom, the state-run power company, is building three new power stations and is installing new power demand management programs to improve power grid reliability. Load shedding and resulting rolling blackouts gripped many parts of South Africa in late 2014 and early 2015 because of electricity supply constraints that resulted from technical problems at some generation units, unavoidable planned maintenance, and an accident at a power station in Mpumalanga province. The rolling black outs were the worst the country faced since 2008. Construction delays at two additional plants, however, mean South Africa will continue to operate on a razor thin margin; economists judge that growth cannot exceed 3% until electrical supply problems are resolved. |
| Economy - overview: | South Africa's economic policy has focused on controlling inflation; however, the country faces structural constraints that also limit economic growth, such as skills shortages, declining global competitiveness and frequent work stoppages due to strike action. The current government faces growing pressure from urban constituencies to improve the delivery of basic services to low-income areas and to increase job growth. |
| GDP (purchasing power parity): | $704.5 billion (2014 est.) |
| GDP (purchasing power parity): | $693.9 billion (2013 est.) |
| GDP (purchasing power parity): | $678.9 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $350.1 billion (2014 est.) |
| GDP - real growth rate: | 1.5% (2014 est.) |
| GDP - real growth rate: | 2.2% (2013 est.) |
| GDP - real growth rate: | 2.2% (2012 est.) |
| GDP - per capita (PPP): | $13,000 (2014 est.) |
| GDP - per capita (PPP): | $12,900 (2013 est.) |
| GDP - per capita (PPP): | $12,600 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 14.9% of GDP (2014 est.) |
| Gross national saving: | 14.4% of GDP (2013 est.) |
| Gross national saving: | 15.1% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 61.9% |
| GDP - composition, by end use: | government consumption: 22.8% |
| GDP - composition, by end use: | investment in fixed capital: 21.7% |
| GDP - composition, by end use: | investment in inventories: -0.3% |
| GDP - composition, by end use: | exports of goods and services: 34% |
| GDP - composition, by end use: | imports of goods and services: -40.1% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.4% |
| GDP - composition, by sector of origin: | industry: 28.5% |
| GDP - composition, by sector of origin: | services: 69.1% (2014 est.) |
| Agriculture - products: | corn, wheat, sugarcane, fruits, vegetables; beef, poultry, mutton, wool, dairy products |
| Industries: | mining (world's largest producer of platinum, gold, chromium), automobile assembly, metalworking, machinery, textiles, iron and steel, chemicals, fertilizer, foodstuffs, commercial ship repair |
| Industrial production growth rate: | 2% (2014 est.) |
| Labor force: | 20.23 million (2014 est.) |
| Labor force - by occupation: | agriculture: 4% |
| Labor force - by occupation: | industry: 18% |
| Labor force - by occupation: | services: 66% (2014 est.) |
| Unemployment rate: | 25.1% (2014 est.) |
| Unemployment rate: | 24.7% (2013 est.) |
| Population below poverty line: | 35.9% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.2% |
| Household income or consumption by percentage share: | highest 10%: 51.7% (2009 est.) |
| Distribution of family income - Gini index: | 62.5 (2013 est.) |
| Distribution of family income - Gini index: | 59.3 (1994) |
