| Economy | South Africa |
| --- | --- |
| Economy - overview: | South Africa is a middle-income, emerging market with an abundant supply of natural resources; well-developed financial, legal, communications, energy, and transport sectors and a stock exchange that is the 15th largest in the world. Even though the country possesses modern infrastructure that support a relatively efficient distribution of goods to major urban centers throughout the region, some components retard growth. The economy began to slow in the second half of 2007 due to an electricity crisis. State power supplier Eskom encountered problems with aging plants and meeting electricity demand necessitating "load-shedding" cuts in 2007 and 2008 to residents and businesses in the major cities. Subsequently, the global financial crisis reduced commodity prices and world demand. GDP fell nearly 2% in 2009 but has recovered since then. Unemployment, poverty, and inequality remain a challenge, with official unemployment at nearly 25% of the work force. Eskom has built two new power stations and installed new power demand management programs to improve power grid reliability. South Africa's economic policy has focused on controlling inflation, however, the country has had significant budget deficits that restrict its ability to deal with pressing economic problems. The current government faces growing pressure from special interest groups to use state-owned enterprises to deliver basic services to low-income areas and to increase job growth. |
| GDP (purchasing power parity): | $576.1 billion (2012 est.) |
| GDP (purchasing power parity): | $561.8 billion (2011 est.) |
| GDP (purchasing power parity): | $543 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $379.1 billion (2012 est.) |
| GDP - real growth rate: | 2.5% (2012 est.) |
| GDP - real growth rate: | 3.5% (2011 est.) |
| GDP - real growth rate: | 3.1% (2010 est.) |
| GDP - per capita (PPP): | $11,300 (2012 est.) |
| GDP - per capita (PPP): | $11,100 (2011 est.) |
| GDP - per capita (PPP): | $10,800 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 13.2% of GDP (2012 est.) |
| Gross national saving: | 16.1% of GDP (2011 est.) |
| Gross national saving: | 16.4% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 60.4% |
| GDP - composition, by end use: | government consumption: 22.4% |
| GDP - composition, by end use: | investment in fixed capital: 19.2% |
| GDP - composition, by end use: | investment in inventories: 1% |
| GDP - composition, by end use: | exports of goods and services: 28.3% |
| GDP - composition, by end use: | imports of goods and services: -31.3% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.6% |
| GDP - composition, by sector of origin: | industry: 28.4% |
| GDP - composition, by sector of origin: | services: 69% (2012 est.) |
| Agriculture - products: | corn, wheat, sugarcane, fruits, vegetables; beef, poultry, mutton, wool, dairy products |
| Industries: | mining (world's largest producer of platinum, gold, chromium), automobile assembly, metalworking, machinery, textiles, iron and steel, chemicals, fertilizer, foodstuffs, commercial ship repair |
| Industrial production growth rate: | 0.8% (2012 est.) |
| Labor force: | 18.06 million (2012 est.) |
| Labor force - by occupation: | agriculture: 9% |
| Labor force - by occupation: | industry: 26% |
| Labor force - by occupation: | services: 65% (2007 est.) |
| Unemployment rate: | 25.1% (2012 est.) |
| Unemployment rate: | 24.9% (2011 est.) |
| Population below poverty line: | 31.3% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.2% |
| Household income or consumption by percentage share: | highest 10%: 51.7% (2009 est.) |
| Distribution of family income - Gini index: | 63.1 (2005) |
| Distribution of family income - Gini index: | 59.3 (1994) |
| Budget: | revenues: $99.56 billion |
| Budget: | expenditures: $117.8 billion (2012 est.) |
| Taxes and other revenues: | 26.3% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -4.8% of GDP (2012 est.) |
| Public debt: | 42.3% of GDP (2012 est.) |
| Public debt: | 39.6% of GDP (2011 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 5.7% (2012 est.) |
| Inflation rate (consumer prices): | 5% (2011 est.) |
| Central bank discount rate: | 5% (31 December 2012) |
| Central bank discount rate: | 7% (31 December 2009) |
| Commercial bank prime lending rate: | 8.75% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 9% (31 December 2011 est.) |
| Stock of narrow money: | $122 billion (31 December 2012 est.) |
| Stock of narrow money: | $117.3 billion (31 December 2011 est.) |
| Stock of broad money: | $277 billion (31 December 2011 est.) |
| Stock of broad money: | $314.1 billion (31 December 2010 est.) |
| Stock of domestic credit: | $298.8 billion (31 December 2012 est.) |
| Stock of domestic credit: | $284.7 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.038 trillion (31 December 2012) |
