| Economy | Korea, South |
| --- | --- |
| Economy - overview: | South Korea over the past four decades has demonstrated incredible growth and global integration to become a high-tech industrialized economy. In the 1960s, GDP per capita was comparable with levels in the poorer countries of Africa and Asia. In 2004, South Korea joined the trillion dollar club of world economies, and is currently the world's 12th largest economy. Initially, a system of close government and business ties, including directed credit and import restrictions, made this success possible. The government promoted the import of raw materials and technology at the expense of consumer goods, and encouraged savings and investment over consumption. The Asian financial crisis of 1997-98 exposed longstanding weaknesses in South Korea's development model including high debt/equity ratios and massive short-term foreign borrowing. GDP plunged by 6.9% in 1998, and then recovered by 9% in 1999-2000. Korea adopted numerous economic reforms following the crisis, including greater openness to foreign investment and imports. Growth moderated to about 4% annually between 2003 and 2007. Korea''s export focused economy was hit hard by the 2008 global economic downturn, but quickly rebounded in subsequent years, reaching 6.3% growth in 2010. The US-South Korea Free Trade Agreement was ratified by both governments in 2011 and went into effect in March 2012. Throughout 2012 the economy experienced sluggish growth because of market slowdowns in the United States, China, and the Eurozone. The incoming administration in 2013, following the December 2012 presidential election, is likely to face the challenges of balancing heavy reliance on exports with developing domestic-oriented sectors, such as services. The South Korean economy''s long term challenges include a rapidly aging population, inflexible labor market, and heavy reliance on exports - which comprise half of GDP. |
| GDP (purchasing power parity): | $1.598 trillion (2012 est.) |
| GDP (purchasing power parity): | $1.566 trillion (2011 est.) |
| GDP (purchasing power parity): | $1.51 trillion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $1.114 trillion (2012 est.) |
| GDP - real growth rate: | 2% (2012 est.) |
| GDP - real growth rate: | 3.7% (2011 est.) |
| GDP - real growth rate: | 6.3% (2010 est.) |
| GDP - per capita (PPP): | $31,900 (2012 est.) |
| GDP - per capita (PPP): | $31,500 (2011 est.) |
| GDP - per capita (PPP): | $30,600 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 31.4% of GDP (2012 est.) |
| Gross national saving: | 31.9% of GDP (2011 est.) |
| Gross national saving: | 32.4% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 53.5% |
| GDP - composition, by end use: | government consumption: 15.8% |
| GDP - composition, by end use: | investment in fixed capital: 26.7% |
| GDP - composition, by end use: | investment in inventories: 0.8% |
| GDP - composition, by end use: | exports of goods and services: 56.5% |
| GDP - composition, by end use: | imports of goods and services: -53.4% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.7% |
| GDP - composition, by sector of origin: | industry: 39.8% |
| GDP - composition, by sector of origin: | services: 57.5% (2012 est.) |
| Agriculture - products: | rice, root crops, barley, vegetables, fruit; cattle, pigs, chickens, milk, eggs; fish |
| Industries: | electronics, telecommunications, automobile production, chemicals, shipbuilding, steel |
| Industrial production growth rate: | 1.7% (2012 est.) |
| Labor force: | 25.5 million (2012 est.) |
| Labor force - by occupation: | agriculture: 6.2% |
| Labor force - by occupation: | industry: 23.8% |
| Labor force - by occupation: | services: 70% (2012 est.) |
| Unemployment rate: | 3.2% (2012 est.) |
| Unemployment rate: | 3.4% (2011 est.) |
| Population below poverty line: | 16.5% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 6.4% |
| Household income or consumption by percentage share: | highest 10%: 37.7% (2011) |
| Distribution of family income - Gini index: | 41.9 (2011) |
| Distribution of family income - Gini index: | 35.8 (2000) |
| Budget: | revenues: $276.5 billion |
| Budget: | expenditures: $260.1 billion (2012 est.) |
| Taxes and other revenues: | 24.8% of GDP (2012 est.) |
