| Economy | KOREA, SOUTH |
| --- | --- |
| Economy - overview: | South Korea over the past four decades has demonstrated incredible economic growth and global integration to become a high-tech industrialized economy. In the 1960s, GDP per capita was comparable with levels in the poorer countries of Africa and Asia. In 2004, South Korea joined the trillion-dollar club of world economies. A system of close government and business ties, including directed credit and import restrictions, initially made this success possible. The government promoted the import of raw materials and technology at the expense of consumer goods, and encouraged savings and investment over consumption. The Asian financial crisis of 1997-98 exposed longstanding weaknesses in South Korea's development model, including high debt/equity ratios and massive short-term foreign borrowing. GDP plunged by 7% in 1998, and then recovered by 9% in 1999-2000. South Korea adopted numerous economic reforms following the crisis, including greater openness to foreign investment and imports. Growth moderated to about 4% annually between 2003 and 2007. South Korea's export focused economy was hit hard by the 2008 global economic downturn, but quickly rebounded in subsequent years, reaching over 6% growth in 2010. The US-Korea Free Trade Agreement was ratified by both governments in 2011 and went into effect in March 2012. Between 2012 and 2014, the economy experienced slow growth due to sluggish domestic consumption and investment. The administration in 2015 is likely to face the challenge of balancing heavy reliance on exports with developing domestic-oriented sectors, such as services. The South Korean economy's long-term challenges include a rapidly aging population, inflexible labor market, dominance of large conglomerates (chaebols), and the heavy reliance on exports, which comprise about half of GDP.  In an effort to address the long term challenges and sustain economic growth, the current government has prioritized structural reforms, deregulation, promotion of entrepreneurship and creative industries, and the competitiveness of small and medium enterprises. |
| GDP (purchasing power parity): | $1.781 trillion (2014 est.) |
| GDP (purchasing power parity): | $1.724 trillion (2013 est.) |
| GDP (purchasing power parity): | $1.676 trillion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $1.41 trillion (2014 est.) |
| GDP - real growth rate: | 3.3% (2014 est.) |
| GDP - real growth rate: | 2.9% (2013 est.) |
| GDP - real growth rate: | 2.3% (2012 est.) |
| GDP - per capita (PPP): | $35,300 (2014 est.) |
| GDP - per capita (PPP): | $34,100 (2013 est.) |
| GDP - per capita (PPP): | $33,200 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 35.1% of GDP (2014 est.) |
| Gross national saving: | 34.3% of GDP (2013 est.) |
| Gross national saving: | 34.2% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 50.4% |
