| Economy | Korea, South |
| --- | --- |
| Economic overview: | After emerging from the 1950-53 war with North Korea, South Korea emerged as one of the 20th centuryâ€™s most remarkable economic success stories, becoming a developed, globally connected, high-technology society within decades. In the 1960s, GDP per capita was comparable with levels in the poorest countries in the world. In 2004, South Korea's GDP surpassed one trillion dollars. |
| Economic overview: | Beginning in the 1960s under President PARK Chung-hee, the government promoted the import of raw materials and technology, encouraged saving and investment over consumption, kept wages low, and directed resources to export-oriented industries that remain important to the economy to this day. Growth surged under these policies, and frequently reached double-digits in the 1960s and 1970s. Growth gradually moderated in the 1990s as the economy matured, but remained strong enough to propel South Korea into the ranks of the advanced economies of the OECD by 1997. These policies also led to the emergence of family-owned chaebol conglomerates such as Daewoo, Hyundai, and Samsung, which retained their dominant positions even as the government loosened its grip on the economy amid the political changes of the 1980s and 1990s. |
| Economic overview: | The Asian financial crisis of 1997-98 hit South Koreaâ€™s companies hard because of their excessive reliance on short-term borrowing, and GDP ultimately plunged by 7% in 1998. South Korea tackled difficult economic reforms following the crisis, including restructuring some chaebols, increasing labor market flexibility, and opening up to more foreign investment and imports. These steps lead to a relatively rapid economic recovery. South Korea also began expanding its network of free trade agreements to help bolster exports, and has since implemented 16 free trade agreements covering 58 countriesâ€”including the United State and Chinaâ€”that collectively cover more than three-quarters of global GDP. |
| Economic overview: | In 2017, the election of President MOON Jae-in brought a surge in consumer confidence, in part, because of his successful efforts to increase wages and government spending. These factors combined with an uptick in export growth to drive real GDP growth to more than 3%, despite disruptions in South Koreaâ€™s trade with China over the deployment of a US missile defense system in South Korea. |
| Economic overview: | In 2018 and beyond, South Korea will contend with gradually slowing economic growth - in the 2-3% range - not uncommon for advanced economies. This could be partially offset by efforts to address challenges arising from its rapidly aging population, inflexible labor market, continued dominance of the chaebols, and heavy reliance on exports rather than domestic consumption. Socioeconomic problems also persist, and include rising inequality, poverty among the elderly, high youth unemployment, long working hours, low worker productivity, and corruption. |
| GDP real growth rate: | 2.04% (2019 est.) |
| GDP real growth rate: | 2.91% (2018 est.) |
| GDP real growth rate: | 3.16% (2017 est.) |
| Inflation rate (consumer prices): | 0.3% (2019 est.) |
| Inflation rate (consumer prices): | 1.4% (2018 est.) |
| Inflation rate (consumer prices): | 1.9% (2017 est.) |
| Credit ratings: | Fitch rating: AA- (2012) |
| Credit ratings: | Moody's rating: Aa2 (2015) |
| Credit ratings: | Standard & Poors rating: AA (2016) |
| GDP (purchasing power parity) - real: | $2,198,811,000,000 (2019 est.) |
| GDP (purchasing power parity) - real: | $2,154,866,000,000 (2018 est.) |
| GDP (purchasing power parity) - real: | $2,093,985,000,000 (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $1,646,604,000,000 (2019 est.) |
| GDP - per capita (PPP): | $28,941 (2019 est.) |
| GDP - per capita (PPP): | $28,392 (2018 est.) |
