| Economy | Korea, South |
| --- | --- |
| Economy - overview: | South Korea over the past four decades has demonstrated incredible growth and global integration to become a high-tech industrialized economy. In the 1960s, GDP per capita was comparable with levels in the poorer countries of Africa and Asia. In 2004, South Korea joined the trillion-dollar club of world economies, and is currently the world's 12th largest economy. Initially, a system of close government and business ties, including directed credit and import restrictions, made this success possible. The government promoted the import of raw materials and technology at the expense of consumer goods, and encouraged savings and investment over consumption. The Asian financial crisis of 1997-98 exposed longstanding weaknesses in South Korea's development model including high debt/equity ratios and massive short-term foreign borrowing. GDP plunged by 6.9% in 1998, and then recovered by 9% in 1999-2000. South Korea adopted numerous economic reforms following the crisis, including greater openness to foreign investment and imports. Growth moderated to about 4% annually between 2003 and 2007. South Korea's export focused economy was hit hard by the 2008 global economic downturn, but quickly rebounded in subsequent years, reaching 6.3% growth in 2010. The US-Korea Free Trade Agreement was ratified by both governments in 2011 and went into effect in March 2012. Throughout 2012 and 2013 the economy experienced sluggish growth because of market slowdowns in the United States, China, and the Eurozone. The administration in 2014 is likely to face the challenge of balancing heavy reliance on exports with developing domestic-oriented sectors, such as services. The South Korean economy's long term challenges include a rapidly aging population, inflexible labor market, dominance of large conglomerates (chaebols), and heavy reliance on exports, which comprise about half of GDP. |
| GDP (purchasing power parity): | $1.666 trillion (2013 est.) |
| GDP (purchasing power parity): | $1.62 trillion (2012 est.) |
| GDP (purchasing power parity): | $1.587 trillion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $1.198 trillion (2013 est.) |
| GDP - real growth rate: | 2.8% (2013 est.) |
| GDP - real growth rate: | 2% (2012 est.) |
| GDP - real growth rate: | 3.7% (2011 est.) |
| GDP - per capita (PPP): | $33,200 (2013 est.) |
| GDP - per capita (PPP): | $32,400 (2012 est.) |
| GDP - per capita (PPP): | $31,900 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 31.9% of GDP (2013 est.) |
| Gross national saving: | 31.4% of GDP (2012 est.) |
| Gross national saving: | 31.9% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 53.1% |
| GDP - composition, by end use: | government consumption: 15.9% |
| GDP - composition, by end use: | investment in fixed capital: 27% |
| GDP - composition, by end use: | investment in inventories: 0.3% |
| GDP - composition, by end use: | exports of goods and services: 54.6% |
| GDP - composition, by end use: | imports of goods and services: -50.8% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.6% |
| GDP - composition, by sector of origin: | industry: 39.2% |
| GDP - composition, by sector of origin: | services: 58.2% (2013 est.) |
| Agriculture - products: | rice, root crops, barley, vegetables, fruit; cattle, pigs, chickens, milk, eggs; fish |
| Industries: | electronics, telecommunications, automobile production, chemicals, shipbuilding, steel |
| Industrial production growth rate: | 2.5% (2013 est.) |
| Labor force: | 25.86 million (2013 est.) |
| Labor force - by occupation: | agriculture: 6.9% |
| Labor force - by occupation: | industry: 23.6% |
| Labor force - by occupation: | services: 69.4% (October 2013 est.) |
| Unemployment rate: | 3.2% (2013 est.) |
| Unemployment rate: | 3.2% (2012 est.) |
| Population below poverty line: | 16% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 6.4% |
| Household income or consumption by percentage share: | highest 10%: 37.7% (2011) |
| Distribution of family income - Gini index: | 31.1 (2011 est.) |
| Distribution of family income - Gini index: | 35.8 (2000) |
| Budget: | revenues: $296.1 billion |
| Budget: | expenditures: $287.2 billion (2013 est.) |
| Taxes and other revenues: | 24.7% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | 0.7% of GDP (2013 est.) |
