| Economy | Malta |
| --- | --- |
| Economy - overview: | Maltaâ€™s free market economy â€“ the smallest economy in the euro-zone â€“ relies heavily on trade in both goods and services, principally with Europe. Malta produces less than a quarter of its food needs, has limited fresh water supplies, and has few domestic energy sources. Malta's economy is dependent on foreign trade, manufacturing, and tourism. Malta joined the EU in 2004 and adopted the euro on 1 January 2008. |
| Economy - overview: | Malta has weathered the euro-zone crisis better than most EU member states due to a low debt-to-GDP ratio and financially sound banking sector. It maintains one of the lowest unemployment rates in Europe, and growth has fully recovered since the 2009 recession. In 2014 through 2016, Malta led the euro zone in growth, expanding more than 4.5% per year. |
| Economy - overview: | Maltaâ€™s services sector continues to grow, with sustained growth in the financial services and online gaming sectors. Advantageous tax schemes remained attractive to foreign investors, though EU discussions of anti-tax avoidance measures have raised concerns among Maltaâ€™s financial services and insurance providers, as the measures could have a significant impact on those sectors. The tourism sector also continued to grow, with 2016 showing record-breaking numbers of both air and cruise passenger arrivals. |
| Economy - overview: | Maltaâ€™s GDP growth remains strong and is supported by a strong labor market. The government has implemented new programs, including free childcare, to encourage increased labor participation. The high cost of borrowing and small labor market remain potential constraints to future economic growth. Increasingly, other EU and European migrants are relocating to Malta for employment, though wages have remained low compared to other European countries. Inflation remains low. |
| GDP (purchasing power parity): | $19.26 billion (2017 est.) |
| GDP (purchasing power parity): | $18.05 billion (2016 est.) |
| GDP (purchasing power parity): | $17.16 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $12.58 billion (2017 est.) |
| GDP - real growth rate: | 6.7% (2017 est.) |
| GDP - real growth rate: | 5.2% (2016 est.) |
| GDP - real growth rate: | 9.5% (2015 est.) |
| GDP - per capita (PPP): | $41,900 (2017 est.) |
| GDP - per capita (PPP): | $40,100 (2016 est.) |
| GDP - per capita (PPP): | $39,000 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 33.5% of GDP (2017 est.) |
| Gross national saving: | 31.8% of GDP (2016 est.) |
| Gross national saving: | 31.2% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 45.2% (2017 est.) |
| GDP - composition, by end use: | government consumption: 15.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 21.1% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.3% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 136.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -117.9% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.1% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 10.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 88.7% (2017 est.) |
| Agriculture - products: | potatoes, cauliflower, grapes, wheat, barley, tomatoes, citrus, cut flowers, green peppers; pork, milk, poultry, eggs |
| Industries: | tourism, electronics, ship building and repair, construction, food and beverages, pharmaceuticals, footwear, clothing, tobacco, aviation services, financial services, information technology services |
| Industrial production growth rate: | -3.3% (2016 est.) |
| Labor force: | 206,300 (2017 est.) |
| Labor force - by occupation: | agriculture: 1.6% |
| Labor force - by occupation: | industry: 20.7% |
| Labor force - by occupation: | services: 77.7% (2016 est.) |
| Unemployment rate: | 4.6% (2017 est.) |
| Unemployment rate: | 5.3% (2016 est.) |
| Population below poverty line: | 16.3% (2015 est.) |
