| Economy | Malta |
| --- | --- |
| Economy - overview: | Malta - the smallest economy in the euro zone - produces only about 20% of its food needs, has limited fresh water supplies, and has few domestic energy sources. Malta's geographic position between Europe and North Africa makes it a target for irregular migration, which has strained Malta's political and economic resources. Malta's fertility rate is below the EU average, and population growth in recent years has largely been from immigration, putting increasing pressure on the pension system. Malta adopted the euro on 1 January 2008. Malta's economy is dependent on foreign trade, manufacturing, and tourism, and was hurt by the global economic downturn, but fared better than most other EU member states. Malta has low unemployment relative to other European countries, and growth has recovered since the 2009 recession. Malta's financial services industry has grown in recent years and it has avoided contagion from the European financial crisis, largely because its debt is mostly held domestically and its banks have low exposure to the sovereign debt of peripheral European countries. The EU reopened an excessive deficit procedure against Malta in June 2013, having found that its forecasted deficit for the year was likely to exceed 3% of GDP. |
| GDP (purchasing power parity): | $11.22 billion (2013 est.) |
| GDP (purchasing power parity): | $10.96 billion (2012 est.) |
| GDP (purchasing power parity): | $10.89 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $9.541 billion (2013 est.) |
| GDP - real growth rate: | 2.4% (2013 est.) |
| GDP - real growth rate: | 0.6% (2012 est.) |
| GDP - real growth rate: | 1.6% (2011 est.) |
| GDP - per capita (PPP): | $29,200 (2012 est.) |
| GDP - per capita (PPP): | $28,800 (2011 est.) |
| GDP - per capita (PPP): | $28,300 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 13.7% of GDP (2013 est.) |
| Gross national saving: | 13.5% of GDP (2012 est.) |
| Gross national saving: | 12.8% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 56.8% |
| GDP - composition, by end use: | government consumption: 20.8% |
| GDP - composition, by end use: | investment in fixed capital: 14.5% |
| GDP - composition, by end use: | investment in inventories: -0.5% |
| GDP - composition, by end use: | exports of goods and services: 92% |
| GDP - composition, by end use: | imports of goods and services: -86.4% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.4% |
| GDP - composition, by sector of origin: | industry: 25.3% |
| GDP - composition, by sector of origin: | services: 73.3% (2013 est.) |
| Agriculture - products: | potatoes, cauliflower, grapes, wheat, barley, tomatoes, citrus, cut flowers, green peppers; pork, milk, poultry, eggs |
| Industries: | tourism, electronics, ship building and repair, construction, food and beverages, pharmaceuticals, footwear, clothing, tobacco, aviation services, financial services, information technology services |
| Industrial production growth rate: | -6.9% (2013) |
| Labor force: | 190,400 (2013 est.) |
| Labor force - by occupation: | agriculture: 1.4% |
| Labor force - by occupation: | industry: 22.2% |
| Labor force - by occupation: | services: 76.4% (2013) |
| Unemployment rate: | 6.4% (2013 est.) |
| Unemployment rate: | 6.5% (2012 est.) |
| Population below poverty line: | 15.1% (2012) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 27.1 (2012) |
| Distribution of family income - Gini index: | 26 (2007) |
| Budget: | revenues: $4.843 billion |
| Budget: | expenditures: $4.322 billion (2013 est.) |
