| Economy | Bangladesh |
| --- | --- |
| Economy - overview: | Bangladesh's economy has grown roughly 6% per year since 1996 despite political instability, poor infrastructure, corruption, insufficient power supplies, slow implementation of economic reforms, and the 2008-09 global financial crisis and recession. Although more than half of GDP is generated through the service sector, almost half of Bangladeshis are employed in the agriculture sector with rice as the single-most-important product. Garment exports, the backbone of Bangladesh’s industrial sector and 80% of total exports, surpassed $21 billion last year, 18% of GDP. The sector has remained resilient in recent years amidst a series of factory accidents that have killed over 1,000 workers and crippling strikes that shut down virtually all economic activity. Steady garment export growth combined with remittances from overseas Bangladeshis, which totaled almost $15 billion and 13% of GDP IN 2013, are the largest contributors to Bangladesh’s current account surplus and record foreign exchange holdings. |
| GDP (purchasing power parity): | $324.6 billion (2013 est.) |
| GDP (purchasing power parity): | $307 billion (2012 est.) |
| GDP (purchasing power parity): | $289.2 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $140.2 billion (2013 est.) |
| GDP - real growth rate: | 5.8% (2013 est.) |
| GDP - real growth rate: | 6.1% (2012 est.) |
| GDP - real growth rate: | 6.5% (2011 est.) |
| GDP - per capita (PPP): | $2,100 (2013 est.) |
| GDP - per capita (PPP): | $2,000 (2012 est.) |
| GDP - per capita (PPP): | $1,900 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 28.3% of GDP (2013 est.) |
| Gross national saving: | 27% of GDP (2012 est.) |
| Gross national saving: | 25% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 75.3% |
| GDP - composition, by end use: | government consumption: 5.7% |
| GDP - composition, by end use: | investment in fixed capital: 25.6% |
| GDP - composition, by end use: | investment in inventories: 3.6% |
| GDP - composition, by end use: | exports of goods and services: 24.5% |
| GDP - composition, by end use: | imports of goods and services: -34.7% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 17.2% |
| GDP - composition, by sector of origin: | industry: 28.9% |
| GDP - composition, by sector of origin: | services: 53.9% (2013 est.) |
| Agriculture - products: | rice, jute, tea, wheat, sugarcane, potatoes, tobacco, pulses, oilseeds, spices, fruit; beef, milk, poultry |
| Industries: | jute, cotton, garments, paper, leather, fertilizer, iron and steel, cement, petroleum products, tobacco, pharmaceuticals, ceramics, tea, salt, sugar, edible oils, soap and detergent, fabricated metal products, electricity, natural gas |
| Industrial production growth rate: | 9% (2013 est.) |
| Labor force: | 78.62 million |
| Labor force: | note: extensive export of labor to Saudi Arabia, Kuwait, UAE, Oman, Qatar, and Malaysia; workers' remittances were $10.9 billion in FY09/10 (2013 est.) |
| Labor force - by occupation: | agriculture: 47% |
| Labor force - by occupation: | industry: 13% |
| Labor force - by occupation: | services: 40% (2010 est.) |
| Unemployment rate: | 5% (2013 est.) |
| Unemployment rate: | 5% (2012 est.) |
| Unemployment rate: | note: about 40% of the population is underemployed; many persons counted as employed work only a few hours a week and at low wages |
| Population below poverty line: | 31.5% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4% |
| Household income or consumption by percentage share: | highest 10%: 27% (2010 est.) |
| Distribution of family income - Gini index: | 32.1 (2010) |
| Distribution of family income - Gini index: | 33.6 (1996) |
| Budget: | revenues: $17.19 billion |
| Budget: | expenditures: $24.02 billion (2013 est.) |
| Taxes and other revenues: | 12.3% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -4.9% of GDP (2013 est.) |
| Public debt: | 30.9% of GDP (2013 est.) |
| Public debt: | 32.2% of GDP (2012 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 7.6% (2013 est.) |
| Inflation rate (consumer prices): | 6.6% (2012 est.) |
| Central bank discount rate: | 5% (31 December 2010 est.) |
| Central bank discount rate: | 5% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 13% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 13% (31 December 2012 est.) |
| Stock of narrow money: | $17.11 billion (31 December 2013 est.) |
| Stock of narrow money: | $14.85 billion (31 December 2012 est.) |
| Stock of broad money: | $85.61 billion (31 December 2013 est.) |
| Stock of broad money: | $70.87 billion (31 December 2012 est.) |
| Stock of domestic credit: | $93.38 billion (31 December 2013 est.) |
| Stock of domestic credit: | $79.32 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $NA (February 2014 est.) |
| Market value of publicly traded shares: | $17.48 billion (31 December 2012) |
| Market value of publicly traded shares: | $23.55 billion (31 December 2011 est.) |
| Current account balance: | $3.541 billion (2013 est.) |
| Current account balance: | $1.754 billion (2012 est.) |
| Exports: | $26.91 billion (2013 est.) |
| Exports: | $24.92 billion (2012 est.) |
| Exports - commodities: | garments, knitwear, agricultural products, frozen food (fish and seafood), jute and jute goods, leather |
| Exports - partners: | US 18.7%, Germany 15.8%, UK 10.2%, France 6.2%, Spain 4.6%, Canada 4.3%, Italy 4% (2013 est.) |
| Imports: | $32.94 billion (2013 est.) |
| Imports: | $32.29 billion (2012 est.) |
| Imports - commodities: | machinery and equipment, chemicals, iron and steel, textiles, foodstuffs, petroleum products, cement |
| Imports - partners: | China 21.7%, India 16.3%, Malaysia 5.2%, Republic of Korea 4.5%, Japan 4.1% (2013 est.) |
| Reserves of foreign exchange and gold: | $15.74 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $12.75 billion (31 December 2012 est.) |
| Debt - external: | $30.69 billion (31 December 2013 est.) |
