| Economy | Bangladesh |
| --- | --- |
| Economy - overview: | Bangladesh's economy has grown roughly 6% per year since 2005 despite prolonged periods of political instability, poor infrastructure, endemic corruption, insufficient power supplies, and slow implementation of economic reforms. Although more than half of GDP is generated through the services sector, almost half of Bangladeshis are employed in the agriculture sector, with rice as the single-most-important product. |
| Economy - overview: | Â  |
| Economy - overview: | Garments, the backbone of Bangladesh's industrial sector, accounted for more than 80% of total exports in FY 2016-17. The industrial sector continues to grow, despite the need for improvements in factory safety conditions. Steady export growth in the garment sector, combined with $13 billion in remittances from overseas Bangladeshis, contributed to Bangladesh's rising foreign exchange reserves in FY 2016-17. Recent improvements to energy infrastructure, including the start of liquefied natural gas imports in 2018, represent a major step forward in resolving a key growth bottleneck. |
| GDP (purchasing power parity): | $690.3 billion (2017 est.) |
| GDP (purchasing power parity): | $642.7 billion (2016 est.) |
| GDP (purchasing power parity): | $599.5 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $261.5 billion (2017 est.) |
| GDP - real growth rate: | 7.4% (2017 est.) |
| GDP - real growth rate: | 7.2% (2016 est.) |
| GDP - real growth rate: | 6.8% (2015 est.) |
| GDP - per capita (PPP): | $4,200 (2017 est.) |
| GDP - per capita (PPP): | $4,000 (2016 est.) |
| GDP - per capita (PPP): | $3,800 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 30.2% of GDP (2017 est.) |
| Gross national saving: | 30.6% of GDP (2016 est.) |
| Gross national saving: | 30.3% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 68.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 6% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 30.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 15% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -20.3% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 14.2% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 29.3% (2017 est.) |
| GDP - composition, by sector of origin: | services: 56.5% (2017 est.) |
| Agriculture - products: | rice, jute, tea, wheat, sugarcane, potatoes, tobacco, pulses, oilseeds, spices, fruit; beef, milk, poultry |
| Industries: | jute, cotton, garments, paper, leather, fertilizer, iron and steel, cement, petroleum products, tobacco, pharmaceuticals, ceramics, tea, salt, sugar, edible oils, soap and detergent, fabricated metal products, electricity, natural gas |
| Industrial production growth rate: | 10.2% (2017 est.) |
| Labor force: | 66.64 million (2017 est.) |
| Labor force: | note: extensive migration of labor to Saudi Arabia, Kuwait, UAE, Oman, Qatar, and Malaysia |
| Labor force - by occupation: | agriculture: 42.7% |
| Labor force - by occupation: | industry: 20.5% |
| Labor force - by occupation: | services: 36.9% (2016 est.) |
| Unemployment rate: | 4.4% (2017 est.) |
| Unemployment rate: | 4.4% (2016 est.) |
| Unemployment rate: | note: about 40% of the population is underemployed; many persons counted as employed work only a few hours a week and at low wages |
| Population below poverty line: | 24.3% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4% |
| Household income or consumption by percentage share: | highest 10%: 27% (2010 est.) |
| Distribution of family income - Gini index: | 32.1 (2010) |
| Distribution of family income - Gini index: | 33.2 (2005) |
| Budget: | revenues: 25.1 billion (2017 est.) |
| Budget: | expenditures: 33.5 billion (2017 est.) |
| Taxes and other revenues: | 9.6% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -3.2% (of GDP) (2017 est.) |
| Public debt: | 33.1% of GDP (2017 est.) |
| Public debt: | 33.3% of GDP (2016 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 5.6% (2017 est.) |
