| Economy | Zambia |
| --- | --- |
| Economy - overview: | Zambia's economy has experienced strong growth in recent years, with real GDP growth in 2005-13 more than 6% per year. Privatization of government-owned copper mines in the 1990s relieved the government from covering mammoth losses generated by the industry and greatly increased copper mining output and profitability to spur economic growth. Copper output has increased steadily since 2004, due to higher copper prices and foreign investment. Zambia's dependency on copper makes it vulnerable to depressed commodity prices, but record high copper prices and a bumper maize crop in 2010 helped Zambia rebound quickly from the world economic slowdown that began in 2008. Zambia has made some strides to improve the ease of doing business. Regulatory changes by the current government in 2012-2013 included Statutory Instruments (SI) Number 33 (mandating use of the kwacha for domestic transactions) and SI Number 55 (monitoring foreign exchange transactions). Along with problems of fiscal management and weakening global copper prices, these SI's were perceived as undermining confidence in Zambia's economy and currency, leading to sharp depreciation of the kwacha in March 2014. In response, the Minister of Finance revoked SI 33 and 55 in late March 2014. Despite a strong economy, poverty remains a significant problem in Zambia, made worse by a high birth rate, relatively high HIV/AIDS burden, and by market distorting agricultural policies. |
| GDP (purchasing power parity): | $25.47 billion (2013 est.) |
| GDP (purchasing power parity): | $24.01 billion (2012 est.) |
| GDP (purchasing power parity): | $22.39 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $22.24 billion (2013 est.) |
| GDP - real growth rate: | 6% (2013 est.) |
| GDP - real growth rate: | 7.2% (2012 est.) |
| GDP - real growth rate: | 6.8% (2011 est.) |
| GDP - per capita (PPP): | $1,800 (2013 est.) |
| GDP - per capita (PPP): | $1,700 (2012 est.) |
| GDP - per capita (PPP): | $1,600 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 14.5% of GDP (2013 est.) |
| Gross national saving: | 19.4% of GDP (2012 est.) |
| Gross national saving: | 23.7% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 60% |
| GDP - composition, by end use: | government consumption: 26.5% |
| GDP - composition, by end use: | investment in fixed capital: 19.1% |
| GDP - composition, by end use: | investment in inventories: 1% |
| GDP - composition, by end use: | exports of goods and services: 36.2% |
| GDP - composition, by end use: | imports of goods and services: -42.9% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 19.8% |
| GDP - composition, by sector of origin: | industry: 33.8% |
| GDP - composition, by sector of origin: | services: 46.5% (2013 est.) |
| Agriculture - products: | corn, sorghum, rice, peanuts, sunflower seeds, vegetables, flowers, tobacco, cotton, sugarcane, cassava (manioc, tapioca), coffee; cattle, goats, pigs, poultry, milk, eggs, hides |
| Industries: | copper mining and processing, emerald mining, construction, foodstuffs, beverages, chemicals, textiles, fertilizer, horticulture |
| Industrial production growth rate: | 8% (2013 est.) |
| Labor force: | 6.275 million (2013 est.) |
| Labor force - by occupation: | agriculture: 85% |
| Labor force - by occupation: | industry: 6% |
| Labor force - by occupation: | services: 9% (2004) |
| Unemployment rate: | 15% (2008 est.) |
| Unemployment rate: | 50% (2000 est.) |
| Population below poverty line: | 60.5% (2010) |
| Household income or consumption by percentage share: | lowest 10%: 1.5% |
| Household income or consumption by percentage share: | highest 10%: 47.4% (2010) |
| Distribution of family income - Gini index: | 57.5 (2010) |
| Distribution of family income - Gini index: | 50.8 (2004) |
| Budget: | revenues: $4.814 billion |
