| Economy | ZAMBIA |
| --- | --- |
| Economy - overview: | Zambia has had one of the world’s fastest growing economies for the past ten years, with real GDP growth averaging roughly 6.7% per annum, though growth slowed in 2015 to just over 3%, due to falling copper prices, reduced power generation, and depreciation of the kwacha. Zambia’s lack of economic diversification and dependency on copper as its sole major export makes it vulnerable to fluctuations in the world commodities market and prices turned downward in 2015 due to declining demand from China; Zambia was overtaken by the Democratic Republic of Congo as Africa’s largest copper producer. |
| Economy - overview: | Despite recent strong economic growth and its status as a lower middle-income country, widespread and extreme rural poverty and high unemployment levels remain significant problems, made worse by a high birth rate, a relatively high HIV/AIDS burden, and by market-distorting agricultural and energy policies. Economic policy inconsistency and poor budget execution in recent years has hindered the economy and contributed to weakness in the kwacha, which was Africa’s worst performing currency during 2015. Zambia has raised $7 billion from international investors by issuing separate sovereign bonds in September 2012, April 2014, and July 2015, significantly increasing the country’s public debt as a share of GDP. |
| Economy - overview: | Poor management of water resources has also contributed to a power generation shortage, which has hampered industrial productivity and contributed to an increase in year-on-year inflation to 23% by March 2016. Zambia’s currency, the kwacha, also depreciated sharply against the dollar through 2015, before the central bank restricted lending. |
| GDP (purchasing power parity): | $62.71 billion (2015 est.) |
| GDP (purchasing power parity): | $60.51 billion (2014 est.) |
| GDP (purchasing power parity): | $57.61 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $21.89 billion (2015 est.) |
| GDP - real growth rate: | 3.6% (2015 est.) |
| GDP - real growth rate: | 5% (2014 est.) |
| GDP - real growth rate: | 5.1% (2013 est.) |
| GDP - per capita (PPP): | $3,900 (2015 est.) |
| GDP - per capita (PPP): | $3,800 (2014 est.) |
| GDP - per capita (PPP): | $3,800 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 20.4% of GDP (2015 est.) |
| Gross national saving: | 26.3% of GDP (2014 est.) |
| Gross national saving: | 26.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 52.9% |
| GDP - composition, by end use: | government consumption: 21.4% |
| GDP - composition, by end use: | investment in fixed capital: 26.9% |
| GDP - composition, by end use: | investment in inventories: 1.3% |
| GDP - composition, by end use: | exports of goods and services: 46.8% |
| GDP - composition, by end use: | imports of goods and services: -49.3% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.9% |
| GDP - composition, by sector of origin: | industry: 30% |
| GDP - composition, by sector of origin: | services: 61.1% (2015 est.) |
| Agriculture - products: | corn, sorghum, rice, peanuts, sunflower seeds, vegetables, flowers, tobacco, cotton, sugarcane, cassava (manioc, tapioca), coffee; cattle, goats, pigs, poultry, milk, eggs, hides |
| Industries: | copper mining and processing, emerald mining, construction, foodstuffs, beverages, chemicals, textiles, fertilizer, horticulture |
| Industrial production growth rate: | -2.8% (2015 est.) |
| Labor force: | 6.895 million (2015 est.) |
| Labor force - by occupation: | agriculture: 85% |
| Labor force - by occupation: | industry: 6% |
| Labor force - by occupation: | services: 9% (2004) |
| Unemployment rate: | 15% (2008 est.) |
| Unemployment rate: | 50% (2000 est.) |
| Population below poverty line: | 60.5% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.5% |
| Household income or consumption by percentage share: | highest 10%: 47.4% (2010) |
| Distribution of family income - Gini index: | 57.5 (2013) |
| Distribution of family income - Gini index: | 50.8 (2004) |
| Budget: | revenues: $3.661 billion |
| Budget: | expenditures: $5.387 billion (2015 est.) |
| Taxes and other revenues: | 16.7% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -7.9% of GDP (2015 est.) |
| Public debt: | 58.6% of GDP (2015 est.) |
| Public debt: | 37.4% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 10.1% (2015 est.) |
| Inflation rate (consumer prices): | 7.8% (2014 est.) |
| Central bank discount rate: | 9.1% (31 December 2012) |
| Central bank discount rate: | 19% (31 December 2011) |
| Commercial bank prime lending rate: | 13.25% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 11.57% (31 December 2014 est.) |
| Stock of narrow money: | $1.288 billion (31 December 2015 est.) |
| Stock of narrow money: | $2.118 billion (31 December 2014 est.) |
| Stock of broad money: | $5.682 billion (31 December 2014 est.) |
| Stock of broad money: | $5.437 billion (31 December 2013 est.) |
| Stock of domestic credit: | $3.682 billion (31 December 2015 est.) |
| Stock of domestic credit: | $5.006 billion (31 December 2014 est.) |
