| Economy | ROMANIA |
| --- | --- |
| Economy - overview: | Romania, which joined the EU on 1 January 2007, began the transition from communism in 1989 with a largely obsolete industrial base and a pattern of output unsuited to the country's needs. Romania's macroeconomic gains have only recently started to spur creation of a middle class and to address Romania's widespread poverty. Corruption and red tape continue to permeate the business environment. |
| Economy - overview: | In the aftermath of the global financial crisis, Romania signed a $26 billion emergency assistance package from the IMF, the EU, and other international lenders, but GDP contracted until 2011. In March 2011, Romania and the IMF/EU/World Bank signed a 24-month precautionary standby agreement, worth $6.6 billion, to promote fiscal discipline, encourage progress on structural reforms, and strengthen financial sector stability; no funds were drawn. In September 2013, Romanian authorities and the IMF/EU agreed to a follow-on standby agreement, worth $5.4 billion, to continue with reforms. This agreement expired in September 2015, and no funds were drawn. Progress on structural reforms has been uneven, and the economy still is vulnerable to external shocks. |
| Economy - overview: | Economic growth rebounded in the 2013-16 period, driven by strong industrial exports and excellent agricultural harvests, and the fiscal deficit was reduced substantially. Industry outperformed other sectors of the economy in 2016. Exports remained an engine of economic growth, led by trade with the EU, which accounts for roughly 70% of Romania trade. Domestic demand was a second driver, due to the mid-2015 cut, from 24% to 9%, of the VAT levied upon foodstuffs. In 2015, the Government of Romania succeeded in meeting its annual target for the budget deficit, the external deficit remained low, even if it rose due to increasing imports. For the first time since 1989, inflation turned into deflation, allowing for a gradual loosening of monetary policy throughout the period. |
| Economy - overview: | An aging population, significant tax evasion, insufficient health care, and an aggressive loosening of the fiscal package jeopardize the low fiscal deficit and public debt and are the economy's top vulnerabilities. |
| GDP (purchasing power parity): | $441.6 billion (2016 est.) |
| GDP (purchasing power parity): | $416 billion (2015 est.) |
| GDP (purchasing power parity): | $396 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $187.6 billion (2016 est.) |
| GDP - real growth rate: | 4.8% (2016 est.) |
| GDP - real growth rate: | 3.9% (2015 est.) |
| GDP - real growth rate: | 3.1% (2014 est.) |
| GDP - per capita (PPP): | $22,300 (2016 est.) |
| GDP - per capita (PPP): | $21,200 (2015 est.) |
| GDP - per capita (PPP): | $20,300 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 22.7% of GDP (2016 est.) |
| Gross national saving: | 23.7% of GDP (2015 est.) |
| Gross national saving: | 24% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 68.5% |
| GDP - composition, by end use: | government consumption: 7.4% |
| GDP - composition, by end use: | investment in fixed capital: 22.7% |
| GDP - composition, by end use: | investment in inventories: 2.4% |
| GDP - composition, by end use: | exports of goods and services: 41.4% |
| GDP - composition, by end use: | imports of goods and services: -42.3% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.4% |
| GDP - composition, by sector of origin: | industry: 34.2% |
| GDP - composition, by sector of origin: | services: 63.3% (2016 est.) |
| Agriculture - products: | wheat, corn, barley, sugar beets, sunflower seed, potatoes, grapes; eggs, sheep |
