| Economy | Romania |
| --- | --- |
| Economic overview: | Romania, which joined the EU on 1 January 2007, began the transition from communism in 1989 with a largely obsolete industrial base and a pattern of output unsuited to the country's needs. Romania's macroeconomic gains have only recently started to spur creation of a middle class and to address Romania's widespread poverty. Corruption and red tape continue to permeate the business environment. |
| Economic overview: | In the aftermath of the global financial crisis, Romania signed a $26 billion emergency assistance package from the IMF, the EU, and other international lenders, but GDP contracted until 2011. In March 2011, Romania and the IMF/EU/World Bank signed a 24-month precautionary standby agreement, worth $6.6 billion, to promote fiscal discipline, encourage progress on structural reforms, and strengthen financial sector stability; no funds were drawn. In September 2013, Romanian authorities and the IMF/EU agreed to a follow-on standby agreement, worth $5.4 billion, to continue with reforms. This agreement expired in September 2015, and no funds were drawn. Progress on structural reforms has been uneven, and the economy still is vulnerable to external shocks. |
| Economic overview: | Economic growth rebounded in the 2013-17 period, driven by strong industrial exports, excellent agricultural harvests, and, more recently, expansionary fiscal policies in 2016-2017 that nearly quadrupled Bucharestâ€™s annual fiscal deficit, from +0.8% of GDP in 2015 to -3% of GDP in 2016 and an estimated -3.4% in 2017. Industry outperformed other sectors of the economy in 2017. Exports remained an engine of economic growth, led by trade with the EU, which accounts for roughly 70% of Romania trade. Domestic demand was the major driver, due to tax cuts and large wage increases that began last year and are set to continue in 2018. |
| Economic overview: | An aging population, emigration of skilled labor, significant tax evasion, insufficient health care, and an aggressive loosening of the fiscal package compromise Romaniaâ€™s long-term growth and economic stability and are the economy's top vulnerabilities. |
| GDP real growth rate: | 4.2% (2019 est.) |
| GDP real growth rate: | 4.54% (2018 est.) |
| GDP real growth rate: | 7.11% (2017 est.) |
| Inflation rate (consumer prices): | 3.8% (2019 est.) |
| Inflation rate (consumer prices): | 4.6% (2018 est.) |
| Inflation rate (consumer prices): | 1.3% (2017 est.) |
| Credit ratings: | Fitch rating: BBB- (2011) |
| Credit ratings: | Moody's rating: Baa3 (2006) |
| Credit ratings: | Standard & Poors rating: BBB- (2014) |
| GDP (purchasing power parity) - real: | $481.379 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $462.018 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $441.969 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
