| Economy | Romania |
| --- | --- |
| Economy - overview: | Romania, which joined the EU on 1 January 2007, began the transition from Communism in 1989 with a largely obsolete industrial base and a pattern of output unsuited to the country's needs. The country emerged in 2000 from a punishing three-year recession due to strong demand in EU export markets. Domestic consumption and investment fueled strong GDP growth, but led to large current account imbalances. Romania's macroeconomic gains have only recently started to spur creation of a middle class and to address Romania's widespread poverty. Corruption and red tape continue to permeate the business environment. As a result of the global financial crisis, Romania signed on to a $26 billion emergency assistance package from the IMF, the EU, and other international lenders. GDP contracted from 2009 to 2011. In March 2011, Romania and the IMF/EU/World Bank signed a 24-month precautionary stand-by agreement, worth $6.6 billion, to promote fiscal discipline, encourage progress on structural reforms, and strengthen financial sector stability. In September 2013, the Romanian authorities and the IMF/EU agreed to a follow-on stand-by agreement, worth $5.4 billion, to continue with reforms, although Bucharest announced that it does not intend to draw funds under the agreement. Economic growth accelerated in 2013, driven by strong industrial exports and an excellent agricultural harvest; in December 2013 inflation dropped to a historical low annual rate of 1.6%; and the current account deficit was reduced substantially. Yet, progress on structural reforms is uneven and the economy still is vulnerable to shocks. |
| GDP (purchasing power parity): | $288.5 billion (2013 est.) |
| GDP (purchasing power parity): | $278.7 billion (2012 est.) |
| GDP (purchasing power parity): | $277 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $188.9 billion (2013 est.) |
| GDP - real growth rate: | 3.5% (2013 est.) |
| GDP - real growth rate: | 0.6% (2012 est.) |
| GDP - real growth rate: | 2.3% (2011 est.) |
| GDP - per capita (PPP): | $14,400 (2013 est.) |
| GDP - per capita (PPP): | $13,700 (2012 est.) |
| GDP - per capita (PPP): | $13,600 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 24.1% of GDP (2013 est.) |
| Gross national saving: | 23.1% of GDP (2012 est.) |
| Gross national saving: | 22.4% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 71.4% |
| GDP - composition, by end use: | government consumption: 6.2% |
| GDP - composition, by end use: | investment in fixed capital: 23.6% |
| GDP - composition, by end use: | investment in inventories: -0.7% |
| GDP - composition, by end use: | exports of goods and services: 42.2% |
| GDP - composition, by end use: | imports of goods and services: 42.7% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.4% |
| GDP - composition, by sector of origin: | industry: 34.2% |
| GDP - composition, by sector of origin: | services: 59.4% (2013 est.) |
| Agriculture - products: | wheat, corn, barley, sugar beets, sunflower seed, potatoes, grapes; eggs, sheep |
| Industries: | electric machinery and equipment, textiles and footwear, light machinery, auto assembly, mining, timber, construction materials, metallurgy, chemicals, food processing, petroleum refining |
| Industrial production growth rate: | 8% (2013 est.) |
| Labor force: | 9.451 million (2013 est.) |
| Labor force - by occupation: | agriculture: 29% |
| Labor force - by occupation: | industry: 28.6% |
| Labor force - by occupation: | services: 42.4% (2012) |
| Unemployment rate: | 7.3% (2013 est.) |
| Unemployment rate: | 6.5% (2012 est.) |
| Population below poverty line: | 22.2% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 14.1% |
| Household income or consumption by percentage share: | highest 10%: 7.5% (2012 est.) |
| Distribution of family income - Gini index: | 27.4 (2011) |
| Distribution of family income - Gini index: | 24.2 (2010) |
| Budget: | revenues: $60.11 billion |
| Budget: | expenditures: $64.85 billion (2013 est.) |
| Taxes and other revenues: | 31.8% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -2.5% of GDP (2013 est.) |
| Public debt: | 38.6% of GDP (2013 est.) |
| Public debt: | 37.9% of GDP (2012 est.) |
| Public debt: | note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.2% (2013 est.) |
| Inflation rate (consumer prices): | 3.4% (2012 est.) |
| Central bank discount rate: | 4% (31 December 2013) |
| Central bank discount rate: | 5.25% (31 December 2012) |
| Commercial bank prime lending rate: | NA% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 11.49% (31 December 2012 est.) |
| Stock of narrow money: | $30.82 billion (31 December 2013 est.) |
| Stock of narrow money: | $26.51 billion (31 December 2012 est.) |
| Stock of broad money: | $74.21 billion (31 December 2013 est.) |
| Stock of broad money: | $66.13 billion (31 December 2012 est.) |
| Stock of domestic credit: | $91.77 billion (31 December 2013 est.) |
| Stock of domestic credit: | $90.75 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $43.67 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $31.71 billion (31 December 2012) |
| Market value of publicly traded shares: | $24.26 billion (31 December 2011 est.) |
| Current account balance: | -$1.986 billion (2013 est.) |
| Current account balance: | -$7.48 billion (2012 est.) |
| Exports: | $65.84 billion (2013 est.) |
| Exports: | $57.86 billion (2012 est.) |
| Exports - commodities: | machinery and equipment, metals and metal products, textiles and footwear, chemicals, agricultural products, minerals and fuels |
| Exports - partners: | Germany 18.9%, Italy 12.3%, France 7.1%, Turkey 5.5%, Hungary 5.5% (2012) |
| Imports: | $73.42 billion (2013 est.) |
| Imports: | $70.17 billion (2012 est.) |
| Imports - commodities: | machinery and equipment, chemicals, fuels and minerals, metals, textile and products, agricultural products |
