| Economy | Fiji |
| --- | --- |
| Economy - overview: | Fiji, endowed with forest, mineral, and fish resources, is one of the most developed and connected of the Pacific island economies. Earnings from the tourism industry, with an estimated 842,884 tourists visiting in 2017, and remittances from Fijianâ€™s working abroad are the countryâ€™s largest foreign exchange earners. |
| Economy - overview: | Bottled water exports to the US is Fijiâ€™s largest domestic export. Fiji's sugar sector remains a significant industry and a major export, but crops and one of the sugar mills suffered damage during Cyclone Winston in 2016. Fijiâ€™s trade imbalance continues to widen with increased imports and sluggish performance of domestic exports. |
| Economy - overview: | The return to parliamentary democracy and successful elections in September 2014 improved investor confidence, but increasing bureaucratic regulation, new taxes, and lack of consultation with relevant stakeholders brought four consecutive years of decline for Fiji on the World Bank Ease of Doing Business index. Private sector investment in 2017 approached 20% of GDP, compared to 13% in 2013. |
| GDP (purchasing power parity): | $8.629 billion (2017 est.) |
| GDP (purchasing power parity): | $8.376 billion (2016 est.) |
| GDP (purchasing power parity): | $8.321 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $4.891 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 3% (2017 est.) |
| GDP - real growth rate: | 0.7% (2016 est.) |
| GDP - real growth rate: | 3.8% (2015 est.) |
| GDP - per capita (PPP): | $9,800 (2017 est.) |
| GDP - per capita (PPP): | $9,600 (2016 est.) |
| GDP - per capita (PPP): | $9,600 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 12.7% of GDP (2017 est.) |
| Gross national saving: | 13.4% of GDP (2016 est.) |
| Gross national saving: | 16.1% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 81.3% (2017 est.) |
| GDP - composition, by end use: | government consumption: 24.4% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 16.9% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 29% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -51.6% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 13.5% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 17.4% (2017 est.) |
| GDP - composition, by sector of origin: | services: 69.1% (2017 est.) |
