| Economy | Luxembourg |
| --- | --- |
| Economy - overview: | This small, stable, high-income economy - benefiting from its proximity to France, Belgium, and Germany - has historically featured solid growth, low inflation, and low unemployment. The industrial sector, initially dominated by steel, has become increasingly diversified to include chemicals, rubber, and other products. Growth in the financial sector, which now accounts for about 28% of GDP, has more than compensated for the decline in steel. Most banks are foreign-owned and have extensive foreign dealings, but Luxembourg has lost some of its advantages as a tax haven because of OECD and EU pressure. The economy depends on foreign and cross-border workers for about 60% of its labor force. Luxembourg, like all EU members, suffered from the global economic crisis that began in late 2008, but unemployment has trended below the EU average. Following strong expansion from 2004 to 2007, Luxembourg's economy contracted 3.6% in 2009, but rebounded in 2010-11 before slowing again in 2012. The country continues to enjoy an extraordinarily high standard of living - GDP per capita ranks among the highest in the world, and is the highest in the euro zone. Turmoil in the world financial markets and lower global demand during 2008-09 prompted the government to inject capital into the banking sector and implement stimulus measures to boost the economy. Government stimulus measures and support for the banking sector, however, led to a 5% government budget deficit in 2009. Nevertheless, the deficit was cut to 1.1% in 2011 and 0.9% in 2012. Even during the financial crisis and recovery, Luxembourg retained the highest current account surplus as a share of GDP in the euro zone, owing largely to their strength in financial services. Public debt remains among the lowest of the region although it has more than doubled since 2007 as percentage of GDP. Luxembourg's economy, while stabile, grew slowly in 2012 due to ongoing weak growth in the euro area. Authorities have strengthened supervision of domestic banks because of their exposure to the activities of foreign banks. |
| GDP (purchasing power parity): | $42.19 billion (2012 est.) |
| GDP (purchasing power parity): | $42.12 billion (2011 est.) |
| GDP (purchasing power parity): | $41.47 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $55.29 billion (2012 est.) |
| GDP - real growth rate: | 0.2% (2012 est.) |
| GDP - real growth rate: | 1.6% (2011 est.) |
| GDP - real growth rate: | 2.7% (2010 est.) |
| GDP - per capita (PPP): | $80,700 (2012 est.) |
| GDP - per capita (PPP): | $81,900 (2011 est.) |
| GDP - per capita (PPP): | $81,900 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition by sector: | agriculture: 0.4% |
| GDP - composition by sector: | industry: 13.6% |
| GDP - composition by sector: | services: 86% (2007 est.) |
| Labor force: | 208,200 |
| Labor force: | note: 125,400 workers commute daily from France, Belgium, and Germany (2012 est.) |
| Labor force - by occupation: | agriculture: 2.2% |
| Labor force - by occupation: | industry: 17.2% |
