| Economy | Mexico |
| --- | --- |
| Economy - overview: | Mexico's $2.4 trillion economy â€“ 11th largest in the world - has become increasingly oriented toward manufacturing since the North American Free Trade Agreement (NAFTA) entered into force in 1994. Per capita income is roughly one-third that of the US; income distribution remains highly unequal. |
| Economy - overview: | Mexico has become the US' second-largest export market and third-largest source of imports. In 2017, two-way trade in goods and services exceeded $623 billion. Mexico has free trade agreements with 46 countries, putting more than 90% of its trade under free trade agreements. In 2012, Mexico formed the Pacific Alliance with Peru, Colombia, and Chile. |
| Economy - overview: | Mexico's current government, led by President Enrique PENA NIETO, has emphasized economic reforms, passing and implementing sweeping energy, financial, fiscal, and telecommunications reform legislation, among others, with the long-term aim to improve competitiveness and economic growth across the Mexican economy. Since 2015, Mexico has held public auctions of oil and gas exploration and development rights and for long-term electric power generation contracts. Mexico has also issued permits for private sector import, distribution, and retail sales of refined petroleum products in an effort to attract private investment into the energy sector and boost production. |
| Economy - overview: | Since 2013, Mexicoâ€™s economic growth has averaged 2% annually, falling short of private-sector expectations that President PENA NIETOâ€™s sweeping reforms would bolster economic prospects. Growth is predicted to remain below potential given falling oil production, weak oil prices, structural issues such as low productivity, high inequality, a large informal sector employing over half of the workforce, weak rule of law, and corruption. Mexicoâ€™s economy remains vulnerable to uncertainty surrounding the future of NAFTA â€” because the United States is its top trading partner and the two countries share integrated supply chains â€” and to potential shifts in domestic policies following the inauguration of a new a president in December 2018. |
| GDP (purchasing power parity): | $2.463 trillion (2017 est.) |
| GDP (purchasing power parity): | $2.413 trillion (2016 est.) |
| GDP (purchasing power parity): | $2.346 trillion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $1.151 trillion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 2% (2017 est.) |
| GDP - real growth rate: | 2.9% (2016 est.) |
| GDP - real growth rate: | 3.3% (2015 est.) |
| GDP - per capita (PPP): | $19,900 (2017 est.) |
| GDP - per capita (PPP): | $19,700 (2016 est.) |
| GDP - per capita (PPP): | $19,400 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 21.4% of GDP (2017 est.) |
| Gross national saving: | 21.6% of GDP (2016 est.) |
| Gross national saving: | 20.7% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 67% (2017 est.) |
| GDP - composition, by end use: | government consumption: 11.8% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 22.3% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.8% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 37.8% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -39.7% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 31.9% (2017 est.) |
| GDP - composition, by sector of origin: | services: 64.5% (2017 est.) |
| Agriculture - products: | corn, wheat, soybeans, rice, beans, cotton, coffee, fruit, tomatoes; beef, poultry, dairy products; wood products |
| Industries: | food and beverages, tobacco, chemicals, iron and steel, petroleum, mining, textiles, clothing, motor vehicles, consumer durables, tourism |
| Industrial production growth rate: | -0.6% (2017 est.) |
| Labor force: | 54.51 million (2017 est.) |
| Labor force - by occupation: | agriculture: 13.4% |
| Labor force - by occupation: | industry: 24.1% |
| Labor force - by occupation: | services: 61.9% (2011) |
