| Economy | Latvia |
| --- | --- |
| Economy - overview: | Latvia is a small, open economy with exports contributing nearly a third of GDP. Due to its geographical location, transit services are highly-developed, along with timber and wood-processing, agriculture and food products, and manufacturing of machinery and electronics industries. Corruption continues to be an impediment to attracting foreign direct investment and Latvia's low birth rate and decreasing population are major challenges to its long-term economic vitality. Latvia's economy experienced GDP growth of more than 10% per year during 2006-07, but entered a severe recession in 2008 as a result of an unsustainable current account deficit and large debt exposure amid the softening world economy. Triggered by the collapse of the second largest bank, GDP plunged 18% in 2009. The economy has not returned to pre-crisis levels despite strong growth, especially in the export sector in 2011-12. The IMF, EU, and other international donors provided substantial financial assistance to Latvia as part of an agreement to defend the currency's peg to the euro in exchange for the government's commitment to stringent austerity measures. The IMF/EU program successfully concluded in December 2011. The government of Prime Minister Valdis DOMBROVSKIS remains committed to fiscal prudence and reducing the fiscal deficit. The majority of companies, banks, and real estate have been privatized, although the state still holds sizable stakes in a few large enterprises, including 99.8% ownership of the Latvian national airline. Latvia officially joined the World Trade Organization in February 1999 and the EU in May 2004. Latvia intends to join the euro zone in 2014. |
| GDP (purchasing power parity): | $38.87 billion (2013 est.) |
| GDP (purchasing power parity): | $37.38 billion (2012 est.) |
| GDP (purchasing power parity): | $35.4 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $30.38 billion (2013 est.) |
| GDP - real growth rate: | 4% (2013 est.) |
| GDP - real growth rate: | 5.6% (2012 est.) |
| GDP - real growth rate: | 5.5% (2011 est.) |
| GDP - per capita (PPP): | $19,100 (2013 est.) |
| GDP - per capita (PPP): | $18,300 (2012 est.) |
| GDP - per capita (PPP): | $17,100 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 23.2% of GDP (2013 est.) |
| Gross national saving: | 24.6% of GDP (2012 est.) |
| Gross national saving: | 22.7% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 62.4% |
| GDP - composition, by end use: | government consumption: 15% |
| GDP - composition, by end use: | investment in fixed capital: 22.5% |
| GDP - composition, by end use: | investment in inventories: 2.8% |
| GDP - composition, by end use: | exports of goods and services: 61.3% |
| GDP - composition, by end use: | imports of goods and services: -63.9% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.9% |
| GDP - composition, by sector of origin: | industry: 25.7% |
| GDP - composition, by sector of origin: | services: 69.4% (2013 est.) |
| Agriculture - products: | grain, rapeseed, potatoes, vegetables; pork, poultry, milk, eggs; fish |
| Industries: | processed foods, processed wood products, textiles, processed metals, pharmaceuticals, railroad cars, synthetic fibers, electronics |
| Industrial production growth rate: | 4.2% (2013 est.) |
| Labor force: | 1.022 million (2013 est.) |
| Labor force - by occupation: | agriculture: 8.8% |
| Labor force - by occupation: | industry: 24% |
| Labor force - by occupation: | services: 67.2% (2010 est.) |
| Unemployment rate: | 9.8% (2013 est.) |
| Unemployment rate: | 11.4% (2012 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 27.6% (2008) |
| Distribution of family income - Gini index: | 35.2 (2010) |
| Distribution of family income - Gini index: | 32 (1999) |
| Budget: | revenues: $10.9 billion |
| Budget: | expenditures: $10.95 billion (2013 est.) |
| Taxes and other revenues: | 35.9% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -0.2% of GDP (2013 est.) |
| Public debt: | 39.2% of GDP (2013 est.) |
| Public debt: | 40.7% of GDP (2012 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities, including sub-sectors of central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.2% (2013 est.) |
| Inflation rate (consumer prices): | 2.3% (2012 est.) |
| Central bank discount rate: | 3.5% (31 December 2011 est.) |
| Central bank discount rate: | 3.5% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 5% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 5.52% (31 December 2012 est.) |
| Stock of narrow money: | $9.865 billion (31 December 2013 est.) |
| Stock of narrow money: | $9.099 billion (31 December 2012 est.) |
| Stock of broad money: | $12.57 billion (31 December 2013 est.) |
| Stock of broad money: | $12.63 billion (31 December 2012 est.) |
| Stock of domestic credit: | $17.39 billion (31 December 2013 est.) |
| Stock of domestic credit: | $18.39 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.115 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.076 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.252 billion (31 December 2010 est.) |
| Current account balance: | -$613.9 million (2013 est.) |
| Current account balance: | -$473.4 million (2012 est.) |
| Exports: | $12.67 billion (2013 est.) |
| Exports: | $12.23 billion (2012 est.) |
| Exports - commodities: | food products, wood and wood products, metals, machinery and equipment, textiles |
| Exports - partners: | Russia 18.2%, Lithuania 14.9%, Estonia 12.1%, Germany 7.5%, Poland 5.6%, Sweden 4.8% (2012) |
| Imports: | $15.56 billion (2013 est.) |
| Imports: | $15.15 billion (2012 est.) |
| Imports - commodities: | machinery and equipment, consumer goods, chemicals, fuels, vehicles |
| Imports - partners: | Lithuania 19.1%, Germany 11.6%, Russia 9.2%, Poland 8.2%, Estonia 7.6%, Italy 4.6%, Finland 4.4% (2012) |
| Reserves of foreign exchange and gold: | $7.22 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $7.523 billion (31 December 2012 est.) |
| Debt - external: | $39.87 billion (31 December 2013 est.) |
| Debt - external: | $39.43 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $15.49 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $14.14 billion (31 December 2012 est.) |
