| Economy | CONGO, DEMOCRATIC REPUBLIC OF THE |
| --- | --- |
| Economy - overview: | The economy of the Democratic Republic of the Congo - a nation endowed with vast natural resource wealth - is slowly recovering after decades of decline. |
| Economy - overview: | Systemic corruption since independence in 1960, combined with countrywide instability and conflict that began in the early-90s, has dramatically reduced national output and government revenue and increased external debt. With the installation of a transitional government in 2003 after peace accords, economic conditions slowly began to improve as the transitional government reopened relations with international financial institutions and international donors, and President KABILA began implementing reforms. Progress has been slow to reach the interior of the country although clear changes are evident in Kinshasa and Lubumbashi. |
| Economy - overview: | Renewed activity in the mining sector, the source of most export income, has boosted Kinshasa's fiscal position and GDP growth in recent years, although recent commodity price declines threaten to erase progress. An uncertain legal framework, corruption, and a lack of transparency in government policy are long-term problems for the large mining sector and for the economy as a whole. |
| Economy - overview: | The country marked its thirteenth consecutive year of positive economic expansion in 2015. Much economic activity still occurs in the informal sector and is not reflected in GDP data. The DRC signed a Poverty Reduction and Growth Facility with the IMF in 2009 and received $12 billion in multilateral and bilateral debt relief in 2010, but the IMF at the end of 2012 suspended the last three payments under the loan facility - worth $240 million - because of concerns about the lack of transparency in mining contracts. In 2012, the DRC updated its business laws by adhering to OHADA, the Organization for the Harmonization of Business Law in Africa. |
| GDP (purchasing power parity): | $62.87 billion (2015 est.) |
| GDP (purchasing power parity): | $58.35 billion (2014 est.) |
| GDP (purchasing power parity): | $53.45 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $38.87 billion (2015 est.) |
| GDP - real growth rate: | 7.7% (2015 est.) |
| GDP - real growth rate: | 9.2% (2014 est.) |
| GDP - real growth rate: | 8.5% (2013 est.) |
| GDP - per capita (PPP): | $800 (2015 est.) |
| GDP - per capita (PPP): | $700 (2014 est.) |
| GDP - per capita (PPP): | $700 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 5.5% of GDP (2015 est.) |
| Gross national saving: | 7% of GDP (2014 est.) |
| Gross national saving: | 10.4% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 73.1% |
| GDP - composition, by end use: | government consumption: 13.6% |
| GDP - composition, by end use: | investment in fixed capital: 21.8% |
