| Economy | NAMIBIA |
| --- | --- |
| Economy - overview: | The economy is heavily dependent on the extraction and processing of minerals for export. Mining accounts for 11.5% of GDP, but provides more than 50% of foreign exchange earnings. Rich alluvial diamond deposits make Namibia a primary source for gem-quality diamonds. Marine diamond mining is increasingly important as the terrestrial diamond supply has dwindled. The rising cost of mining diamonds, increasingly from the sea, combined with increased diamond production in Russia and China, has reduced profit margins. Namibian authorities have emphasized the need to add value to raw materials, do more in-country manufacturing, and exploit the services market, especially in the logistics and transportation sectors. |
| Economy - overview: | Namibia is the world's fifth-largest producer of uranium. The Chinese owned Husab uranium mine in expected to start producing uranium ore in 2017. Once the Husab mine reaches full production, Namibia is expected to become the world’s second-largest producer of uranium. Namibia also produces large quantities of zinc and is a smaller producer of gold and copper. The mining and quarrying sectors employ 2% of the population. Namibia's economy remains vulnerable to world commodity price fluctuations, and drought. |
| Economy - overview: | Namibia normally imports about 50% of its cereal requirements; in drought years food shortages can be a problem in rural areas. A high per capita GDP, relative to the region, hides one of the world's most unequal income distributions. A priority of the current government is poverty eradication. |
| Economy - overview: | A five-year, Millennium Challenge Corporation compact ended in September 2014. As an upper middle income country, Namibia is ineligible for a second compact. The Namibian economy is closely linked to South Africa with the Namibian dollar pegged one-to-one to the South African rand. Namibia receives 30%-40% of its revenues from the Southern African Customs Union (SACU). Volatility in the size of Namibia's annual SACU allotment complicates budget planning. |
| GDP (purchasing power parity): | $25.34 billion (2015 est.) |
| GDP (purchasing power parity): | $24.25 billion (2014 est.) |
| GDP (purchasing power parity): | $22.8 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $12.83 billion (2015 est.) |
| GDP - real growth rate: | 4.5% (2015 est.) |
| GDP - real growth rate: | 6.4% (2014 est.) |
| GDP - real growth rate: | 5.7% (2013 est.) |
| GDP - per capita (PPP): | $11,400 (2015 est.) |
| GDP - per capita (PPP): | $11,000 (2014 est.) |
| GDP - per capita (PPP): | $10,500 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 19.9% of GDP (2015 est.) |
| Gross national saving: | 24.1% of GDP (2014 est.) |
| Gross national saving: | 20% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 62.8% |
| GDP - composition, by end use: | government consumption: 26.9% |
| GDP - composition, by end use: | investment in fixed capital: 33.4% |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 43.9% |
| GDP - composition, by end use: | imports of goods and services: -67.6% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.9% |
| GDP - composition, by sector of origin: | industry: 29% |
| GDP - composition, by sector of origin: | services: 65.1% (2015 est.) |
| Agriculture - products: | millet, sorghum, peanuts, grapes; livestock; fish |
| Industries: | meatpacking, fish processing, dairy products, pasta, beverages; mining (diamonds, lead, zinc, tin, silver, tungsten, uranium, copper) |
| Industrial production growth rate: | 5.1% (2015 est.) |
| Labor force: | 1.188 million (2015 est.) |
| Labor force - by occupation: | agriculture: 31% |
| Labor force - by occupation: | industry: 14% |
| Labor force - by occupation: | services: 54% |
| Labor force - by occupation: | note: about half of Namibia's people are unemployed while about two-thirds live in rural areas; roughly two-thirds of rural dwellers rely on subsistence agriculture (2013 est.) |
| Unemployment rate: | 28.1% (2014 est.) |
| Unemployment rate: | 29.6% (2013 est.) |
| Population below poverty line: | 28.7% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.4% |
| Household income or consumption by percentage share: | highest 10%: 42% (2010) |
| Distribution of family income - Gini index: | 59.7 (2010) |
| Distribution of family income - Gini index: | 70.7 (2003) |
| Budget: | revenues: $4.553 billion |
| Budget: | expenditures: $5.258 billion (2015 est.) |
| Taxes and other revenues: | 35.5% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -5.5% of GDP (2015 est.) |
| Public debt: | 34.1% of GDP (2015 est.) |
| Public debt: | 24% of GDP (2014 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 3.4% (2015 est.) |
| Inflation rate (consumer prices): | 5.3% (2014 est.) |
| Central bank discount rate: | 6.75% (17 February 2016) |
| Central bank discount rate: | 6.5% (31 December 2015) |
| Commercial bank prime lending rate: | 7.41% (17 February 2016 est.) |
| Commercial bank prime lending rate: | 8.7% (31 December 2015 est.) |
| Stock of narrow money: | $2.583 billion (31 December 2015 est.) |
| Stock of narrow money: | $3.17 billion (31 December 2014 est.) |
| Stock of broad money: | $7.496 billion (31 December 2014 est.) |
| Stock of broad money: | $6.574 billion (31 December 2013 est.) |
| Stock of domestic credit: | $4.904 billion (31 December 2015 est.) |
| Stock of domestic credit: | $6.655 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.305 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.152 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.176 billion (31 December 2010 est.) |
| Current account balance: | -$1.253 billion (2015 est.) |
| Current account balance: | -$1.12 billion (2014 est.) |
| Exports: | $4.015 billion (2015 est.) |
| Exports: | $4.612 billion (2014 est.) |
| Exports - commodities: | diamonds, copper, gold, zinc, lead, uranium; cattle, white fish and mollusks |
| Imports: | $6.914 billion (2015 est.) |
| Imports: | $7.191 billion (2014 est.) |
| Imports - commodities: | foodstuffs; petroleum products and fuel, machinery and equipment, chemicals |
| Reserves of foreign exchange and gold: | $1.69 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $1.177 billion (31 December 2014 est.) |
| Debt - external: | $6.124 billion (31 December 2014 est.) |
| Debt - external: | $5.829 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $NA |
