| Economy | Namibia |
| --- | --- |
| Economy - overview: | The economy is heavily dependent on the extraction and processing of minerals for export. Mining accounts for 11.5% of GDP, but provides more than 50% of foreign exchange earnings. Rich alluvial diamond deposits make Namibia a primary source for gem-quality diamonds. Marine diamond mining is becoming increasingly important as the terrestrial diamond supply has dwindled. Namibia is the world's fourth-largest producer of uranium. It also produces large quantities of zinc and is a small producer of gold and other minerals. The mining and quarrying sectors employs only about 1.8% of the population. Namibia normally imports about 50% of its cereal requirements; in drought years food shortages are a major problem in rural areas. A high per capita GDP, relative to the region, hides one of the world's most unequal income distributions, as shown by Namibia's 59.7 GINI coefficient. The Namibian economy is closely linked to South Africa with the Namibian dollar pegged one-to-one to the South African rand. Namibia receives 30%-40% of its revenues from the Southern African Customs Union (SACU). Volatility in the size of Namibia's annual SACU allotment complicates budget planning. Namibia's economy remains vulnerable to volatility in the price of uranium and other commodities. The rising cost of mining diamonds, increasingly from the sea, has reduced profit margins. Namibian authorities recognize these issues and have emphasized the need to increase higher value raw materials, manufacturing, and services, especially in the logistics and transportation sectors. |
| GDP (purchasing power parity): | $17.79 billion (2013 est.) |
| GDP (purchasing power parity): | $17.05 billion (2012 est.) |
| GDP (purchasing power parity): | $16.23 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $12.3 billion (2013 est.) |
| GDP - real growth rate: | 4.4% (2013 est.) |
| GDP - real growth rate: | 5% (2012 est.) |
| GDP - real growth rate: | 5.7% (2011 est.) |
| GDP - per capita (PPP): | $8,200 (2013 est.) |
| GDP - per capita (PPP): | $7,900 (2012 est.) |
| GDP - per capita (PPP): | $7,600 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | NA% (2013 est.) |
| Gross national saving: | 30.4% of GDP (2012 est.) |
| Gross national saving: | 27% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 59.9% |
| GDP - composition, by end use: | government consumption: 26.2% |
| GDP - composition, by end use: | investment in fixed capital: 22.8% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 41.4% |
| GDP - composition, by end use: | imports of goods and services: -50.9% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 7.7% |
| GDP - composition, by sector of origin: | industry: 29.6% |
| GDP - composition, by sector of origin: | services: 62.6% (2013 est.) |
| Agriculture - products: | millet, sorghum, peanuts, grapes; livestock; fish |
| Industries: | meatpacking, fish processing, dairy products, pasta, beverages; mining (diamonds, lead, zinc, tin, silver, tungsten, uranium, copper) |
