| Economy | ANGOLA |
| --- | --- |
| Economy - overview: | Angola's economy is overwhelmingly driven by its oil sector. Oil production and its supporting activities contribute about 50% of GDP, more than 70% of government revenue, and more than 90% of the country's exports. Diamonds contribute an additional 5% to exports. Subsistence agriculture provides the main livelihood for most of the people, but half of the country's food is still imported. Increased oil production supported growth averaging more than 17% per year from 2004 to 2008. A postwar reconstruction boom and resettlement of displaced persons has led to high rates of growth in construction and agriculture as well. Some of the country's infrastructure is still damaged or undeveloped from the 27-year-long civil war. However, the government since 2005 has used billions of dollars in credit lines from China, Brazil, Portugal, Germany, Spain, and the EU to help rebuild Angola's public infrastructure. Land mines left from the war still mar the countryside, and as a result, the national military, international partners, and private Angolan firms all continue to remove them. The global recession that started in 2008 stalled economic growth. In particular, lower prices for oil and diamonds during the global recession slowed GDP growth to 2.4% in 2009, and many construction projects stopped because Luanda accrued $9 billion in arrears to foreign construction companies when government revenue fell in 2008 and 2009. Angola formally abandoned its currency peg in 2009, and in November 2009 signed onto an IMF Stand-By Arrangement loan of $1.4 billion to rebuild international reserves. Consumer inflation declined from 325% in 2000 to less than 9% in 2014. Falling oil prices and slower than expected growth in non-oil GDP have reduced growth prospects for 2015. Angola has responded by reducing government subsidies and by proposing import quotas and a more restrictive licensing regime. Corruption, especially in the extractive sectors, is a major long-term challenge. |
| GDP (purchasing power parity): | $177.3 billion (2014 est.) |
| GDP (purchasing power parity): | $169.2 billion (2013 est.) |
| GDP (purchasing power parity): | $158.4 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $129.3 billion (2014 est.) |
| GDP - real growth rate: | 4.8% (2014 est.) |
| GDP - real growth rate: | 6.8% (2013 est.) |
| GDP - real growth rate: | 5.2% (2012 est.) |
| GDP - per capita (PPP): | $7,300 (2014 est.) |
| GDP - per capita (PPP): | $6,900 (2013 est.) |
| GDP - per capita (PPP): | $6,500 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 13.5% of GDP (2014 est.) |
| Gross national saving: | 21.5% of GDP (2013 est.) |
| Gross national saving: | 26.9% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 50% |
| GDP - composition, by end use: | government consumption: 20.7% |
| GDP - composition, by end use: | investment in fixed capital: 14.7% |
| GDP - composition, by end use: | investment in inventories: -1.9% |
| GDP - composition, by end use: | exports of goods and services: 58.5% |
| GDP - composition, by end use: | imports of goods and services: -42% |
| GDP - composition, by end use: | (2014 est.) |
