| Economy | Latvia |
| --- | --- |
| Economy - overview: | Latvia is a small, open economy with exports contributing nearly a third of GDP. Due to its geographical location, transit services are highly-developed, along with timber and wood-processing, agriculture and food products, and manufacturing of machinery and electronics industries. Corruption continues to be an impediment to attracting foreign direct investment and Latvia's low birth rate and decreasing population are major challenges to its long-term economic vitality. Latvia's economy experienced GDP growth of more than 10% per year during 2006-07, but entered a severe recession in 2008 as a result of an unsustainable current account deficit and large debt exposure amid the softening world economy. Triggered by the collapse of the second largest bank, GDP plunged 18% in 2009. The economy has not returned to pre-crisis levels despite strong growth, especially in the export sector in 2011-12. The IMF, EU, and other international donors provided substantial financial assistance to Latvia as part of an agreement to defend the currency''s peg to the euro in exchange for the government''s commitment to stringent austerity measures. The IMF/EU program successfully concluded in December 2011. The government of Prime Minister Valdis DOMBROVSKIS remained committed to fiscal prudence and reducing the fiscal deficit from 7.7% of GDP in 2010, to 2.7% of GDP in 2012. The majority of companies, banks, and real estate have been privatized, although the state still holds sizable stakes in a few large enterprises, including 99.8% ownership of the Latvian national airline. Latvia officially joined the World Trade Organization in February 1999 and the EU in May 2004. Latvia intends to join the euro zone in 2014. |
| GDP (purchasing power parity): | $36.87 billion (2012 est.) |
| GDP (purchasing power parity): | $34.92 billion (2011 est.) |
| GDP (purchasing power parity): | $33.11 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $28 billion (2012 est.) |
| GDP - real growth rate: | 5.6% (2012 est.) |
| GDP - real growth rate: | 5.5% (2011 est.) |
| GDP - real growth rate: | -0.9% (2010 est.) |
| GDP - per capita (PPP): | $18,100 (2012 est.) |
| GDP - per capita (PPP): | $16,800 (2011 est.) |
| GDP - per capita (PPP): | $15,600 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 24.6% of GDP (2012 est.) |
| Gross national saving: | 22.7% of GDP (2011 est.) |
| Gross national saving: | 22.9% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 62.4% |
| GDP - composition, by end use: | government consumption: 15.3% |
| GDP - composition, by end use: | investment in fixed capital: 23.5% |
| GDP - composition, by end use: | investment in inventories: 2.8% |
| GDP - composition, by end use: | exports of goods and services: 61.6% |
| GDP - composition, by end use: | imports of goods and services: -65.5% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 5% |
| GDP - composition, by sector of origin: | industry: 25.7% |
