| Economy | LATVIA |
| --- | --- |
| Economy - overview: | Latvia is a small, open economy with exports contributing nearly a third of GDP. Due to its geographical location, transit services are highly-developed, along with timber and wood-processing, agriculture and food products, and manufacturing of machinery and electronics industries. Corruption continues to be an impediment to attracting foreign direct investment and Latvia's low birth rate and decreasing population are major challenges to its long-term economic vitality. Latvia's economy experienced GDP growth of more than 10% per year during 2006-07, but entered a severe recession in 2008 as a result of an unsustainable current account deficit and large debt exposure amid the softening world economy. Triggered by the collapse of the second largest bank, GDP plunged 18% in 2009. The economy has not returned to pre-crisis levels despite strong growth, especially in the export sector in 2011-14. The IMF, EU, and other international donors provided substantial financial assistance to Latvia as part of an agreement to defend the currency's peg to the euro in exchange for the government's commitment to stringent austerity measures. The IMF/EU program successfully concluded in December 2011. The majority of companies, banks, and real estate have been privatized, although the state still holds sizable stakes in a few large enterprises, including 99.8% ownership of the Latvian national airline. Latvia officially joined the World Trade Organization in February 1999 and the EU in May 2004. Latvia joined the euro zone in 2014. |
| GDP (purchasing power parity): | $48.19 billion (2014 est.) |
| GDP (purchasing power parity): | $47.07 billion (2013 est.) |
| GDP (purchasing power parity): | $45.16 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $31.97 billion (2014 est.) |
| GDP - real growth rate: | 2.4% (2014 est.) |
| GDP - real growth rate: | 4.2% (2013 est.) |
| GDP - real growth rate: | 4.8% (2012 est.) |
| GDP - per capita (PPP): | $23,700 (2014 est.) |
| GDP - per capita (PPP): | $23,200 (2013 est.) |
| GDP - per capita (PPP): | $22,200 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 20.8% of GDP (2014 est.) |
| Gross national saving: | 21.1% of GDP (2013 est.) |
| Gross national saving: | 22.7% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 61.1% |
| GDP - composition, by end use: | government consumption: 16.2% |
| GDP - composition, by end use: | investment in fixed capital: 20.9% |
| GDP - composition, by end use: | investment in inventories: 1.6% |
| GDP - composition, by end use: | exports of goods and services: 58.9% |
| GDP - composition, by end use: | imports of goods and services: -58.7% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.8% |
| GDP - composition, by sector of origin: | industry: 24.8% |
| GDP - composition, by sector of origin: | services: 70.4% (2014 est.) |
| Agriculture - products: | grain, rapeseed, potatoes, vegetables; pork, poultry, milk, eggs; fish |
| Industries: | processed foods, processed wood products, textiles, processed metals, pharmaceuticals, railroad cars, synthetic fibers, electronics |
| Industrial production growth rate: | 1.5% (2014 est.) |
| Labor force: | 1.014 million (2014 est.) |
| Labor force - by occupation: | agriculture: 8.8% |
| Labor force - by occupation: | industry: 24% |
| Labor force - by occupation: | services: 67.2% (2010 est.) |
| Unemployment rate: | 10.8% (2014 est.) |
| Unemployment rate: | 9.9% (2013 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 27.6% (2008) |
| Distribution of family income - Gini index: | 35.2 (2010) |
| Distribution of family income - Gini index: | 32 (1999) |
| Budget: | revenues: $11.96 billion |
| Budget: | expenditures: $11.97 billion (2014 est.) |
| Taxes and other revenues: | 36.4% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | 0% of GDP (2014 est.) |
| Public debt: | 36.5% of GDP (2014 est.) |
| Public debt: | 38.1% of GDP (2013 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities, including sub-sectors of central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.7% (2014 est.) |
| Inflation rate (consumer prices): | 0% (2013 est.) |
| Central bank discount rate: | 3.5% (31 December 2011) |
| Central bank discount rate: | 3.5% (31 December 2010) |
| Commercial bank prime lending rate: | 6% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 5.92% (31 December 2013 est.) |
| Stock of narrow money: | $10.15 billion (31 December 2014 est.) |
| Stock of narrow money: | $10.24 billion (31 December 2013 est.) |
| Stock of broad money: | $12.88 billion (31 December 2014 est.) |
