| Economy | EQUATORIAL GUINEA |
| --- | --- |
| Economy - overview: | Exploitation of oil and gas deposits, beginning in the 1990s, has driven economic growth in Equatorial Guinea, allowing per capita GDP to rise to over $29,000 in 2014. Forestry and farming are minor components of GDP. Although preindependence Equatorial Guinea counted on cocoa production for hard currency earnings, the neglect of the rural economy since independence has diminished the potential for agriculture-led growth. Subsistence farming is the dominant form of livelihood. Declining revenue from hydrocarbon production, high levels of infrastructure expenditures, lack of economic diversification, and corruption have pushed the economy into decline in recent years and led to limited improvements in the general population’s living conditions. |
| Economy - overview: | Foreign assistance programs by the World Bank and the IMF have been cut since 1993 because of corruption and mismanagement, and as a middle income country Equatorial Guinea is now ineligible for most donor assistance. The government has been widely criticized for its lack of transparency and misuse of oil revenues and has attempted to address this issue by working towards compliance with the Extractive Industries Transparency Initiative. US foreign assistance to Equatorial Guinea is limited in part because of US restrictions pursuant to the Trafficking Victims Protection Act. |
| Economy - overview: | Equatorial Guinea hosted two economic diversification symposia in 2014 that focused on attracting investment in five sectors: agriculture and animal ranching, fishing, mining and petrochemicals, tourism, and financial services. Undeveloped mineral resources include gold, zinc, diamonds, columbite-tantalite, and other base metals. |
| GDP (purchasing power parity): | $25.39 billion (2015 est.) |
| GDP (purchasing power parity): | $28.91 billion (2014 est.) |
| GDP (purchasing power parity): | $28.99 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $9.403 billion (2015 est.) |
| GDP - real growth rate: | -12.2% (2015 est.) |
| GDP - real growth rate: | -0.3% (2014 est.) |
| GDP - real growth rate: | -6.5% (2013 est.) |
| GDP - per capita (PPP): | $31,800 (2015 est.) |
| GDP - per capita (PPP): | $37,200 (2014 est.) |
| GDP - per capita (PPP): | $38,300 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 40.2% of GDP (2015 est.) |
| Gross national saving: | 37.2% of GDP (2014 est.) |
| Gross national saving: | 48.2% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 21% |
| GDP - composition, by end use: | government consumption: 5.6% |
| GDP - composition, by end use: | investment in fixed capital: 55.1% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 67.1% |
| GDP - composition, by end use: | imports of goods and services: -48.9% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 8% |
| GDP - composition, by sector of origin: | industry: 77.1% |
| GDP - composition, by sector of origin: | services: 14.8% (2015 est.) |
| Agriculture - products: | coffee, cocoa, rice, yams, cassava (manioc, tapioca), bananas, palm oil nuts; livestock; timber |
| Industries: | petroleum, natural gas, sawmilling |
| Industrial production growth rate: | -17.9% (2015 est.) |
| Labor force: | 195,200 (2007 est.) |
| Unemployment rate: | 22.3% (2009 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $2.935 billion |
| Budget: | expenditures: $3.619 billion (2015 est.) |
| Taxes and other revenues: | 31.2% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -7.3% of GDP (2015 est.) |
| Public debt: | 16.4% of GDP (2015 est.) |
| Public debt: | 12% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 11.7% (2015 est.) |
| Inflation rate (consumer prices): | 4.8% (2014 est.) |
| Central bank discount rate: | 8.5% (31 December 2010) |
| Central bank discount rate: | 4.25% (31 December 2009) |
| Commercial bank prime lending rate: | 14% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 15% (31 December 2014 est.) |
| Stock of narrow money: | $1.888 billion (31 December 2015 est.) |
| Stock of narrow money: | $2.465 billion (31 December 2014 est.) |
| Stock of broad money: | $3.788 billion (31 December 2014 est.) |
| Stock of broad money: | $3.841 billion (31 December 2013 est.) |
| Stock of domestic credit: | $1.557 billion (31 December 2015 est.) |
| Stock of domestic credit: | $666.1 million (31 December 2014 est.) |
| Current account balance: | -$617 million (2015 est.) |
| Current account balance: | -$1.493 billion (2014 est.) |
| Exports: | $7.41 billion (2015 est.) |
| Exports: | $14.76 billion (2014 est.) |
| Exports - commodities: | petroleum products, timber |
| Exports - partners: | China 16.6%, South Korea 15.1%, Spain 9%, Brazil 8.2%, Netherlands 6.8%, South Africa 6.6%, India 5.8%, UK 5.7%, France 5.7% (2015) |
| Imports: | $3.953 billion (2015 est.) |
| Imports: | $5.475 billion (2014 est.) |
| Imports - commodities: | petroleum sector equipment, other equipment, construction materials, vehicles |
| Imports - partners: | Netherlands 16.9%, Spain 16.3%, China 14.8%, US 8.9%, Cote dIvoire 6%, France 4.8% (2015) |
| Reserves of foreign exchange and gold: | $1.205 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $2.907 billion (31 December 2014 est.) |
| Debt - external: | $1.194 billion (31 December 2015 est.) |
| Debt - external: | $1.459 billion (31 December 2014 est.) |
| Exchange rates: | Cooperation Financiere en Afrique Centrale francs (XAF) per US dollar - |
| Exchange rates: | 591.45 (2015 est.) |
| Exchange rates: | 494.42 (2014 est.) |
| Exchange rates: | 494.42 (2013 est.) |
| Exchange rates: | 510.53 (2012 est.) |
| Exchange rates: | 471.87 (2011 est.) |
