| Economy | Jamaica |
| --- | --- |
| Economy - overview: | The Jamaican economy is heavily dependent on services, which accounts for nearly 80% of GDP. The country continues to derive most of its foreign exchange from tourism, remittances, and bauxite/alumina. Remittances and tourism each account for 30% of GDP, while bauxite/alumina exports make up roughly 5% of GDP. The bauxite/alumina sector was most affected by the global downturn while the tourism industry and remittance flow remained resilient. Jamaica's economy faces many challenges to growth: high crime and corruption, large-scale unemployment and underemployment, and a debt-to-GDP ratio of about 140%. The attendant debt servicing cost consumes a large portion of the government's budget, limiting its ability to fund the critical infrastructure and social programs required to drive growth. Jamaica's economic growth rate in the recent past has been stagnant, averaging less than 1% per year for over 20 years. Jamaica's onerous public debt burden is largely the result of government bailouts to ailing sectors of the economy, most notably to the financial sector. In early 2010, the Jamaican Government initiated the Jamaica Debt Exchange to retire high-priced domestic bonds and reduce annual debt servicing. Despite these efforts, debt continued to be a serious concern, forcing the government to negotiate and sign a new IMF agreement in May 2013 to gain access to approximately $1 billion additional funds. As a precursor, the government instigated a second National Debt Exchange in 2012. The IMF deal requires the government to reform its tax system, eliminate discretionary tax exemptions and waivers, and achieve an annual surplus of 7.5%, excluding debt payments, to reduce its debt below 100% of GDP by 2020. The SIMPSON-MILLER administration now faces the difficult prospect of having to achieve fiscal discipline to maintain debt payments while simultaneously attacking a serious crime problem that is hampering economic growth. High unemployment exacerbates the crime problem, including gang violence that is fueled by the drug trade. The IMF approved a four-year $932 million Extended Fund Facility arrangement for Jamaica in May 2013. |
| GDP (purchasing power parity): | $25.13 billion (2013 est.) |
| GDP (purchasing power parity): | $25.03 billion (2012 est.) |
| GDP (purchasing power parity): | $25.15 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $14.39 billion (2013 est.) |
| GDP - real growth rate: | 0.4% (2013 est.) |
| GDP - real growth rate: | -0.5% (2012 est.) |
| GDP - real growth rate: | 1.4% (2011 est.) |
| GDP - per capita (PPP): | $9,000 (2013 est.) |
| GDP - per capita (PPP): | $9,000 (2012 est.) |
| GDP - per capita (PPP): | $9,100 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 10.8% of GDP (2013 est.) |
| Gross national saving: | 8.7% of GDP (2012 est.) |
| Gross national saving: | 7% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 86.6% |
| GDP - composition, by end use: | government consumption: 15.7% |
| GDP - composition, by end use: | investment in fixed capital: 21.2% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 34.5% |
| GDP - composition, by end use: | imports of goods and services: -58.4% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.5% |
| GDP - composition, by sector of origin: | industry: 29.4% |
