| Economy | JAMAICA |
| --- | --- |
| Economy - overview: | The Jamaican economy is heavily dependent on services, which accounts for more than 70% of GDP. The country continues to derive most of its foreign exchange from tourism, remittances, and bauxite/alumina. Remittances and tourism each account for 30% of GDP, while bauxite/alumina exports make up roughly 5% of GDP. The bauxite/alumina sector was most affected by the global downturn while the tourism industry and remittance flow remained resilient. |
| Economy - overview: | Jamaica's economy faces many challenges to growth: high crime and corruption, large-scale unemployment and underemployment, and a debt-to-GDP ratio of about 130%. The attendant debt servicing cost consumes a large portion of the government's budget, limiting its ability to fund the critical infrastructure and social programs required to drive growth. Jamaica's economic growth rate in the recent past has been stagnant, averaging less than 1% per year for over 20 years. |
| Economy - overview: | Jamaica's onerous public debt burden is largely the result of government bailouts to ailing sectors of the economy, most notably the financial sector. In early 2010, the Jamaican Government initiated the Jamaica Debt Exchange to retire high-priced domestic bonds and reduce annual debt servicing. Despite these efforts, debt continued to be a serious concern, forcing the government to negotiate and sign a new IMF agreement in May 2013 to gain access to approximately $1 billion in additional funds. As a precursor, the government instigated a second National Debt Exchange in 2012. The IMF deal requires the government to reform its tax system, eliminate discretionary tax exemptions and waivers, and achieve an annual surplus of 7.5%, excluding debt payments, to reduce its debt below 100% of GDP by 2020. The SIMPSON-MILLER administration now faces the difficult prospect of having to achieve fiscal discipline to maintain debt payments while simultaneously attacking a serious crime problem that is hampering economic growth. High unemployment exacerbates the crime problem, including gang violence, which is fueled by the drug trade. |
| GDP (purchasing power parity): | $24.65 billion (2015 est.) |
| GDP (purchasing power parity): | $24.38 billion (2014 est.) |
| GDP (purchasing power parity): | $24.25 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $13.92 billion (2015 est.) |
| GDP - real growth rate: | 1.1% (2015 est.) |
| GDP - real growth rate: | 0.5% (2014 est.) |
| GDP - real growth rate: | 0.2% (2013 est.) |
| GDP - per capita (PPP): | $8,800 (2015 est.) |
| GDP - per capita (PPP): | $8,700 (2014 est.) |
| GDP - per capita (PPP): | $8,700 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 20.2% of GDP (2015 est.) |
| Gross national saving: | 14.4% of GDP (2014 est.) |
| Gross national saving: | 12.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 84.8% |
| GDP - composition, by end use: | government consumption: 14.8% |
| GDP - composition, by end use: | investment in fixed capital: 22.1% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 32.9% |
| GDP - composition, by end use: | imports of goods and services: -55% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.6% |
| GDP - composition, by sector of origin: | industry: 21.2% |
| GDP - composition, by sector of origin: | services: 72.2% (2015 est.) |
| Agriculture - products: | sugarcane, bananas, coffee, citrus, yams, ackees, vegetables; poultry, goats, milk; shellfish |
| Industries: | tourism, bauxite/alumina, agricultural-processing, light manufactures, rum, cement, metal, paper, chemical products, telecommunications |
| Industrial production growth rate: | 2.1% (2015 est.) |
| Labor force: | 1.309 million (2015 est.) |
| Labor force - by occupation: | agriculture: 17% |
| Labor force - by occupation: | industry: 19% |
| Labor force - by occupation: | services: 64% (2006) |
| Unemployment rate: | 14% (2015 est.) |
| Unemployment rate: | 14.2% (2014 est.) |
| Population below poverty line: | 16.5% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.1% |
