| Economy | TUNISIA |
| --- | --- |
| Economy - overview: | Tunisia's diverse, market-oriented economy has long been cited as a success story in Africa and the Middle East, but it faces an array of challenges following the 2011 revolution. Following an ill-fated experiment with socialist economic policies in the 1960s, Tunisia embarked on a successful strategy focused on bolstering exports, foreign investment, and tourism, all of which have become central to the country's economy. Key exports now include textiles and apparel, food products, petroleum products, chemicals, and phosphates, with about 80% of exports bound for Tunisia's main economic partner, the European Union. Tunisia's liberal strategy, coupled with investments in education and infrastructure, fueled decades of 4-5% annual GDP growth and improving living standards. Former President (1987-2011) Zine el Abidine BEN ALI continued these policies, but as his reign wore on cronyism and corruption stymied economic performance and unemployment rose among the country's growing ranks of university graduates. These grievances contributed to the January 2011 overthrow of BEN ALI, sending Tunisia's economy into a tailspin as tourism and investment declined sharply. During 2012 and 2013, security and political upheaval during transition led to a deterioration of the economy and resulted in several downgrades of Tunisia&rsquo;s credit rating. Tunisia's government faces challenges reassuring businesses and investors, bringing budget and current account deficits under control, shoring up the country's financial system, bringing down high unemployment, and reducing economic disparities between the more developed coastal region and the impoverished interior. |
| GDP (purchasing power parity): | $124.3 billion (2014 est.) |
| GDP (purchasing power parity): | $121.5 billion (2013 est.) |
| GDP (purchasing power parity): | $118.8 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $48.55 billion (2014 est.) |
| GDP - real growth rate: | 2.3% (2014 est.) |
| GDP - real growth rate: | 2.3% (2013 est.) |
| GDP - real growth rate: | 3.7% (2012 est.) |
| GDP - per capita (PPP): | $11,300 (2014 est.) |
| GDP - per capita (PPP): | $11,000 (2013 est.) |
| GDP - per capita (PPP): | $10,800 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 11.7% of GDP (2014 est.) |
| Gross national saving: | 13.7% of GDP (2013 est.) |
| Gross national saving: | 16.1% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 64.8% |
| GDP - composition, by end use: | government consumption: 18.5% |
| GDP - composition, by end use: | investment in fixed capital: 22.2% |
| GDP - composition, by end use: | investment in inventories: 3.5% |
| GDP - composition, by end use: | exports of goods and services: 45.6% |
| GDP - composition, by end use: | imports of goods and services: -55.6% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.7% |
| GDP - composition, by sector of origin: | industry: 29% |
| GDP - composition, by sector of origin: | services: 62.3% (2014 est.) |
| Agriculture - products: | olives, olive oil, grain, tomatoes, citrus fruit, sugar beets, dates, almonds; beef, dairy products |
| Industries: | petroleum, mining (particularly phosphate, iron ore), tourism, textiles, footwear, agribusiness, beverages |
| Industrial production growth rate: | 1% (2014 est.) |
| Labor force: | 3.95 million (2014 est.) |
| Labor force - by occupation: | agriculture: 14.8% |
| Labor force - by occupation: | industry: 33.2% |
| Labor force - by occupation: | services: 51.7% (2014 est.) |
| Unemployment rate: | 15.3% (2014 est.) |
| Unemployment rate: | 15.8% (2013 est.) |
| Population below poverty line: | 3.8% (2005 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 31.5% (2000) |
| Distribution of family income - Gini index: | 40 (2005 est.) |
| Distribution of family income - Gini index: | 41.7 (1995 est.) |
| Budget: | revenues: $12.43 billion |
| Budget: | expenditures: $15.53 billion (2014 est.) |
| Taxes and other revenues: | 25.3% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -6.4% of GDP (2014 est.) |
| Public debt: | 49.9% of GDP (2014 est.) |
| Public debt: | 46.2% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.9% (2014 est.) |
| Inflation rate (consumer prices): | 6.1% (2013 est.) |
| Central bank discount rate: | 5.75% (31 December 2010) |
| Commercial bank prime lending rate: | 7.31% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 6.76% (31 December 2013 est.) |
| Stock of narrow money: | $13.22 billion (31 December 2014 est.) |
| Stock of narrow money: | $13.21 billion (31 December 2013 est.) |
| Stock of broad money: | $31.32 billion (31 December 2014 est.) |
