| Economy | Tunisia |
| --- | --- |
| Economy - overview: | Tunisia's economy â€“ structurally designed to favor vested interests â€“ faced an array of challenges exposed by the 2008 global financial crisis that helped precipitate the 2011 Arab Spring revolution. After the revolution and a series of terrorist attacks, including on the countryâ€™s tourism sector, barriers to economic inclusion continued to add to slow economic growth and high unemployment. |
| Economy - overview: | Following an ill-fated experiment with socialist economic policies in the 1960s, Tunisia focused on bolstering exports, foreign investment, and tourism, all of which have become central to the country's economy. Key exports now include textiles and apparel, food products, petroleum products, chemicals, and phosphates, with about 80% of exports bound for Tunisia's main economic partner, the EU. Tunisia's strategy, coupled with investments in education and infrastructure, fueled decades of 4-5% annual GDP growth and improved living standards. Former President Zine el Abidine BEN ALI (1987-2011) continued these policies, but as his reign wore on cronyism and corruption stymied economic performance, unemployment rose, and the informal economy grew. Tunisiaâ€™s economy became less and less inclusive. These grievances contributed to the January 2011 overthrow of BEN ALI, further depressing Tunisia's economy as tourism and investment declined sharply. |
| Economy - overview: | Tunisiaâ€™s government remains under pressure to boost economic growth quickly to mitigate chronic socio-economic challenges, especially high levels of youth unemployment, which has persisted since the 2011 revolution. Successive terrorist attacks against the tourism sector and worker strikes in the phosphate sector, which combined account for nearly 15% of GDP, slowed growth from 2015 to 2017. Tunis is seeking increased foreign investment and working with the IMF through an Extended Fund Facility agreement to fix fiscal deficiencies. |
| GDP (purchasing power parity): | $137.7 billion (2017 est.) |
| GDP (purchasing power parity): | $135 billion (2016 est.) |
| GDP (purchasing power parity): | $133.5 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $39.96 billion (2017 est.) |
| GDP - real growth rate: | 2% (2017 est.) |
| GDP - real growth rate: | 1.1% (2016 est.) |
| GDP - real growth rate: | 1.2% (2015 est.) |
| GDP - per capita (PPP): | $11,900 (2017 est.) |
| GDP - per capita (PPP): | $11,800 (2016 est.) |
| GDP - per capita (PPP): | $11,800 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 12% of GDP (2017 est.) |
| Gross national saving: | 13.4% of GDP (2016 est.) |
| Gross national saving: | 12.5% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 71.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 20.8% (2017 est.) |
