| Economy | Tunisia |
| --- | --- |
| Economy - overview: | Tunisia's diverse, market-oriented economy has long been cited as a success story in Africa and the Middle East, but it faces an array of challenges during the country's ongoing political transition. Following an ill-fated experiment with socialist economic policies in the 1960s, Tunisia embarked on a successful strategy focused on bolstering exports, foreign investment, and tourism, all of which have become central to the country's economy. Key exports now include textiles and apparel, food products, petroleum products, chemicals, and phosphates, with about 80% of exports bound for Tunisia's main economic partner, the European Union. Tunisia's liberal strategy, coupled with investments in education and infrastructure, fueled decades of 4-5% annual GDP growth and improving living standards. Former President (1987-2011) Zine el Abidine BEN ALI continued these policies, but as his reign wore on cronyism and corruption stymied economic performance and unemployment rose among the country's growing ranks of university graduates. These grievances contributed to the January 2011 overthrow of BEN ALI, sending Tunisia's economy into a tailspin as tourism and investment declined sharply. During 2012 and 2013, the Tunisian Government’s focus on the political transition led to a neglect of the economy that resulted in several downgrades of Tunisia’s credit rating. As the economy recovers, Tunisia's government faces challenges reassuring businesses and investors, bringing budget and current account deficits under control, shoring up the country's financial system, bringing down high unemployment, and reducing economic disparities between the more developed coastal region and the impoverished interior. |
| GDP (purchasing power parity): | $108.4 billion (2013 est.) |
| GDP (purchasing power parity): | $105.4 billion (2012 est.) |
| GDP (purchasing power parity): | $101.8 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $48.38 billion (2013 est.) |
| GDP - real growth rate: | 2.8% (2013 est.) |
| GDP - real growth rate: | 3.6% (2012 est.) |
| GDP - real growth rate: | -1.9% (2011 est.) |
| GDP - per capita (PPP): | $9,900 (2013 est.) |
| GDP - per capita (PPP): | $9,800 (2012 est.) |
| GDP - per capita (PPP): | $9,500 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 26.1% of GDP (2013 est.) |
| Gross national saving: | 25.4% of GDP (2012 est.) |
| Gross national saving: | 24.1% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 66.5% |
