| Economy | Tunisia |
| --- | --- |
| Economy - overview: | Tunisia's diverse, market-oriented economy has long been cited as a success story in Africa and the Middle East, but it faces an array of challenges during the country's ongoing political transition. Following an ill-fated experiment with socialist economic policies in the 1960s, Tunisia embarked on a successful strategy focused on bolstering exports, foreign investment, and tourism, all of which have become central to the country''s economy. Key exports now include textiles and apparel, food products, petroleum products, chemicals, and phosphates, with about 80% of exports bound for Tunisia''s main economic partner, the European Union. Tunisia''s liberal strategy, coupled with investments in education and infrastructure, fueled decades of 4-5% annual GDP growth and improving living standards. Former President (1987-2011) Zine el Abidine BEN ALI continued these policies, but as his reign wore on cronyism and corruption stymied economic performance and unemployment rose among the country''s growing ranks of university graduates. These grievances contributed to the January 2011 overthrow of BEN ALI, sending Tunisia''s economy into a tailspin as tourism and investment declined sharply. As the economy recovers, Tunisia''s government faces challenges reassuring businesses and investors, bringing budget and current account deficits under control, shoring up the country''s financial system, bringing down high unemployment, and reducing economic disparities between the more developed coastal region and the impoverished interior. |
| GDP (purchasing power parity): | $104 billion (2012 est.) |
| GDP (purchasing power parity): | $100.4 billion (2011 est.) |
| GDP (purchasing power parity): | $102.4 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $44.79 billion (2012 est.) |
| GDP - real growth rate: | 3.6% (2012 est.) |
| GDP - real growth rate: | -1.9% (2011 est.) |
| GDP - real growth rate: | 2.9% (2010 est.) |
| GDP - per capita (PPP): | $9,700 (2012 est.) |
| GDP - per capita (PPP): | $9,400 (2011 est.) |
| GDP - per capita (PPP): | $9,700 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 25.4% of GDP (2012 est.) |
| Gross national saving: | 24.1% of GDP (2011 est.) |
| Gross national saving: | 26.5% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 66.2% |
| GDP - composition, by end use: | government consumption: 17.5% |
| GDP - composition, by end use: | investment in fixed capital: 22% |
| GDP - composition, by end use: | investment in inventories: 3.4% |
| GDP - composition, by end use: | exports of goods and services: 48.7% |
| GDP - composition, by end use: | imports of goods and services: -57.8% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 9% |
| GDP - composition, by sector of origin: | industry: 30.3% |
| GDP - composition, by sector of origin: | services: 60.7% (2012 est.) |
| Agriculture - products: | olives, olive oil, grain, tomatoes, citrus fruit, sugar beets, dates, almonds; beef, dairy products |
| Industries: | petroleum, mining (particularly phosphate and iron ore), tourism, textiles, footwear, agribusiness, beverages |
| Industrial production growth rate: | 1.9% (2012 est.) |
| Labor force: | 3.914 million (2012 est.) |
| Labor force - by occupation: | agriculture: 18.3% |
| Labor force - by occupation: | industry: 31.9% |
| Labor force - by occupation: | services: 49.8% (2009 est.) |
| Unemployment rate: | 17.4% (2012 est.) |
| Unemployment rate: | 18.3% (2011 est.) |
| Population below poverty line: | 3.8% (2005 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 31.5% (2000) |
| Distribution of family income - Gini index: | 40 (2005 est.) |
| Distribution of family income - Gini index: | 41.7 (1995 est.) |
| Budget: | revenues: $11.85 billion |
| Budget: | expenditures: $13.07 billion (2012 est.) |
| Taxes and other revenues: | 26.4% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -2.7% of GDP (2012 est.) |
| Public debt: | 46.1% of GDP (2012 est.) |
| Public debt: | 44% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.6% (2012 est.) |
| Inflation rate (consumer prices): | 3.5% (2011 est.) |
| Central bank discount rate: | 5.75% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 7.31% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 6.76% (31 December 2011 est.) |
| Stock of narrow money: | $13.44 billion (31 December 2012 est.) |
| Stock of narrow money: | $13.11 billion (31 December 2011 est.) |
| Stock of broad money: | $31.06 billion (31 December 2012 est.) |
| Stock of broad money: | $29.5 billion (31 December 2011 est.) |
| Stock of domestic credit: | $36.09 billion (31 December 2012 est.) |
| Stock of domestic credit: | $34.19 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $9.662 billion (31 December 2011) |
| Market value of publicly traded shares: | $10.68 billion (31 December 2010) |
| Market value of publicly traded shares: | $9.12 billion (31 December 2009) |
| Current account balance: | $-3.773 billion (2012 est.) |
| Current account balance: | $-3.386 billion (2011 est.) |
| Exports: | $17.07 billion (2012 est.) |
| Exports: | $17.88 billion (2011 est.) |
