| Economy | Norway |
| --- | --- |
| Economic overview: | Norway has a stable economy with a vibrant private sector, a large state sector, and an extensive social safety net. Norway opted out of the EU during a referendum in November 1994. However, as a member of the European Economic Area, Norway partially participates in the EUâ€™s single market and contributes sizably to the EU budget. |
| Economic overview: | The country is richly endowed with natural resources such as oil and gas, fish, forests, and minerals. Norway is a leading producer and the worldâ€™s second largest exporter of seafood, after China. The government manages the countryâ€™s petroleum resources through extensive regulation. The petroleum sector provides about 9% of jobs, 12% of GDP, 13% of the stateâ€™s revenue, and 37% of exports, according to official national estimates. Norway is one of the world's leading petroleum exporters, although oil production is close to 50% below its peak in 2000. Gas production, conversely, has more than doubled since 2000. Although oil production is historically low, it rose in 2016 for the third consecutive year due to the higher production of existing oil fields and to new fields coming on stream. Norwayâ€™s domestic electricity production relies almost entirely on hydropower. |
| Economic overview: | In anticipation of eventual declines in oil and gas production, Norway saves state revenue from petroleum sector activities in the world's largest sovereign wealth fund, valued at over $1 trillion at the end of 2017. To help balance the federal budget each year, the government follows a "fiscal rule," which states that spending of revenues from petroleum and fund investments shall correspond to the expected real rate of return on the fund, an amount it estimates is sustainable over time. In February 2017, the government revised the expected rate of return for the fund downward from 4% to 3%. |
| Economic overview: | After solid GDP growth in the 2004-07 period, the economy slowed in 2008, and contracted in 2009, before returning to modest, positive growth from 2010 to 2017. The Norwegian economy has been adjusting to lower energy prices, as demonstrated by growth in labor force participation and employment in 2017. GDP growth was about 1.5% in 2017, driven largely by domestic demand, which has been boosted by the rebound in the labor market and supportive fiscal policies. Economic growth is expected to remain constant or improve slightly in the next few years. |
| GDP real growth rate: | 0.86% (2019 est.) |
| GDP real growth rate: | 1.36% (2018 est.) |
| GDP real growth rate: | 2.75% (2017 est.) |
| Inflation rate (consumer prices): | 2.1% (2019 est.) |
| Inflation rate (consumer prices): | 2.7% (2018 est.) |
| Inflation rate (consumer prices): | 1.8% (2017 est.) |
| Credit ratings: | Fitch rating: AAA (1995) |
| Credit ratings: | Moody's rating: Aaa (1997) |
| Credit ratings: | Standard & Poors rating: AAA (1975) |
| GDP (purchasing power parity) - real: | $326.29 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $323.514 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $319.174 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $405.695 billion (2019 est.) |
| GDP - per capita (PPP): | $91,781 (2019 est.) |
| GDP - per capita (PPP): | $91,698 (2018 est.) |
| GDP - per capita (PPP): | $91,179 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 34.3% of GDP (2017 est.) |
| Gross national saving: | 33.1% of GDP (2016 est.) |
| Gross national saving: | 35.5% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.3% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 33.7% (2017 est.) |
| GDP - composition, by sector of origin: | services: 64% (2017 est.) |
| GDP - composition, by end use: | household consumption: 44.8% (2017 est.) |
| GDP - composition, by end use: | government consumption: 24% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 24.1% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 4.8% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 35.5% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -33.2% (2017 est.) |
| Ease of Doing Business Index scores: | 94.3 (2020) |
| Agriculture - products: | barley, wheat, potatoes; pork, beef, veal, milk; fish |
| Industries: | petroleum and gas, shipping, fishing, aquaculture, food processing, shipbuilding, pulp and paper products, metals, chemicals, timber, mining, textiles |
| Industrial production growth rate: | 1.5% (2017 est.) |
| Labor force: | 2.699 million (2020 est.) |
| Labor force - by occupation: | agriculture: 2.1% |
| Labor force - by occupation: | industry: 19.3% |
| Labor force - by occupation: | services: 78.6% (2016 est.) |
| Unemployment rate: | 3.72% (2019 est.) |
| Unemployment rate: | 3.89% (2018 est.) |
| Population below poverty line: | NA |
| Household income or consumption by percentage share: | lowest 10%: 3.8% |
