| Economy | Norway |
| --- | --- |
| Economy - overview: | The Norwegian economy is a prosperous mixed economy, with a vibrant private sector, a large state sector, and an extensive social safety net. The government controls key areas, such as the vital petroleum sector, through extensive regulation and large-scale state-majority-owned enterprises. The country is richly endowed with natural resources - petroleum, hydropower, fish, forests, and minerals - and is highly dependent on the petroleum sector, which accounts for the largest portion of export revenue and about 20% of government revenue. Norway is the world's third-largest natural gas exporter; and seventh largest oil exporter, making one of its largest offshore oil finds in 2011. Norway opted to stay out of the EU during a referendum in November 1994; nonetheless, as a member of the European Economic Area, it contributes sizably to the EU budget. In anticipation of eventual declines in oil and gas production, Norway saves state revenue from the petroleum sector in the world's second largest sovereign wealth fund, valued at over $700 billion in January 2013 and uses the fund''s return to help finance public expenses. After solid GDP growth in 2004-07, the economy slowed in 2008, and contracted in 2009, before returning to positive growth in 2010-12, however, the government budget is set to remain in surplus. |
| GDP (purchasing power parity): | $274.1 billion (2012 est.) |
| GDP (purchasing power parity): | $266 billion (2011 est.) |
| GDP (purchasing power parity): | $262.6 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $492.9 billion (2012 est.) |
| GDP - real growth rate: | 3% (2012 est.) |
| GDP - real growth rate: | 1.3% (2011 est.) |
| GDP - real growth rate: | 0.2% (2010 est.) |
| GDP - per capita (PPP): | $54,400 (2012 est.) |
| GDP - per capita (PPP): | $53,500 (2011 est.) |
| GDP - per capita (PPP): | $53,500 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 39.4% of GDP (2012 est.) |
| Gross national saving: | 37% of GDP (2011 est.) |
| Gross national saving: | 35.2% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 40.4% |
| GDP - composition, by end use: | government consumption: 21.3% |
| GDP - composition, by end use: | investment in fixed capital: 20.6% |
| GDP - composition, by end use: | investment in inventories: 4.5% |
| GDP - composition, by end use: | exports of goods and services: 40.7% |
| GDP - composition, by end use: | imports of goods and services: -27.5% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.2% |
| GDP - composition, by sector of origin: | industry: 42.5% |
| GDP - composition, by sector of origin: | services: 56.3% (2012 est.) |
| Agriculture - products: | barley, wheat, potatoes; pork, beef, veal, milk; fish |
| Industries: | petroleum and gas, food processing, shipbuilding, pulp and paper products, metals, chemicals, timber, mining, textiles, fishing |
| Industrial production growth rate: | 3.2% (2012 est.) |
| Labor force: | 2.678 million (2012 est.) |
| Labor force - by occupation: | agriculture: 2.9% |
| Labor force - by occupation: | industry: 21.1% |
| Labor force - by occupation: | services: 76% (2008) |
| Unemployment rate: | 3.2% (2012 est.) |
| Unemployment rate: | 3.3% (2011 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 3.9% |
| Household income or consumption by percentage share: | highest 10%: 21% (2008) |
| Distribution of family income - Gini index: | 25 (2008) |
| Distribution of family income - Gini index: | 25.8 (1995) |
| Budget: | revenues: $285.7 billion |
| Budget: | expenditures: $216.5 billion (2012 est.) |
| Taxes and other revenues: | 58% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | 14% of GDP (2012 est.) |
| Public debt: | 29.1% of GDP (2012 est.) |
| Public debt: | 28.4% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data exclude treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.7% (2012 est.) |
| Inflation rate (consumer prices): | 1.3% (2011 est.) |
| Central bank discount rate: | 6.25% (31 December 2010 est.) |
| Central bank discount rate: | 1.75% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 3.7% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 4.4% (31 December 2011 est.) |
| Stock of narrow money: | $152.1 billion (31 December 2012 est.) |
| Stock of narrow money: | $138.9 billion (31 December 2011 est.) |
| Stock of broad money: | $309.2 billion (31 December 2011 est.) |
| Stock of broad money: | $280.4 billion (31 December 2010 est.) |
| Stock of domestic credit: | $705.4 billion (31 December 2012 est.) |
| Stock of domestic credit: | $615.3 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $219.2 billion (31 December 2011) |
| Market value of publicly traded shares: | $250.9 billion (31 December 2010) |
| Market value of publicly traded shares: | $227.2 billion (31 December 2009) |
| Current account balance: | $71.87 billion (2012 est.) |
| Current account balance: | $63.06 billion (2011 est.) |
| Exports: | $166 billion (2012 est.) |
| Exports: | $164.8 billion (2011 est.) |
| Exports - commodities: | petroleum and petroleum products, machinery and equipment, metals, chemicals, ships, fish |
| Exports - partners: | UK 25.6%, Germany 12.6%, Netherlands 12%, France 6.7%, Sweden 6.3%, US 5% (2012) |
