| Economy | NORWAY |
| --- | --- |
| Economy - overview: | Norway's has a stable economy with a vibrant private sector, a large state sector, and an extensive social safety net. Norway opted out of the EU during a referendum in November 1994; nonetheless, as a member of the European Economic Area, it contributes sizably to the EU budget. |
| Economy - overview: | The country is richly endowed with natural resources in addition to oil and gas, including hydropower, fish, forests, and minerals. The government manages the country’s petroleum resources through extensive regulation. The petroleum sector provides about 9% of jobs, 15% of GDP, and 39% of exports, according to official national estimates. Norway is one of the world's leading petroleum exporters, though oil production in 2015 was close to 50% below its peak in 2000; annual gas production, conversely, more than doubled over the same time period. |
| Economy - overview: | In anticipation of eventual declines in oil and gas production, Norway saves state revenue from petroleum sector activities in the world's largest sovereign wealth fund, valued at over $800 billion as of early 2016. The government allows itself to use up to 4% of the fund’s value, its annual expected real rate of return, to help balance the federal budget each year. After solid GDP growth in 2004-07, the economy slowed in 2008, and contracted in 2009, before returning to modest, positive growth from 2010 to 2015. Lower oil prices in 2015 caused growth to slow, increased unemployment, and weakened the Norwegian krone. The latter trend has mitigated the negative impact of lower oil and gas prices by making Norwegian exports cheaper for foreign buyers. The government has expressed willingness to increase public spending from the sovereign wealth fund to help prevent a recession. |
| GDP (purchasing power parity): | $356.2 billion (2015 est.) |
| GDP (purchasing power parity): | $350.7 billion (2014 est.) |
| GDP (purchasing power parity): | $343.1 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $389.5 billion (2015 est.) |
| GDP - real growth rate: | 1.6% (2015 est.) |
| GDP - real growth rate: | 2.2% (2014 est.) |
| GDP - real growth rate: | 1% (2013 est.) |
| GDP - per capita (PPP): | $68,400 (2015 est.) |
| GDP - per capita (PPP): | $68,000 (2014 est.) |
| GDP - per capita (PPP): | $67,300 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 37.4% of GDP (2015 est.) |
| Gross national saving: | 40.4% of GDP (2014 est.) |
| Gross national saving: | 38.2% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 42.6% |
| GDP - composition, by end use: | government consumption: 23.2% |
| GDP - composition, by end use: | investment in fixed capital: 23.3% |
| GDP - composition, by end use: | investment in inventories: 5.3% |
| GDP - composition, by end use: | exports of goods and services: 37.1% |
| GDP - composition, by end use: | imports of goods and services: -31.5% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.8% |
| GDP - composition, by sector of origin: | industry: 35% |
| GDP - composition, by sector of origin: | services: 63.2% (2015 est.) |
| Agriculture - products: | barley, wheat, potatoes; pork, beef, veal, milk; fish |
| Industries: | petroleum and gas, shipping, fishing, aquaculture, food processing, shipbuilding, pulp and paper products, metals, chemicals, timber, mining, textiles |
| Industrial production growth rate: | 1.6% (2015 est.) |
| Labor force: | 2.772 million (2015 est.) |
| Labor force - by occupation: | agriculture: 2.7% |
| Labor force - by occupation: | industry: 18.3% |
| Labor force - by occupation: | services: 79% (2015 est.) |
| Unemployment rate: | 4.4% (2015 est.) |
| Unemployment rate: | 3.5% (2014 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 3.8% |
| Household income or consumption by percentage share: | highest 10%: 21.2% (2014) |
| Distribution of family income - Gini index: | 26.8 (2010) |
| Distribution of family income - Gini index: | 25.8 (1995) |
| Budget: | revenues: $211.6 billion |
| Budget: | expenditures: $188.5 billion (2015 est.) |
| Taxes and other revenues: | 54.3% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | 5.9% of GDP (2015 est.) |
| Public debt: | 31.8% of GDP (2015 est.) |
| Public debt: | 27.4% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data exclude treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.2% (2015 est.) |
| Inflation rate (consumer prices): | 2% (2014 est.) |
| Central bank discount rate: | 6.25% (31 December 2010) |
| Central bank discount rate: | 1.75% (31 December 2009) |
| Commercial bank prime lending rate: | 1.75% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 2.25% (31 December 2014 est.) |
| Stock of narrow money: | $200.3 billion (31 December 2015 est.) |
| Stock of narrow money: | $120.7 billion (31 December 2014 est.) |
| Stock of broad money: | $323.9 billion (31 December 2014 est.) |
| Stock of broad money: | $310 billion (31 December 2013 est.) |
| Stock of domestic credit: | $527.7 billion (31 December 2015 est.) |
| Stock of domestic credit: | $590.8 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $252.9 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $219.2 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $250.9 billion (31 December 2013 est.) |
| Current account balance: | $35.04 billion (2015 est.) |
| Current account balance: | $59.78 billion (2014 est.) |
| Exports: | $102.9 billion (2015 est.) |
| Exports: | $143.7 billion (2014 est.) |
| Exports - commodities: | petroleum and petroleum products, machinery and equipment, metals, chemicals, ships, fish |
| Exports - partners: | UK 22.2%, Germany 17.9%, Netherlands 10.2%, France 6.6%, Sweden 6.1%, Belgium 5%, US 4.5% (2015) |
| Imports: | $75.79 billion (2015 est.) |
| Imports: | $90.89 billion (2014 est.) |
| Imports - commodities: | machinery and equipment, chemicals, metals, foodstuffs |
| Imports - partners: | Sweden 12%, Germany 11.8%, China 10.9%, UK 6.7%, US 6.6%, Denmark 6% (2015) |
| Reserves of foreign exchange and gold: | $57.46 billion (31 December 2015 est.) |
