| Economy | CHINA |
| --- | --- |
| Economy - overview: | Since the late 1970s, China has moved from a closed, centrally planned system to a more market-oriented one that plays a major global role; in 2010, China became the world's largest exporter. Reforms began with the phaseout of collectivized agriculture, and expanded to include the gradual liberalization of prices, fiscal decentralization, increased autonomy for state enterprises, growth of the private sector, development of stock markets and a modern banking system, and opening to foreign trade and investment. China has implemented reforms in a gradualist fashion. In recent years, China has renewed its support for state-owned enterprises in sectors considered important to "economic security," explicitly looking to foster globally competitive industries. The restructuring of the economy and resulting efficiency gains have contributed to a more than tenfold increase in GDP since 1978. Measured on a purchasing power parity (PPP) basis that adjusts for price differences, China in 2015 stood as the largest economy in the world, surpassing the US in 2014 for the first time in modern history. Still, China's per capita income is below the world average. |
| Economy - overview: | After keeping its currency tightly linked to the US dollar for years, China in July 2005 moved to an exchange rate system that references a basket of currencies. From mid-2005 to late 2008, cumulative appreciation of the renminbi against the US dollar was more than 20%, but the exchange rate remained virtually pegged to the dollar from the onset of the global financial crisis until June 2010, when Beijing allowed resumption of a gradual appreciation. In 2015, the People’s Bank of China announced it would continue to carefully push for full convertibility of the renminbi after the currency was accepted as part of the IMF’s special drawing rights basket. |
| Economy - overview: | The Chinese Government faces numerous economic challenges including: (a) reducing its high domestic savings rate and correspondingly low domestic consumption; (b) facilitating higher-wage job opportunities for the aspiring middle class, including rural migrants and increasing numbers of college graduates; (c) reducing corruption and other economic crimes; and (d) containing environmental damage and social strife related to the economy's rapid transformation. Economic development has progressed further in coastal provinces than in the interior, and by 2014 more than 274 million migrant workers and their dependents had relocated to urban areas to find work. One consequence of population control policy is that China is now one of the most rapidly aging countries in the world. Deterioration in the environment - notably air pollution, soil erosion, and the steady fall of the water table, especially in the North - is another long-term problem. China continues to lose arable land because of erosion and economic development. The Chinese government is seeking to add energy production capacity from sources other than coal and oil, focusing on nuclear and alternative energy development. |
| Economy - overview: | Several factors are converging to slow China's growth, including debt overhang from its credit-fueled stimulus program, industrial overcapacity, inefficient allocation of capital by state-owned banks, and the slow recovery of China's trading partners. The government's 13th Five-Year Plan, unveiled in November 2015, emphasizes continued economic reforms and the need to increase innovation and domestic consumption in order to make the economy less dependent in the future on fixed investments, exports, and heavy industry. However, China has made only marginal progress toward these rebalancing goals. The new government of President XI Jinping has signaled a greater willingness to undertake reforms that focus on China's long-term economic health, including giving the market a more decisive role in allocating resources. In 2014, China agreed to begin limiting carbon dioxide emissions by 2030. |
| GDP (purchasing power parity): | $19.39 trillion (2015 est.) |
| GDP (purchasing power parity): | $18.14 trillion (2014 est.) |
| GDP (purchasing power parity): | $16.91 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $10.98 trillion (2015 est.) |
